{'baseline-error': 0.0635, 'self-trained-error': 0.0505, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 400}
{'baseline-error': 0.039, 'self-trained-error': 0.0345, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 401}
{'baseline-error': 0.0515, 'self-trained-error': 0.045, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 402}
{'baseline-error': 0.0475, 'self-trained-error': 0.0395, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 403}
{'baseline-error': 0.0635, 'self-trained-error': 0.047, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 404}
{'baseline-error': 0.0395, 'self-trained-error': 0.0395, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 405}
{'baseline-error': 0.063, 'self-trained-error': 0.046, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 406}
{'baseline-error': 0.0465, 'self-trained-error': 0.043, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 407}
{'baseline-error': 0.0455, 'self-trained-error': 0.0455, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 408}
{'baseline-error': 0.0495, 'self-trained-error': 0.041, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 409}
{'baseline-error': 0.068, 'self-trained-error': 0.061, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 410}
{'baseline-error': 0.0715, 'self-trained-error': 0.063, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 411}
{'baseline-error': 0.063, 'self-trained-error': 0.0625, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 412}
{'baseline-error': 0.058, 'self-trained-error': 0.0445, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 413}
{'baseline-error': 0.0455, 'self-trained-error': 0.0455, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 414}
{'baseline-error': 0.062, 'self-trained-error': 0.051, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 415}
{'baseline-error': 0.0565, 'self-trained-error': 0.0565, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 416}
{'baseline-error': 0.0595, 'self-trained-error': 0.0505, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 417}
{'baseline-error': 0.054, 'self-trained-error': 0.042, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 418}
{'baseline-error': 0.05, 'self-trained-error': 0.047, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 419}
{'baseline-error': 0.0605, 'self-trained-error': 0.051, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 420}
{'baseline-error': 0.0485, 'self-trained-error': 0.044, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 421}
{'baseline-error': 0.036, 'self-trained-error': 0.0375, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 422}
{'baseline-error': 0.043, 'self-trained-error': 0.037, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 423}
{'baseline-error': 0.059, 'self-trained-error': 0.048, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 424}
{'baseline-error': 0.041, 'self-trained-error': 0.0405, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 425}
{'baseline-error': 0.039, 'self-trained-error': 0.037, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 426}
{'baseline-error': 0.0325, 'self-trained-error': 0.0345, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 427}
{'baseline-error': 0.056, 'self-trained-error': 0.0455, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 428}
{'baseline-error': 0.0535, 'self-trained-error': 0.041, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 429}
{'baseline-error': 0.061, 'self-trained-error': 0.049, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 430}
{'baseline-error': 0.058, 'self-trained-error': 0.0465, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 431}
{'baseline-error': 0.0625, 'self-trained-error': 0.0615, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 432}
{'baseline-error': 0.05, 'self-trained-error': 0.0465, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 433}
{'baseline-error': 0.0555, 'self-trained-error': 0.046, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 434}
{'baseline-error': 0.0595, 'self-trained-error': 0.055, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 435}
{'baseline-error': 0.0835, 'self-trained-error': 0.0685, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 436}
{'baseline-error': 0.0515, 'self-trained-error': 0.0425, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 437}
