{'baseline-error': 0.08, 'self-trained-error': 0.074, 'p': 0.40000000000000013, 'mu': 2, 'iter': 100}
{'baseline-error': 0.0835, 'self-trained-error': 0.0855, 'p': 0.40000000000000013, 'mu': 2, 'iter': 101}
{'baseline-error': 0.0935, 'self-trained-error': 0.097, 'p': 0.40000000000000013, 'mu': 2, 'iter': 102}
{'baseline-error': 0.106, 'self-trained-error': 0.104, 'p': 0.40000000000000013, 'mu': 2, 'iter': 103}
{'baseline-error': 0.0825, 'self-trained-error': 0.0825, 'p': 0.40000000000000013, 'mu': 2, 'iter': 104}
{'baseline-error': 0.0785, 'self-trained-error': 0.079, 'p': 0.40000000000000013, 'mu': 2, 'iter': 105}
{'baseline-error': 0.0745, 'self-trained-error': 0.077, 'p': 0.40000000000000013, 'mu': 2, 'iter': 106}
{'baseline-error': 0.087, 'self-trained-error': 0.087, 'p': 0.40000000000000013, 'mu': 2, 'iter': 107}
{'baseline-error': 0.102, 'self-trained-error': 0.1015, 'p': 0.40000000000000013, 'mu': 2, 'iter': 108}
{'baseline-error': 0.0885, 'self-trained-error': 0.0835, 'p': 0.40000000000000013, 'mu': 2, 'iter': 109}
{'baseline-error': 0.0905, 'self-trained-error': 0.0885, 'p': 0.40000000000000013, 'mu': 2, 'iter': 110}
{'baseline-error': 0.078, 'self-trained-error': 0.0775, 'p': 0.40000000000000013, 'mu': 2, 'iter': 111}
{'baseline-error': 0.092, 'self-trained-error': 0.0925, 'p': 0.40000000000000013, 'mu': 2, 'iter': 112}
{'baseline-error': 0.1, 'self-trained-error': 0.1, 'p': 0.40000000000000013, 'mu': 2, 'iter': 113}
{'baseline-error': 0.076, 'self-trained-error': 0.072, 'p': 0.40000000000000013, 'mu': 2, 'iter': 114}
{'baseline-error': 0.0955, 'self-trained-error': 0.0955, 'p': 0.40000000000000013, 'mu': 2, 'iter': 115}
{'baseline-error': 0.0835, 'self-trained-error': 0.0775, 'p': 0.40000000000000013, 'mu': 2, 'iter': 116}
{'baseline-error': 0.0645, 'self-trained-error': 0.0645, 'p': 0.40000000000000013, 'mu': 2, 'iter': 117}
{'baseline-error': 0.0765, 'self-trained-error': 0.077, 'p': 0.40000000000000013, 'mu': 2, 'iter': 118}
{'baseline-error': 0.0785, 'self-trained-error': 0.079, 'p': 0.40000000000000013, 'mu': 2, 'iter': 119}
{'baseline-error': 0.082, 'self-trained-error': 0.084, 'p': 0.40000000000000013, 'mu': 2, 'iter': 120}
{'baseline-error': 0.114, 'self-trained-error': 0.116, 'p': 0.40000000000000013, 'mu': 2, 'iter': 121}
{'baseline-error': 0.084, 'self-trained-error': 0.083, 'p': 0.40000000000000013, 'mu': 2, 'iter': 122}
{'baseline-error': 0.0815, 'self-trained-error': 0.0815, 'p': 0.40000000000000013, 'mu': 2, 'iter': 123}
{'baseline-error': 0.082, 'self-trained-error': 0.0785, 'p': 0.40000000000000013, 'mu': 2, 'iter': 124}
{'baseline-error': 0.1025, 'self-trained-error': 0.093, 'p': 0.40000000000000013, 'mu': 2, 'iter': 125}
{'baseline-error': 0.098, 'self-trained-error': 0.106, 'p': 0.40000000000000013, 'mu': 2, 'iter': 126}
{'baseline-error': 0.091, 'self-trained-error': 0.088, 'p': 0.40000000000000013, 'mu': 2, 'iter': 127}
{'baseline-error': 0.085, 'self-trained-error': 0.0805, 'p': 0.40000000000000013, 'mu': 2, 'iter': 128}
{'baseline-error': 0.0945, 'self-trained-error': 0.0885, 'p': 0.40000000000000013, 'mu': 2, 'iter': 129}
{'baseline-error': 0.0825, 'self-trained-error': 0.0875, 'p': 0.40000000000000013, 'mu': 2, 'iter': 130}
{'baseline-error': 0.0845, 'self-trained-error': 0.0825, 'p': 0.40000000000000013, 'mu': 2, 'iter': 131}
{'baseline-error': 0.0855, 'self-trained-error': 0.084, 'p': 0.40000000000000013, 'mu': 2, 'iter': 132}
{'baseline-error': 0.0805, 'self-trained-error': 0.083, 'p': 0.40000000000000013, 'mu': 2, 'iter': 133}
{'baseline-error': 0.083, 'self-trained-error': 0.085, 'p': 0.40000000000000013, 'mu': 2, 'iter': 134}
{'baseline-error': 0.0805, 'self-trained-error': 0.084, 'p': 0.40000000000000013, 'mu': 2, 'iter': 135}
{'baseline-error': 0.082, 'self-trained-error': 0.082, 'p': 0.40000000000000013, 'mu': 2, 'iter': 136}
{'baseline-error': 0.08, 'self-trained-error': 0.0815, 'p': 0.40000000000000013, 'mu': 2, 'iter': 137}
{'baseline-error': 0.0875, 'self-trained-error': 0.088, 'p': 0.40000000000000013, 'mu': 2, 'iter': 138}
{'baseline-error': 0.079, 'self-trained-error': 0.08, 'p': 0.40000000000000013, 'mu': 2, 'iter': 139}
{'baseline-error': 0.0745, 'self-trained-error': 0.072, 'p': 0.40000000000000013, 'mu': 2, 'iter': 140}
{'baseline-error': 0.0935, 'self-trained-error': 0.0855, 'p': 0.40000000000000013, 'mu': 2, 'iter': 141}
{'baseline-error': 0.081, 'self-trained-error': 0.08, 'p': 0.40000000000000013, 'mu': 2, 'iter': 142}
{'baseline-error': 0.0785, 'self-trained-error': 0.075, 'p': 0.40000000000000013, 'mu': 2, 'iter': 143}
{'baseline-error': 0.075, 'self-trained-error': 0.082, 'p': 0.40000000000000013, 'mu': 2, 'iter': 144}
