{'baseline-error': 0.0475, 'self-trained-error': 0.047, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 350}
{'baseline-error': 0.1, 'self-trained-error': 0.0915, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 351}
{'baseline-error': 0.1, 'self-trained-error': 0.0705, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 352}
{'baseline-error': 0.0625, 'self-trained-error': 0.0595, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 353}
{'baseline-error': 0.0665, 'self-trained-error': 0.053, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 354}
{'baseline-error': 0.07, 'self-trained-error': 0.0475, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 355}
{'baseline-error': 0.084, 'self-trained-error': 0.0585, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 356}
{'baseline-error': 0.0695, 'self-trained-error': 0.0515, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 357}
{'baseline-error': 0.0725, 'self-trained-error': 0.0525, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 358}
{'baseline-error': 0.0745, 'self-trained-error': 0.061, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 359}
{'baseline-error': 0.0955, 'self-trained-error': 0.08, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 360}
{'baseline-error': 0.0645, 'self-trained-error': 0.058, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 361}
{'baseline-error': 0.052, 'self-trained-error': 0.053, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 362}
{'baseline-error': 0.082, 'self-trained-error': 0.059, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 363}
{'baseline-error': 0.063, 'self-trained-error': 0.062, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 364}
{'baseline-error': 0.0615, 'self-trained-error': 0.047, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 365}
{'baseline-error': 0.0565, 'self-trained-error': 0.0425, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 366}
{'baseline-error': 0.08, 'self-trained-error': 0.0765, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 367}
{'baseline-error': 0.038, 'self-trained-error': 0.0375, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 368}
{'baseline-error': 0.0475, 'self-trained-error': 0.041, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 369}
{'baseline-error': 0.062, 'self-trained-error': 0.051, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 370}
