{'baseline-error': 0.0015, 'self-trained-error': 0.002, 'p': 0.30000000000000004, 'mu': 4, 'iter': 0}
{'baseline-error': 0.001, 'self-trained-error': 0.0015, 'p': 0.30000000000000004, 'mu': 4, 'iter': 1}
{'baseline-error': 0.005, 'self-trained-error': 0.0015, 'p': 0.30000000000000004, 'mu': 4, 'iter': 2}
{'baseline-error': 0.001, 'self-trained-error': 0.0015, 'p': 0.30000000000000004, 'mu': 4, 'iter': 3}
{'baseline-error': 0.0005, 'self-trained-error': 0.0005, 'p': 0.30000000000000004, 'mu': 4, 'iter': 4}
{'baseline-error': 0.006, 'self-trained-error': 0.0025, 'p': 0.30000000000000004, 'mu': 4, 'iter': 5}
{'baseline-error': 0.003, 'self-trained-error': 0.0035, 'p': 0.30000000000000004, 'mu': 4, 'iter': 6}
{'baseline-error': 0.0035, 'self-trained-error': 0.002, 'p': 0.30000000000000004, 'mu': 4, 'iter': 7}
{'baseline-error': 0.003, 'self-trained-error': 0.0035, 'p': 0.30000000000000004, 'mu': 4, 'iter': 8}
{'baseline-error': 0.003, 'self-trained-error': 0.003, 'p': 0.30000000000000004, 'mu': 4, 'iter': 9}
{'baseline-error': 0.002, 'self-trained-error': 0.001, 'p': 0.30000000000000004, 'mu': 4, 'iter': 10}
{'baseline-error': 0.0045, 'self-trained-error': 0.003, 'p': 0.30000000000000004, 'mu': 4, 'iter': 11}
{'baseline-error': 0.005, 'self-trained-error': 0.0045, 'p': 0.30000000000000004, 'mu': 4, 'iter': 12}
{'baseline-error': 0.002, 'self-trained-error': 0.002, 'p': 0.30000000000000004, 'mu': 4, 'iter': 13}
{'baseline-error': 0.005, 'self-trained-error': 0.0045, 'p': 0.30000000000000004, 'mu': 4, 'iter': 14}
{'baseline-error': 0.0045, 'self-trained-error': 0.003, 'p': 0.30000000000000004, 'mu': 4, 'iter': 15}
{'baseline-error': 0.0015, 'self-trained-error': 0.001, 'p': 0.30000000000000004, 'mu': 4, 'iter': 16}
