{'baseline-error': 0.0255, 'self-trained-error': 0.004, 'p': 0.1, 'mu': 4, 'iter': 50}
{'baseline-error': 0.007, 'self-trained-error': 0.0035, 'p': 0.1, 'mu': 4, 'iter': 51}
{'baseline-error': 0.01, 'self-trained-error': 0.0015, 'p': 0.1, 'mu': 4, 'iter': 52}
{'baseline-error': 0.015, 'self-trained-error': 0.0015, 'p': 0.1, 'mu': 4, 'iter': 53}
{'baseline-error': 0.0175, 'self-trained-error': 0.0025, 'p': 0.1, 'mu': 4, 'iter': 54}
{'baseline-error': 0.0225, 'self-trained-error': 0.003, 'p': 0.1, 'mu': 4, 'iter': 55}
{'baseline-error': 0.0205, 'self-trained-error': 0.0015, 'p': 0.1, 'mu': 4, 'iter': 56}
{'baseline-error': 0.0165, 'self-trained-error': 0.003, 'p': 0.1, 'mu': 4, 'iter': 57}
{'baseline-error': 0.0075, 'self-trained-error': 0.0005, 'p': 0.1, 'mu': 4, 'iter': 58}
{'baseline-error': 0.011, 'self-trained-error': 0.003, 'p': 0.1, 'mu': 4, 'iter': 59}
{'baseline-error': 0.004, 'self-trained-error': 0.0025, 'p': 0.1, 'mu': 4, 'iter': 60}
{'baseline-error': 0.0095, 'self-trained-error': 0.001, 'p': 0.1, 'mu': 4, 'iter': 61}
{'baseline-error': 0.0155, 'self-trained-error': 0.004, 'p': 0.1, 'mu': 4, 'iter': 62}
{'baseline-error': 0.0045, 'self-trained-error': 0.001, 'p': 0.1, 'mu': 4, 'iter': 63}
{'baseline-error': 0.0035, 'self-trained-error': 0.0015, 'p': 0.1, 'mu': 4, 'iter': 64}
{'baseline-error': 0.004, 'self-trained-error': 0.0035, 'p': 0.1, 'mu': 4, 'iter': 65}
{'baseline-error': 0.0365, 'self-trained-error': 0.006, 'p': 0.1, 'mu': 4, 'iter': 66}
{'baseline-error': 0.01, 'self-trained-error': 0.0045, 'p': 0.1, 'mu': 4, 'iter': 67}
{'baseline-error': 0.025, 'self-trained-error': 0.001, 'p': 0.1, 'mu': 4, 'iter': 68}
{'baseline-error': 0.005, 'self-trained-error': 0.0025, 'p': 0.1, 'mu': 4, 'iter': 69}
{'baseline-error': 0.0105, 'self-trained-error': 0.0015, 'p': 0.1, 'mu': 4, 'iter': 70}
{'baseline-error': 0.009, 'self-trained-error': 0.0035, 'p': 0.1, 'mu': 4, 'iter': 71}
{'baseline-error': 0.007, 'self-trained-error': 0.004, 'p': 0.1, 'mu': 4, 'iter': 72}
{'baseline-error': 0.011, 'self-trained-error': 0.0025, 'p': 0.1, 'mu': 4, 'iter': 73}
{'baseline-error': 0.006, 'self-trained-error': 0.0025, 'p': 0.1, 'mu': 4, 'iter': 74}
{'baseline-error': 0.011, 'self-trained-error': 0.0035, 'p': 0.1, 'mu': 4, 'iter': 75}
{'baseline-error': 0.0115, 'self-trained-error': 0.002, 'p': 0.1, 'mu': 4, 'iter': 76}
{'baseline-error': 0.0115, 'self-trained-error': 0.0015, 'p': 0.1, 'mu': 4, 'iter': 77}
{'baseline-error': 0.0185, 'self-trained-error': 0.0025, 'p': 0.1, 'mu': 4, 'iter': 78}
{'baseline-error': 0.016, 'self-trained-error': 0.003, 'p': 0.1, 'mu': 4, 'iter': 79}
{'baseline-error': 0.0115, 'self-trained-error': 0.005, 'p': 0.1, 'mu': 4, 'iter': 80}
{'baseline-error': 0.0045, 'self-trained-error': 0.0035, 'p': 0.1, 'mu': 4, 'iter': 81}
{'baseline-error': 0.0105, 'self-trained-error': 0.004, 'p': 0.1, 'mu': 4, 'iter': 82}
{'baseline-error': 0.0095, 'self-trained-error': 0.003, 'p': 0.1, 'mu': 4, 'iter': 83}
{'baseline-error': 0.011, 'self-trained-error': 0.0015, 'p': 0.1, 'mu': 4, 'iter': 84}
{'baseline-error': 0.01, 'self-trained-error': 0.0035, 'p': 0.1, 'mu': 4, 'iter': 85}
{'baseline-error': 0.024, 'self-trained-error': 0.004, 'p': 0.1, 'mu': 4, 'iter': 86}
{'baseline-error': 0.0195, 'self-trained-error': 0.0035, 'p': 0.1, 'mu': 4, 'iter': 87}
{'baseline-error': 0.0075, 'self-trained-error': 0.002, 'p': 0.1, 'mu': 4, 'iter': 88}
{'baseline-error': 0.0045, 'self-trained-error': 0.005, 'p': 0.1, 'mu': 4, 'iter': 89}
{'baseline-error': 0.0195, 'self-trained-error': 0.0035, 'p': 0.1, 'mu': 4, 'iter': 90}
{'baseline-error': 0.004, 'self-trained-error': 0.004, 'p': 0.1, 'mu': 4, 'iter': 91}
{'baseline-error': 0.004, 'self-trained-error': 0.0005, 'p': 0.1, 'mu': 4, 'iter': 92}
{'baseline-error': 0.004, 'self-trained-error': 0.0015, 'p': 0.1, 'mu': 4, 'iter': 93}
{'baseline-error': 0.021, 'self-trained-error': 0.0015, 'p': 0.1, 'mu': 4, 'iter': 94}
{'baseline-error': 0.013, 'self-trained-error': 0.0035, 'p': 0.1, 'mu': 4, 'iter': 95}
{'baseline-error': 0.0055, 'self-trained-error': 0.002, 'p': 0.1, 'mu': 4, 'iter': 96}
{'baseline-error': 0.0255, 'self-trained-error': 0.0035, 'p': 0.1, 'mu': 4, 'iter': 97}
{'baseline-error': 0.0095, 'self-trained-error': 0.001, 'p': 0.1, 'mu': 4, 'iter': 98}
{'baseline-error': 0.0105, 'self-trained-error': 0.0065, 'p': 0.1, 'mu': 4, 'iter': 99}
