{'baseline-error': 0.0365, 'self-trained-error': 0.0325, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 350}
{'baseline-error': 0.054, 'self-trained-error': 0.0485, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 351}
{'baseline-error': 0.0495, 'self-trained-error': 0.0345, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 352}
{'baseline-error': 0.0415, 'self-trained-error': 0.0405, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 353}
{'baseline-error': 0.036, 'self-trained-error': 0.0365, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 354}
{'baseline-error': 0.0435, 'self-trained-error': 0.038, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 355}
{'baseline-error': 0.045, 'self-trained-error': 0.0375, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 356}
{'baseline-error': 0.044, 'self-trained-error': 0.0365, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 357}
{'baseline-error': 0.0525, 'self-trained-error': 0.0525, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 358}
{'baseline-error': 0.0505, 'self-trained-error': 0.0435, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 359}
{'baseline-error': 0.0495, 'self-trained-error': 0.046, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 360}
{'baseline-error': 0.0435, 'self-trained-error': 0.0405, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 361}
{'baseline-error': 0.0615, 'self-trained-error': 0.051, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 362}
{'baseline-error': 0.0385, 'self-trained-error': 0.034, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 363}
{'baseline-error': 0.0335, 'self-trained-error': 0.038, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 364}
{'baseline-error': 0.0455, 'self-trained-error': 0.04, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 365}
{'baseline-error': 0.0595, 'self-trained-error': 0.052, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 366}
{'baseline-error': 0.038, 'self-trained-error': 0.033, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 367}
{'baseline-error': 0.044, 'self-trained-error': 0.042, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 368}
{'baseline-error': 0.0405, 'self-trained-error': 0.037, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 369}
{'baseline-error': 0.0395, 'self-trained-error': 0.039, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 370}
{'baseline-error': 0.0365, 'self-trained-error': 0.0345, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 371}
{'baseline-error': 0.04, 'self-trained-error': 0.039, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 372}
{'baseline-error': 0.051, 'self-trained-error': 0.0525, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 373}
{'baseline-error': 0.054, 'self-trained-error': 0.051, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 374}
{'baseline-error': 0.0465, 'self-trained-error': 0.0405, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 375}
{'baseline-error': 0.034, 'self-trained-error': 0.0315, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 376}
{'baseline-error': 0.044, 'self-trained-error': 0.041, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 377}
{'baseline-error': 0.0415, 'self-trained-error': 0.037, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 378}
{'baseline-error': 0.0525, 'self-trained-error': 0.0495, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 379}
{'baseline-error': 0.039, 'self-trained-error': 0.0425, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 380}
{'baseline-error': 0.0655, 'self-trained-error': 0.0455, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 381}
{'baseline-error': 0.052, 'self-trained-error': 0.0505, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 382}
{'baseline-error': 0.0385, 'self-trained-error': 0.04, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 383}
{'baseline-error': 0.05, 'self-trained-error': 0.0425, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 384}
{'baseline-error': 0.0455, 'self-trained-error': 0.0395, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 385}
{'baseline-error': 0.046, 'self-trained-error': 0.046, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 386}
{'baseline-error': 0.05, 'self-trained-error': 0.0415, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 387}
{'baseline-error': 0.0415, 'self-trained-error': 0.0395, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 388}
{'baseline-error': 0.0485, 'self-trained-error': 0.047, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 389}
{'baseline-error': 0.0575, 'self-trained-error': 0.0505, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 390}
{'baseline-error': 0.0415, 'self-trained-error': 0.0405, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 391}
{'baseline-error': 0.043, 'self-trained-error': 0.0435, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 392}
{'baseline-error': 0.0465, 'self-trained-error': 0.0455, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 393}
{'baseline-error': 0.0455, 'self-trained-error': 0.047, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 394}
{'baseline-error': 0.0425, 'self-trained-error': 0.0405, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 395}
{'baseline-error': 0.038, 'self-trained-error': 0.038, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 396}
{'baseline-error': 0.0445, 'self-trained-error': 0.042, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 397}
{'baseline-error': 0.049, 'self-trained-error': 0.0475, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 398}
{'baseline-error': 0.0415, 'self-trained-error': 0.038, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 399}
