{'baseline-error': 0.0445, 'self-trained-error': 0.0365, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 100}
{'baseline-error': 0.036, 'self-trained-error': 0.0365, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 101}
{'baseline-error': 0.0415, 'self-trained-error': 0.038, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 102}
{'baseline-error': 0.044, 'self-trained-error': 0.045, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 103}
{'baseline-error': 0.0445, 'self-trained-error': 0.044, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 104}
{'baseline-error': 0.039, 'self-trained-error': 0.0375, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 105}
{'baseline-error': 0.048, 'self-trained-error': 0.042, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 106}
{'baseline-error': 0.05, 'self-trained-error': 0.047, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 107}
{'baseline-error': 0.074, 'self-trained-error': 0.055, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 108}
{'baseline-error': 0.044, 'self-trained-error': 0.036, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 109}
{'baseline-error': 0.043, 'self-trained-error': 0.0395, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 110}
{'baseline-error': 0.0455, 'self-trained-error': 0.041, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 111}
{'baseline-error': 0.0335, 'self-trained-error': 0.0315, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 112}
{'baseline-error': 0.0445, 'self-trained-error': 0.0375, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 113}
{'baseline-error': 0.0425, 'self-trained-error': 0.0395, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 114}
{'baseline-error': 0.051, 'self-trained-error': 0.0495, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 115}
{'baseline-error': 0.0345, 'self-trained-error': 0.0365, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 116}
{'baseline-error': 0.041, 'self-trained-error': 0.0405, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 117}
{'baseline-error': 0.081, 'self-trained-error': 0.077, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 118}
{'baseline-error': 0.046, 'self-trained-error': 0.0455, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 119}
{'baseline-error': 0.035, 'self-trained-error': 0.037, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 120}
{'baseline-error': 0.038, 'self-trained-error': 0.036, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 121}
{'baseline-error': 0.0395, 'self-trained-error': 0.0375, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 122}
{'baseline-error': 0.0465, 'self-trained-error': 0.046, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 123}
{'baseline-error': 0.0435, 'self-trained-error': 0.041, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 124}
{'baseline-error': 0.0425, 'self-trained-error': 0.0415, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 125}
{'baseline-error': 0.044, 'self-trained-error': 0.0425, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 126}
{'baseline-error': 0.0475, 'self-trained-error': 0.0445, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 127}
{'baseline-error': 0.043, 'self-trained-error': 0.0435, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 128}
{'baseline-error': 0.046, 'self-trained-error': 0.049, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 129}
{'baseline-error': 0.041, 'self-trained-error': 0.0435, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 130}
{'baseline-error': 0.045, 'self-trained-error': 0.042, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 131}
{'baseline-error': 0.042, 'self-trained-error': 0.0395, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 132}
{'baseline-error': 0.042, 'self-trained-error': 0.0435, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 133}
{'baseline-error': 0.0565, 'self-trained-error': 0.0405, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 134}
{'baseline-error': 0.05, 'self-trained-error': 0.0465, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 135}
{'baseline-error': 0.0555, 'self-trained-error': 0.04, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 136}
{'baseline-error': 0.0685, 'self-trained-error': 0.051, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 137}
{'baseline-error': 0.044, 'self-trained-error': 0.0435, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 138}
{'baseline-error': 0.074, 'self-trained-error': 0.043, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 139}
{'baseline-error': 0.0395, 'self-trained-error': 0.035, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 140}
{'baseline-error': 0.042, 'self-trained-error': 0.0415, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 141}
