{'baseline-error': 0.124, 'self-trained-error': 0.12, 'p': 0.20000000000000004, 'mu': 2, 'iter': 300}
{'baseline-error': 0.1535, 'self-trained-error': 0.1505, 'p': 0.20000000000000004, 'mu': 2, 'iter': 301}
{'baseline-error': 0.1125, 'self-trained-error': 0.0775, 'p': 0.20000000000000004, 'mu': 2, 'iter': 302}
{'baseline-error': 0.127, 'self-trained-error': 0.109, 'p': 0.20000000000000004, 'mu': 2, 'iter': 303}
{'baseline-error': 0.102, 'self-trained-error': 0.0825, 'p': 0.20000000000000004, 'mu': 2, 'iter': 304}
{'baseline-error': 0.1175, 'self-trained-error': 0.114, 'p': 0.20000000000000004, 'mu': 2, 'iter': 305}
{'baseline-error': 0.1135, 'self-trained-error': 0.0825, 'p': 0.20000000000000004, 'mu': 2, 'iter': 306}
{'baseline-error': 0.0805, 'self-trained-error': 0.076, 'p': 0.20000000000000004, 'mu': 2, 'iter': 307}
{'baseline-error': 0.0995, 'self-trained-error': 0.096, 'p': 0.20000000000000004, 'mu': 2, 'iter': 308}
{'baseline-error': 0.15, 'self-trained-error': 0.149, 'p': 0.20000000000000004, 'mu': 2, 'iter': 309}
{'baseline-error': 0.1005, 'self-trained-error': 0.104, 'p': 0.20000000000000004, 'mu': 2, 'iter': 310}
{'baseline-error': 0.1135, 'self-trained-error': 0.1015, 'p': 0.20000000000000004, 'mu': 2, 'iter': 311}
{'baseline-error': 0.095, 'self-trained-error': 0.0795, 'p': 0.20000000000000004, 'mu': 2, 'iter': 312}
{'baseline-error': 0.1185, 'self-trained-error': 0.1185, 'p': 0.20000000000000004, 'mu': 2, 'iter': 313}
{'baseline-error': 0.103, 'self-trained-error': 0.088, 'p': 0.20000000000000004, 'mu': 2, 'iter': 314}
{'baseline-error': 0.139, 'self-trained-error': 0.131, 'p': 0.20000000000000004, 'mu': 2, 'iter': 315}
{'baseline-error': 0.116, 'self-trained-error': 0.1055, 'p': 0.20000000000000004, 'mu': 2, 'iter': 316}
{'baseline-error': 0.1025, 'self-trained-error': 0.099, 'p': 0.20000000000000004, 'mu': 2, 'iter': 317}
{'baseline-error': 0.144, 'self-trained-error': 0.1415, 'p': 0.20000000000000004, 'mu': 2, 'iter': 318}
{'baseline-error': 0.1305, 'self-trained-error': 0.0905, 'p': 0.20000000000000004, 'mu': 2, 'iter': 319}
{'baseline-error': 0.1095, 'self-trained-error': 0.088, 'p': 0.20000000000000004, 'mu': 2, 'iter': 320}
{'baseline-error': 0.219, 'self-trained-error': 0.2155, 'p': 0.20000000000000004, 'mu': 2, 'iter': 321}
{'baseline-error': 0.106, 'self-trained-error': 0.1025, 'p': 0.20000000000000004, 'mu': 2, 'iter': 322}
{'baseline-error': 0.0965, 'self-trained-error': 0.1, 'p': 0.20000000000000004, 'mu': 2, 'iter': 323}
{'baseline-error': 0.1025, 'self-trained-error': 0.082, 'p': 0.20000000000000004, 'mu': 2, 'iter': 324}
{'baseline-error': 0.1195, 'self-trained-error': 0.0905, 'p': 0.20000000000000004, 'mu': 2, 'iter': 325}
{'baseline-error': 0.1295, 'self-trained-error': 0.091, 'p': 0.20000000000000004, 'mu': 2, 'iter': 326}
{'baseline-error': 0.135, 'self-trained-error': 0.1305, 'p': 0.20000000000000004, 'mu': 2, 'iter': 327}
{'baseline-error': 0.1025, 'self-trained-error': 0.0935, 'p': 0.20000000000000004, 'mu': 2, 'iter': 328}
{'baseline-error': 0.118, 'self-trained-error': 0.119, 'p': 0.20000000000000004, 'mu': 2, 'iter': 329}
{'baseline-error': 0.1075, 'self-trained-error': 0.088, 'p': 0.20000000000000004, 'mu': 2, 'iter': 330}
{'baseline-error': 0.085, 'self-trained-error': 0.0865, 'p': 0.20000000000000004, 'mu': 2, 'iter': 331}
{'baseline-error': 0.0945, 'self-trained-error': 0.0925, 'p': 0.20000000000000004, 'mu': 2, 'iter': 332}
{'baseline-error': 0.098, 'self-trained-error': 0.091, 'p': 0.20000000000000004, 'mu': 2, 'iter': 333}
{'baseline-error': 0.1075, 'self-trained-error': 0.0925, 'p': 0.20000000000000004, 'mu': 2, 'iter': 334}
{'baseline-error': 0.0965, 'self-trained-error': 0.0835, 'p': 0.20000000000000004, 'mu': 2, 'iter': 335}
{'baseline-error': 0.1505, 'self-trained-error': 0.1415, 'p': 0.20000000000000004, 'mu': 2, 'iter': 336}
{'baseline-error': 0.09, 'self-trained-error': 0.0885, 'p': 0.20000000000000004, 'mu': 2, 'iter': 337}
{'baseline-error': 0.106, 'self-trained-error': 0.0945, 'p': 0.20000000000000004, 'mu': 2, 'iter': 338}
{'baseline-error': 0.105, 'self-trained-error': 0.093, 'p': 0.20000000000000004, 'mu': 2, 'iter': 339}
{'baseline-error': 0.1495, 'self-trained-error': 0.1265, 'p': 0.20000000000000004, 'mu': 2, 'iter': 340}
{'baseline-error': 0.137, 'self-trained-error': 0.1, 'p': 0.20000000000000004, 'mu': 2, 'iter': 341}
{'baseline-error': 0.1225, 'self-trained-error': 0.1125, 'p': 0.20000000000000004, 'mu': 2, 'iter': 342}
{'baseline-error': 0.128, 'self-trained-error': 0.1105, 'p': 0.20000000000000004, 'mu': 2, 'iter': 343}
{'baseline-error': 0.1305, 'self-trained-error': 0.121, 'p': 0.20000000000000004, 'mu': 2, 'iter': 344}
{'baseline-error': 0.097, 'self-trained-error': 0.082, 'p': 0.20000000000000004, 'mu': 2, 'iter': 345}
