{'baseline-error': 0.077, 'self-trained-error': 0.076, 'p': 0.40000000000000013, 'mu': 2, 'iter': 350}
{'baseline-error': 0.082, 'self-trained-error': 0.0845, 'p': 0.40000000000000013, 'mu': 2, 'iter': 351}
{'baseline-error': 0.077, 'self-trained-error': 0.0815, 'p': 0.40000000000000013, 'mu': 2, 'iter': 352}
{'baseline-error': 0.0855, 'self-trained-error': 0.0845, 'p': 0.40000000000000013, 'mu': 2, 'iter': 353}
{'baseline-error': 0.089, 'self-trained-error': 0.089, 'p': 0.40000000000000013, 'mu': 2, 'iter': 354}
{'baseline-error': 0.0925, 'self-trained-error': 0.089, 'p': 0.40000000000000013, 'mu': 2, 'iter': 355}
{'baseline-error': 0.091, 'self-trained-error': 0.092, 'p': 0.40000000000000013, 'mu': 2, 'iter': 356}
{'baseline-error': 0.084, 'self-trained-error': 0.0835, 'p': 0.40000000000000013, 'mu': 2, 'iter': 357}
{'baseline-error': 0.085, 'self-trained-error': 0.084, 'p': 0.40000000000000013, 'mu': 2, 'iter': 358}
{'baseline-error': 0.0865, 'self-trained-error': 0.0875, 'p': 0.40000000000000013, 'mu': 2, 'iter': 359}
{'baseline-error': 0.09, 'self-trained-error': 0.0845, 'p': 0.40000000000000013, 'mu': 2, 'iter': 360}
{'baseline-error': 0.0885, 'self-trained-error': 0.08, 'p': 0.40000000000000013, 'mu': 2, 'iter': 361}
{'baseline-error': 0.0915, 'self-trained-error': 0.089, 'p': 0.40000000000000013, 'mu': 2, 'iter': 362}
{'baseline-error': 0.081, 'self-trained-error': 0.082, 'p': 0.40000000000000013, 'mu': 2, 'iter': 363}
{'baseline-error': 0.095, 'self-trained-error': 0.084, 'p': 0.40000000000000013, 'mu': 2, 'iter': 364}
{'baseline-error': 0.087, 'self-trained-error': 0.0855, 'p': 0.40000000000000013, 'mu': 2, 'iter': 365}
{'baseline-error': 0.078, 'self-trained-error': 0.0795, 'p': 0.40000000000000013, 'mu': 2, 'iter': 366}
{'baseline-error': 0.0935, 'self-trained-error': 0.092, 'p': 0.40000000000000013, 'mu': 2, 'iter': 367}
{'baseline-error': 0.0725, 'self-trained-error': 0.072, 'p': 0.40000000000000013, 'mu': 2, 'iter': 368}
{'baseline-error': 0.086, 'self-trained-error': 0.0885, 'p': 0.40000000000000013, 'mu': 2, 'iter': 369}
{'baseline-error': 0.0955, 'self-trained-error': 0.0955, 'p': 0.40000000000000013, 'mu': 2, 'iter': 370}
{'baseline-error': 0.091, 'self-trained-error': 0.0935, 'p': 0.40000000000000013, 'mu': 2, 'iter': 371}
{'baseline-error': 0.074, 'self-trained-error': 0.0755, 'p': 0.40000000000000013, 'mu': 2, 'iter': 372}
{'baseline-error': 0.069, 'self-trained-error': 0.07, 'p': 0.40000000000000013, 'mu': 2, 'iter': 373}
