{'baseline-error': 0.145, 'self-trained-error': 0.079, 'p': 0.1, 'mu': 2.5, 'iter': 0}
{'baseline-error': 0.106, 'self-trained-error': 0.097, 'p': 0.1, 'mu': 2.5, 'iter': 1}
{'baseline-error': 0.1365, 'self-trained-error': 0.1105, 'p': 0.1, 'mu': 2.5, 'iter': 2}
{'baseline-error': 0.0655, 'self-trained-error': 0.0645, 'p': 0.1, 'mu': 2.5, 'iter': 3}
{'baseline-error': 0.0595, 'self-trained-error': 0.0425, 'p': 0.1, 'mu': 2.5, 'iter': 4}
{'baseline-error': 0.1035, 'self-trained-error': 0.1, 'p': 0.1, 'mu': 2.5, 'iter': 5}
{'baseline-error': 0.086, 'self-trained-error': 0.0585, 'p': 0.1, 'mu': 2.5, 'iter': 6}
{'baseline-error': 0.09, 'self-trained-error': 0.08, 'p': 0.1, 'mu': 2.5, 'iter': 7}
{'baseline-error': 0.088, 'self-trained-error': 0.076, 'p': 0.1, 'mu': 2.5, 'iter': 8}
{'baseline-error': 0.1055, 'self-trained-error': 0.0495, 'p': 0.1, 'mu': 2.5, 'iter': 9}
{'baseline-error': 0.0865, 'self-trained-error': 0.047, 'p': 0.1, 'mu': 2.5, 'iter': 10}
{'baseline-error': 0.0925, 'self-trained-error': 0.0655, 'p': 0.1, 'mu': 2.5, 'iter': 11}
{'baseline-error': 0.1075, 'self-trained-error': 0.0795, 'p': 0.1, 'mu': 2.5, 'iter': 12}
{'baseline-error': 0.073, 'self-trained-error': 0.059, 'p': 0.1, 'mu': 2.5, 'iter': 13}
{'baseline-error': 0.135, 'self-trained-error': 0.078, 'p': 0.1, 'mu': 2.5, 'iter': 14}
{'baseline-error': 0.091, 'self-trained-error': 0.0735, 'p': 0.1, 'mu': 2.5, 'iter': 15}
{'baseline-error': 0.1875, 'self-trained-error': 0.1295, 'p': 0.1, 'mu': 2.5, 'iter': 16}
{'baseline-error': 0.106, 'self-trained-error': 0.0665, 'p': 0.1, 'mu': 2.5, 'iter': 17}
{'baseline-error': 0.0565, 'self-trained-error': 0.037, 'p': 0.1, 'mu': 2.5, 'iter': 18}
{'baseline-error': 0.113, 'self-trained-error': 0.101, 'p': 0.1, 'mu': 2.5, 'iter': 19}
{'baseline-error': 0.1085, 'self-trained-error': 0.1045, 'p': 0.1, 'mu': 2.5, 'iter': 20}
{'baseline-error': 0.106, 'self-trained-error': 0.065, 'p': 0.1, 'mu': 2.5, 'iter': 21}
{'baseline-error': 0.066, 'self-trained-error': 0.048, 'p': 0.1, 'mu': 2.5, 'iter': 22}
{'baseline-error': 0.054, 'self-trained-error': 0.0405, 'p': 0.1, 'mu': 2.5, 'iter': 23}
{'baseline-error': 0.088, 'self-trained-error': 0.062, 'p': 0.1, 'mu': 2.5, 'iter': 24}
{'baseline-error': 0.117, 'self-trained-error': 0.062, 'p': 0.1, 'mu': 2.5, 'iter': 25}
{'baseline-error': 0.0735, 'self-trained-error': 0.04, 'p': 0.1, 'mu': 2.5, 'iter': 26}
{'baseline-error': 0.126, 'self-trained-error': 0.0655, 'p': 0.1, 'mu': 2.5, 'iter': 27}
{'baseline-error': 0.092, 'self-trained-error': 0.0755, 'p': 0.1, 'mu': 2.5, 'iter': 28}
{'baseline-error': 0.053, 'self-trained-error': 0.0455, 'p': 0.1, 'mu': 2.5, 'iter': 29}
{'baseline-error': 0.1135, 'self-trained-error': 0.1045, 'p': 0.1, 'mu': 2.5, 'iter': 30}
{'baseline-error': 0.115, 'self-trained-error': 0.1075, 'p': 0.1, 'mu': 2.5, 'iter': 31}
{'baseline-error': 0.0785, 'self-trained-error': 0.0585, 'p': 0.1, 'mu': 2.5, 'iter': 32}
{'baseline-error': 0.0885, 'self-trained-error': 0.065, 'p': 0.1, 'mu': 2.5, 'iter': 33}
{'baseline-error': 0.0735, 'self-trained-error': 0.058, 'p': 0.1, 'mu': 2.5, 'iter': 34}
{'baseline-error': 0.066, 'self-trained-error': 0.059, 'p': 0.1, 'mu': 2.5, 'iter': 35}
{'baseline-error': 0.0615, 'self-trained-error': 0.043, 'p': 0.1, 'mu': 2.5, 'iter': 36}
{'baseline-error': 0.059, 'self-trained-error': 0.0425, 'p': 0.1, 'mu': 2.5, 'iter': 37}
{'baseline-error': 0.058, 'self-trained-error': 0.0375, 'p': 0.1, 'mu': 2.5, 'iter': 38}
{'baseline-error': 0.0735, 'self-trained-error': 0.0705, 'p': 0.1, 'mu': 2.5, 'iter': 39}
{'baseline-error': 0.0815, 'self-trained-error': 0.057, 'p': 0.1, 'mu': 2.5, 'iter': 40}
{'baseline-error': 0.069, 'self-trained-error': 0.0515, 'p': 0.1, 'mu': 2.5, 'iter': 41}
{'baseline-error': 0.094, 'self-trained-error': 0.0675, 'p': 0.1, 'mu': 2.5, 'iter': 42}
{'baseline-error': 0.1255, 'self-trained-error': 0.113, 'p': 0.1, 'mu': 2.5, 'iter': 43}
{'baseline-error': 0.1355, 'self-trained-error': 0.127, 'p': 0.1, 'mu': 2.5, 'iter': 44}
{'baseline-error': 0.0855, 'self-trained-error': 0.052, 'p': 0.1, 'mu': 2.5, 'iter': 45}
{'baseline-error': 0.0585, 'self-trained-error': 0.044, 'p': 0.1, 'mu': 2.5, 'iter': 46}
{'baseline-error': 0.073, 'self-trained-error': 0.04, 'p': 0.1, 'mu': 2.5, 'iter': 47}
{'baseline-error': 0.083, 'self-trained-error': 0.076, 'p': 0.1, 'mu': 2.5, 'iter': 48}
{'baseline-error': 0.0845, 'self-trained-error': 0.0565, 'p': 0.1, 'mu': 2.5, 'iter': 49}
