{'baseline-error': 0.0985, 'self-trained-error': 0.0985, 'p': 0.20000000000000004, 'mu': 2, 'iter': 0}
{'baseline-error': 0.121, 'self-trained-error': 0.1055, 'p': 0.20000000000000004, 'mu': 2, 'iter': 1}
{'baseline-error': 0.1805, 'self-trained-error': 0.138, 'p': 0.20000000000000004, 'mu': 2, 'iter': 2}
{'baseline-error': 0.0875, 'self-trained-error': 0.0835, 'p': 0.20000000000000004, 'mu': 2, 'iter': 3}
{'baseline-error': 0.094, 'self-trained-error': 0.0825, 'p': 0.20000000000000004, 'mu': 2, 'iter': 4}
{'baseline-error': 0.13, 'self-trained-error': 0.1225, 'p': 0.20000000000000004, 'mu': 2, 'iter': 5}
{'baseline-error': 0.1675, 'self-trained-error': 0.174, 'p': 0.20000000000000004, 'mu': 2, 'iter': 6}
{'baseline-error': 0.096, 'self-trained-error': 0.096, 'p': 0.20000000000000004, 'mu': 2, 'iter': 7}
{'baseline-error': 0.134, 'self-trained-error': 0.128, 'p': 0.20000000000000004, 'mu': 2, 'iter': 8}
{'baseline-error': 0.14, 'self-trained-error': 0.138, 'p': 0.20000000000000004, 'mu': 2, 'iter': 9}
{'baseline-error': 0.096, 'self-trained-error': 0.0815, 'p': 0.20000000000000004, 'mu': 2, 'iter': 10}
{'baseline-error': 0.1145, 'self-trained-error': 0.1045, 'p': 0.20000000000000004, 'mu': 2, 'iter': 11}
{'baseline-error': 0.0955, 'self-trained-error': 0.092, 'p': 0.20000000000000004, 'mu': 2, 'iter': 12}
{'baseline-error': 0.132, 'self-trained-error': 0.1305, 'p': 0.20000000000000004, 'mu': 2, 'iter': 13}
{'baseline-error': 0.096, 'self-trained-error': 0.086, 'p': 0.20000000000000004, 'mu': 2, 'iter': 14}
{'baseline-error': 0.106, 'self-trained-error': 0.0855, 'p': 0.20000000000000004, 'mu': 2, 'iter': 15}
{'baseline-error': 0.0965, 'self-trained-error': 0.085, 'p': 0.20000000000000004, 'mu': 2, 'iter': 16}
{'baseline-error': 0.1495, 'self-trained-error': 0.1365, 'p': 0.20000000000000004, 'mu': 2, 'iter': 17}
{'baseline-error': 0.1165, 'self-trained-error': 0.111, 'p': 0.20000000000000004, 'mu': 2, 'iter': 18}
{'baseline-error': 0.1205, 'self-trained-error': 0.108, 'p': 0.20000000000000004, 'mu': 2, 'iter': 19}
{'baseline-error': 0.1555, 'self-trained-error': 0.1315, 'p': 0.20000000000000004, 'mu': 2, 'iter': 20}
{'baseline-error': 0.132, 'self-trained-error': 0.13, 'p': 0.20000000000000004, 'mu': 2, 'iter': 21}
{'baseline-error': 0.1145, 'self-trained-error': 0.0945, 'p': 0.20000000000000004, 'mu': 2, 'iter': 22}
