{'baseline-error': 0.049, 'self-trained-error': 0.0345, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 150}
{'baseline-error': 0.0465, 'self-trained-error': 0.043, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 151}
{'baseline-error': 0.042, 'self-trained-error': 0.0405, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 152}
{'baseline-error': 0.0445, 'self-trained-error': 0.0425, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 153}
{'baseline-error': 0.0395, 'self-trained-error': 0.038, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 154}
{'baseline-error': 0.0525, 'self-trained-error': 0.0475, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 155}
{'baseline-error': 0.056, 'self-trained-error': 0.0515, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 156}
{'baseline-error': 0.0525, 'self-trained-error': 0.048, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 157}
{'baseline-error': 0.0615, 'self-trained-error': 0.0595, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 158}
{'baseline-error': 0.0405, 'self-trained-error': 0.0405, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 159}
{'baseline-error': 0.0375, 'self-trained-error': 0.029, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 160}
{'baseline-error': 0.038, 'self-trained-error': 0.038, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 161}
{'baseline-error': 0.051, 'self-trained-error': 0.045, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 162}
{'baseline-error': 0.057, 'self-trained-error': 0.0485, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 163}
{'baseline-error': 0.0485, 'self-trained-error': 0.049, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 164}
{'baseline-error': 0.04, 'self-trained-error': 0.04, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 165}
{'baseline-error': 0.0625, 'self-trained-error': 0.0535, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 166}
{'baseline-error': 0.0455, 'self-trained-error': 0.0455, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 167}
