{'baseline-error': 0.0835, 'self-trained-error': 0.091, 'p': 0.3500000000000001, 'mu': 2, 'iter': 450}
{'baseline-error': 0.103, 'self-trained-error': 0.0935, 'p': 0.3500000000000001, 'mu': 2, 'iter': 451}
{'baseline-error': 0.0895, 'self-trained-error': 0.087, 'p': 0.3500000000000001, 'mu': 2, 'iter': 452}
{'baseline-error': 0.1155, 'self-trained-error': 0.114, 'p': 0.3500000000000001, 'mu': 2, 'iter': 453}
{'baseline-error': 0.0935, 'self-trained-error': 0.088, 'p': 0.3500000000000001, 'mu': 2, 'iter': 454}
{'baseline-error': 0.091, 'self-trained-error': 0.089, 'p': 0.3500000000000001, 'mu': 2, 'iter': 455}
{'baseline-error': 0.0935, 'self-trained-error': 0.082, 'p': 0.3500000000000001, 'mu': 2, 'iter': 456}
{'baseline-error': 0.1025, 'self-trained-error': 0.0985, 'p': 0.3500000000000001, 'mu': 2, 'iter': 457}
{'baseline-error': 0.0815, 'self-trained-error': 0.0805, 'p': 0.3500000000000001, 'mu': 2, 'iter': 458}
{'baseline-error': 0.1095, 'self-trained-error': 0.1105, 'p': 0.3500000000000001, 'mu': 2, 'iter': 459}
{'baseline-error': 0.09, 'self-trained-error': 0.093, 'p': 0.3500000000000001, 'mu': 2, 'iter': 460}
{'baseline-error': 0.0775, 'self-trained-error': 0.084, 'p': 0.3500000000000001, 'mu': 2, 'iter': 461}
{'baseline-error': 0.1135, 'self-trained-error': 0.1065, 'p': 0.3500000000000001, 'mu': 2, 'iter': 462}
{'baseline-error': 0.091, 'self-trained-error': 0.09, 'p': 0.3500000000000001, 'mu': 2, 'iter': 463}
{'baseline-error': 0.091, 'self-trained-error': 0.082, 'p': 0.3500000000000001, 'mu': 2, 'iter': 464}
{'baseline-error': 0.0855, 'self-trained-error': 0.088, 'p': 0.3500000000000001, 'mu': 2, 'iter': 465}
{'baseline-error': 0.086, 'self-trained-error': 0.087, 'p': 0.3500000000000001, 'mu': 2, 'iter': 466}
{'baseline-error': 0.085, 'self-trained-error': 0.083, 'p': 0.3500000000000001, 'mu': 2, 'iter': 467}
{'baseline-error': 0.083, 'self-trained-error': 0.082, 'p': 0.3500000000000001, 'mu': 2, 'iter': 468}
{'baseline-error': 0.0895, 'self-trained-error': 0.086, 'p': 0.3500000000000001, 'mu': 2, 'iter': 469}
{'baseline-error': 0.0855, 'self-trained-error': 0.0865, 'p': 0.3500000000000001, 'mu': 2, 'iter': 470}
{'baseline-error': 0.098, 'self-trained-error': 0.087, 'p': 0.3500000000000001, 'mu': 2, 'iter': 471}
{'baseline-error': 0.08, 'self-trained-error': 0.0825, 'p': 0.3500000000000001, 'mu': 2, 'iter': 472}
{'baseline-error': 0.095, 'self-trained-error': 0.086, 'p': 0.3500000000000001, 'mu': 2, 'iter': 473}
{'baseline-error': 0.091, 'self-trained-error': 0.0905, 'p': 0.3500000000000001, 'mu': 2, 'iter': 474}
{'baseline-error': 0.0815, 'self-trained-error': 0.079, 'p': 0.3500000000000001, 'mu': 2, 'iter': 475}
{'baseline-error': 0.089, 'self-trained-error': 0.087, 'p': 0.3500000000000001, 'mu': 2, 'iter': 476}
{'baseline-error': 0.0975, 'self-trained-error': 0.09, 'p': 0.3500000000000001, 'mu': 2, 'iter': 477}
{'baseline-error': 0.1, 'self-trained-error': 0.094, 'p': 0.3500000000000001, 'mu': 2, 'iter': 478}
{'baseline-error': 0.0865, 'self-trained-error': 0.0835, 'p': 0.3500000000000001, 'mu': 2, 'iter': 479}
{'baseline-error': 0.0755, 'self-trained-error': 0.0765, 'p': 0.3500000000000001, 'mu': 2, 'iter': 480}
{'baseline-error': 0.0785, 'self-trained-error': 0.0805, 'p': 0.3500000000000001, 'mu': 2, 'iter': 481}
{'baseline-error': 0.089, 'self-trained-error': 0.087, 'p': 0.3500000000000001, 'mu': 2, 'iter': 482}
{'baseline-error': 0.09, 'self-trained-error': 0.0945, 'p': 0.3500000000000001, 'mu': 2, 'iter': 483}
{'baseline-error': 0.086, 'self-trained-error': 0.0835, 'p': 0.3500000000000001, 'mu': 2, 'iter': 484}
{'baseline-error': 0.095, 'self-trained-error': 0.0925, 'p': 0.3500000000000001, 'mu': 2, 'iter': 485}
{'baseline-error': 0.087, 'self-trained-error': 0.084, 'p': 0.3500000000000001, 'mu': 2, 'iter': 486}
{'baseline-error': 0.105, 'self-trained-error': 0.1015, 'p': 0.3500000000000001, 'mu': 2, 'iter': 487}
{'baseline-error': 0.0765, 'self-trained-error': 0.072, 'p': 0.3500000000000001, 'mu': 2, 'iter': 488}
{'baseline-error': 0.085, 'self-trained-error': 0.085, 'p': 0.3500000000000001, 'mu': 2, 'iter': 489}
{'baseline-error': 0.083, 'self-trained-error': 0.084, 'p': 0.3500000000000001, 'mu': 2, 'iter': 490}
{'baseline-error': 0.0865, 'self-trained-error': 0.0865, 'p': 0.3500000000000001, 'mu': 2, 'iter': 491}
{'baseline-error': 0.086, 'self-trained-error': 0.0865, 'p': 0.3500000000000001, 'mu': 2, 'iter': 492}
{'baseline-error': 0.0855, 'self-trained-error': 0.0835, 'p': 0.3500000000000001, 'mu': 2, 'iter': 493}
