{'baseline-error': 0.0925, 'self-trained-error': 0.0825, 'p': 0.3500000000000001, 'mu': 2, 'iter': 50}
{'baseline-error': 0.1035, 'self-trained-error': 0.1015, 'p': 0.3500000000000001, 'mu': 2, 'iter': 51}
{'baseline-error': 0.083, 'self-trained-error': 0.0785, 'p': 0.3500000000000001, 'mu': 2, 'iter': 52}
{'baseline-error': 0.0885, 'self-trained-error': 0.0875, 'p': 0.3500000000000001, 'mu': 2, 'iter': 53}
{'baseline-error': 0.089, 'self-trained-error': 0.088, 'p': 0.3500000000000001, 'mu': 2, 'iter': 54}
{'baseline-error': 0.0825, 'self-trained-error': 0.0825, 'p': 0.3500000000000001, 'mu': 2, 'iter': 55}
{'baseline-error': 0.094, 'self-trained-error': 0.0935, 'p': 0.3500000000000001, 'mu': 2, 'iter': 56}
{'baseline-error': 0.099, 'self-trained-error': 0.091, 'p': 0.3500000000000001, 'mu': 2, 'iter': 57}
{'baseline-error': 0.0825, 'self-trained-error': 0.0795, 'p': 0.3500000000000001, 'mu': 2, 'iter': 58}
{'baseline-error': 0.089, 'self-trained-error': 0.09, 'p': 0.3500000000000001, 'mu': 2, 'iter': 59}
{'baseline-error': 0.089, 'self-trained-error': 0.085, 'p': 0.3500000000000001, 'mu': 2, 'iter': 60}
{'baseline-error': 0.0875, 'self-trained-error': 0.0875, 'p': 0.3500000000000001, 'mu': 2, 'iter': 61}
{'baseline-error': 0.092, 'self-trained-error': 0.0925, 'p': 0.3500000000000001, 'mu': 2, 'iter': 62}
{'baseline-error': 0.093, 'self-trained-error': 0.086, 'p': 0.3500000000000001, 'mu': 2, 'iter': 63}
{'baseline-error': 0.071, 'self-trained-error': 0.072, 'p': 0.3500000000000001, 'mu': 2, 'iter': 64}
{'baseline-error': 0.0805, 'self-trained-error': 0.0805, 'p': 0.3500000000000001, 'mu': 2, 'iter': 65}
{'baseline-error': 0.0935, 'self-trained-error': 0.098, 'p': 0.3500000000000001, 'mu': 2, 'iter': 66}
{'baseline-error': 0.0875, 'self-trained-error': 0.0885, 'p': 0.3500000000000001, 'mu': 2, 'iter': 67}
{'baseline-error': 0.092, 'self-trained-error': 0.0825, 'p': 0.3500000000000001, 'mu': 2, 'iter': 68}
{'baseline-error': 0.0745, 'self-trained-error': 0.072, 'p': 0.3500000000000001, 'mu': 2, 'iter': 69}
{'baseline-error': 0.08, 'self-trained-error': 0.076, 'p': 0.3500000000000001, 'mu': 2, 'iter': 70}
{'baseline-error': 0.0885, 'self-trained-error': 0.082, 'p': 0.3500000000000001, 'mu': 2, 'iter': 71}
{'baseline-error': 0.0935, 'self-trained-error': 0.0895, 'p': 0.3500000000000001, 'mu': 2, 'iter': 72}
{'baseline-error': 0.0845, 'self-trained-error': 0.085, 'p': 0.3500000000000001, 'mu': 2, 'iter': 73}
{'baseline-error': 0.1185, 'self-trained-error': 0.1155, 'p': 0.3500000000000001, 'mu': 2, 'iter': 74}
{'baseline-error': 0.0945, 'self-trained-error': 0.094, 'p': 0.3500000000000001, 'mu': 2, 'iter': 75}
{'baseline-error': 0.085, 'self-trained-error': 0.0805, 'p': 0.3500000000000001, 'mu': 2, 'iter': 76}
{'baseline-error': 0.084, 'self-trained-error': 0.0825, 'p': 0.3500000000000001, 'mu': 2, 'iter': 77}
{'baseline-error': 0.0795, 'self-trained-error': 0.0745, 'p': 0.3500000000000001, 'mu': 2, 'iter': 78}
