{'baseline-error': 0.021, 'self-trained-error': 0.0155, 'p': 0.30000000000000004, 'mu': 3, 'iter': 200}
{'baseline-error': 0.04, 'self-trained-error': 0.0305, 'p': 0.30000000000000004, 'mu': 3, 'iter': 201}
{'baseline-error': 0.021, 'self-trained-error': 0.0195, 'p': 0.30000000000000004, 'mu': 3, 'iter': 202}
{'baseline-error': 0.0205, 'self-trained-error': 0.0205, 'p': 0.30000000000000004, 'mu': 3, 'iter': 203}
{'baseline-error': 0.019, 'self-trained-error': 0.019, 'p': 0.30000000000000004, 'mu': 3, 'iter': 204}
{'baseline-error': 0.019, 'self-trained-error': 0.019, 'p': 0.30000000000000004, 'mu': 3, 'iter': 205}
{'baseline-error': 0.0215, 'self-trained-error': 0.0165, 'p': 0.30000000000000004, 'mu': 3, 'iter': 206}
{'baseline-error': 0.021, 'self-trained-error': 0.0205, 'p': 0.30000000000000004, 'mu': 3, 'iter': 207}
{'baseline-error': 0.0175, 'self-trained-error': 0.0125, 'p': 0.30000000000000004, 'mu': 3, 'iter': 208}
{'baseline-error': 0.0165, 'self-trained-error': 0.0145, 'p': 0.30000000000000004, 'mu': 3, 'iter': 209}
{'baseline-error': 0.0255, 'self-trained-error': 0.0175, 'p': 0.30000000000000004, 'mu': 3, 'iter': 210}
{'baseline-error': 0.0225, 'self-trained-error': 0.02, 'p': 0.30000000000000004, 'mu': 3, 'iter': 211}
{'baseline-error': 0.021, 'self-trained-error': 0.0165, 'p': 0.30000000000000004, 'mu': 3, 'iter': 212}
{'baseline-error': 0.0245, 'self-trained-error': 0.021, 'p': 0.30000000000000004, 'mu': 3, 'iter': 213}
{'baseline-error': 0.0235, 'self-trained-error': 0.016, 'p': 0.30000000000000004, 'mu': 3, 'iter': 214}
{'baseline-error': 0.025, 'self-trained-error': 0.0255, 'p': 0.30000000000000004, 'mu': 3, 'iter': 215}
{'baseline-error': 0.019, 'self-trained-error': 0.018, 'p': 0.30000000000000004, 'mu': 3, 'iter': 216}
{'baseline-error': 0.0145, 'self-trained-error': 0.0145, 'p': 0.30000000000000004, 'mu': 3, 'iter': 217}
{'baseline-error': 0.0185, 'self-trained-error': 0.017, 'p': 0.30000000000000004, 'mu': 3, 'iter': 218}
{'baseline-error': 0.0235, 'self-trained-error': 0.0175, 'p': 0.30000000000000004, 'mu': 3, 'iter': 219}
{'baseline-error': 0.0215, 'self-trained-error': 0.0185, 'p': 0.30000000000000004, 'mu': 3, 'iter': 220}
{'baseline-error': 0.021, 'self-trained-error': 0.021, 'p': 0.30000000000000004, 'mu': 3, 'iter': 221}
