{'baseline-error': 0.0555, 'self-trained-error': 0.0455, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 300}
{'baseline-error': 0.089, 'self-trained-error': 0.0885, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 301}
{'baseline-error': 0.059, 'self-trained-error': 0.0545, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 302}
{'baseline-error': 0.0545, 'self-trained-error': 0.0545, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 303}
{'baseline-error': 0.062, 'self-trained-error': 0.0545, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 304}
{'baseline-error': 0.0725, 'self-trained-error': 0.059, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 305}
{'baseline-error': 0.0675, 'self-trained-error': 0.0585, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 306}
{'baseline-error': 0.0445, 'self-trained-error': 0.039, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 307}
{'baseline-error': 0.0705, 'self-trained-error': 0.0535, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 308}
{'baseline-error': 0.0755, 'self-trained-error': 0.0725, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 309}
{'baseline-error': 0.075, 'self-trained-error': 0.055, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 310}
{'baseline-error': 0.1295, 'self-trained-error': 0.1115, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 311}
{'baseline-error': 0.088, 'self-trained-error': 0.078, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 312}
{'baseline-error': 0.0755, 'self-trained-error': 0.0585, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 313}
{'baseline-error': 0.0935, 'self-trained-error': 0.081, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 314}
{'baseline-error': 0.068, 'self-trained-error': 0.0595, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 315}
{'baseline-error': 0.099, 'self-trained-error': 0.07, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 316}
{'baseline-error': 0.0795, 'self-trained-error': 0.0785, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 317}
{'baseline-error': 0.063, 'self-trained-error': 0.049, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 318}
{'baseline-error': 0.0695, 'self-trained-error': 0.0635, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 319}
{'baseline-error': 0.056, 'self-trained-error': 0.052, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 320}
{'baseline-error': 0.0965, 'self-trained-error': 0.0945, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 321}
{'baseline-error': 0.056, 'self-trained-error': 0.047, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 322}
{'baseline-error': 0.093, 'self-trained-error': 0.08, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 323}
{'baseline-error': 0.093, 'self-trained-error': 0.063, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 324}
{'baseline-error': 0.053, 'self-trained-error': 0.0505, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 325}
{'baseline-error': 0.053, 'self-trained-error': 0.0445, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 326}
{'baseline-error': 0.0475, 'self-trained-error': 0.0405, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 327}
{'baseline-error': 0.0545, 'self-trained-error': 0.039, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 328}
{'baseline-error': 0.052, 'self-trained-error': 0.033, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 329}
{'baseline-error': 0.132, 'self-trained-error': 0.0875, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 330}
{'baseline-error': 0.081, 'self-trained-error': 0.0465, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 331}
{'baseline-error': 0.064, 'self-trained-error': 0.0615, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 332}
{'baseline-error': 0.058, 'self-trained-error': 0.04, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 333}
{'baseline-error': 0.066, 'self-trained-error': 0.061, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 334}
{'baseline-error': 0.0425, 'self-trained-error': 0.0335, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 335}
{'baseline-error': 0.0495, 'self-trained-error': 0.0485, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 336}
{'baseline-error': 0.0935, 'self-trained-error': 0.065, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 337}
{'baseline-error': 0.0515, 'self-trained-error': 0.037, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 338}
{'baseline-error': 0.1155, 'self-trained-error': 0.106, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 339}
{'baseline-error': 0.0755, 'self-trained-error': 0.0675, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 340}
{'baseline-error': 0.0775, 'self-trained-error': 0.0475, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 341}
{'baseline-error': 0.0485, 'self-trained-error': 0.0425, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 342}
{'baseline-error': 0.0425, 'self-trained-error': 0.041, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 343}
{'baseline-error': 0.093, 'self-trained-error': 0.0915, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 344}
{'baseline-error': 0.055, 'self-trained-error': 0.0335, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 345}
{'baseline-error': 0.0805, 'self-trained-error': 0.052, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 346}
{'baseline-error': 0.1165, 'self-trained-error': 0.128, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 347}
{'baseline-error': 0.092, 'self-trained-error': 0.0655, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 348}
{'baseline-error': 0.0575, 'self-trained-error': 0.0365, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 349}
