{'baseline-error': 0.0305, 'self-trained-error': 0.017, 'p': 0.1, 'mu': 3, 'iter': 0}
{'baseline-error': 0.0355, 'self-trained-error': 0.0135, 'p': 0.1, 'mu': 3, 'iter': 1}
{'baseline-error': 0.0285, 'self-trained-error': 0.0265, 'p': 0.1, 'mu': 3, 'iter': 2}
{'baseline-error': 0.062, 'self-trained-error': 0.055, 'p': 0.1, 'mu': 3, 'iter': 3}
{'baseline-error': 0.0375, 'self-trained-error': 0.021, 'p': 0.1, 'mu': 3, 'iter': 4}
{'baseline-error': 0.043, 'self-trained-error': 0.02, 'p': 0.1, 'mu': 3, 'iter': 5}
{'baseline-error': 0.0425, 'self-trained-error': 0.0245, 'p': 0.1, 'mu': 3, 'iter': 6}
{'baseline-error': 0.065, 'self-trained-error': 0.0595, 'p': 0.1, 'mu': 3, 'iter': 7}
{'baseline-error': 0.045, 'self-trained-error': 0.024, 'p': 0.1, 'mu': 3, 'iter': 8}
{'baseline-error': 0.071, 'self-trained-error': 0.029, 'p': 0.1, 'mu': 3, 'iter': 9}
{'baseline-error': 0.037, 'self-trained-error': 0.0315, 'p': 0.1, 'mu': 3, 'iter': 10}
{'baseline-error': 0.043, 'self-trained-error': 0.0165, 'p': 0.1, 'mu': 3, 'iter': 11}
{'baseline-error': 0.049, 'self-trained-error': 0.025, 'p': 0.1, 'mu': 3, 'iter': 12}
{'baseline-error': 0.045, 'self-trained-error': 0.027, 'p': 0.1, 'mu': 3, 'iter': 13}
{'baseline-error': 0.151, 'self-trained-error': 0.128, 'p': 0.1, 'mu': 3, 'iter': 14}
{'baseline-error': 0.03, 'self-trained-error': 0.016, 'p': 0.1, 'mu': 3, 'iter': 15}
{'baseline-error': 0.06, 'self-trained-error': 0.0325, 'p': 0.1, 'mu': 3, 'iter': 16}
{'baseline-error': 0.113, 'self-trained-error': 0.0805, 'p': 0.1, 'mu': 3, 'iter': 17}
{'baseline-error': 0.0575, 'self-trained-error': 0.0375, 'p': 0.1, 'mu': 3, 'iter': 18}
{'baseline-error': 0.054, 'self-trained-error': 0.024, 'p': 0.1, 'mu': 3, 'iter': 19}
{'baseline-error': 0.0385, 'self-trained-error': 0.0315, 'p': 0.1, 'mu': 3, 'iter': 20}
{'baseline-error': 0.0335, 'self-trained-error': 0.0215, 'p': 0.1, 'mu': 3, 'iter': 21}
{'baseline-error': 0.0375, 'self-trained-error': 0.0165, 'p': 0.1, 'mu': 3, 'iter': 22}
{'baseline-error': 0.071, 'self-trained-error': 0.018, 'p': 0.1, 'mu': 3, 'iter': 23}
{'baseline-error': 0.0395, 'self-trained-error': 0.0345, 'p': 0.1, 'mu': 3, 'iter': 24}
{'baseline-error': 0.026, 'self-trained-error': 0.017, 'p': 0.1, 'mu': 3, 'iter': 25}
{'baseline-error': 0.0305, 'self-trained-error': 0.0215, 'p': 0.1, 'mu': 3, 'iter': 26}
{'baseline-error': 0.0575, 'self-trained-error': 0.024, 'p': 0.1, 'mu': 3, 'iter': 27}
{'baseline-error': 0.0395, 'self-trained-error': 0.021, 'p': 0.1, 'mu': 3, 'iter': 28}
{'baseline-error': 0.043, 'self-trained-error': 0.016, 'p': 0.1, 'mu': 3, 'iter': 29}
{'baseline-error': 0.039, 'self-trained-error': 0.0315, 'p': 0.1, 'mu': 3, 'iter': 30}
{'baseline-error': 0.04, 'self-trained-error': 0.0335, 'p': 0.1, 'mu': 3, 'iter': 31}
{'baseline-error': 0.0955, 'self-trained-error': 0.091, 'p': 0.1, 'mu': 3, 'iter': 32}
{'baseline-error': 0.0445, 'self-trained-error': 0.0205, 'p': 0.1, 'mu': 3, 'iter': 33}
{'baseline-error': 0.0455, 'self-trained-error': 0.0215, 'p': 0.1, 'mu': 3, 'iter': 34}
{'baseline-error': 0.0195, 'self-trained-error': 0.0125, 'p': 0.1, 'mu': 3, 'iter': 35}
{'baseline-error': 0.0175, 'self-trained-error': 0.013, 'p': 0.1, 'mu': 3, 'iter': 36}
{'baseline-error': 0.0445, 'self-trained-error': 0.027, 'p': 0.1, 'mu': 3, 'iter': 37}
{'baseline-error': 0.0485, 'self-trained-error': 0.0475, 'p': 0.1, 'mu': 3, 'iter': 38}
{'baseline-error': 0.0485, 'self-trained-error': 0.027, 'p': 0.1, 'mu': 3, 'iter': 39}
{'baseline-error': 0.044, 'self-trained-error': 0.0205, 'p': 0.1, 'mu': 3, 'iter': 40}
{'baseline-error': 0.09, 'self-trained-error': 0.0835, 'p': 0.1, 'mu': 3, 'iter': 41}
{'baseline-error': 0.0555, 'self-trained-error': 0.021, 'p': 0.1, 'mu': 3, 'iter': 42}
{'baseline-error': 0.0755, 'self-trained-error': 0.0605, 'p': 0.1, 'mu': 3, 'iter': 43}
{'baseline-error': 0.0695, 'self-trained-error': 0.033, 'p': 0.1, 'mu': 3, 'iter': 44}
{'baseline-error': 0.0335, 'self-trained-error': 0.021, 'p': 0.1, 'mu': 3, 'iter': 45}
{'baseline-error': 0.051, 'self-trained-error': 0.037, 'p': 0.1, 'mu': 3, 'iter': 46}
{'baseline-error': 0.037, 'self-trained-error': 0.019, 'p': 0.1, 'mu': 3, 'iter': 47}
{'baseline-error': 0.083, 'self-trained-error': 0.0835, 'p': 0.1, 'mu': 3, 'iter': 48}
{'baseline-error': 0.028, 'self-trained-error': 0.0185, 'p': 0.1, 'mu': 3, 'iter': 49}
