{'baseline-error': 0.0565, 'self-trained-error': 0.033, 'p': 0.1, 'mu': 3, 'iter': 200}
{'baseline-error': 0.022, 'self-trained-error': 0.02, 'p': 0.1, 'mu': 3, 'iter': 201}
{'baseline-error': 0.034, 'self-trained-error': 0.016, 'p': 0.1, 'mu': 3, 'iter': 202}
{'baseline-error': 0.0345, 'self-trained-error': 0.013, 'p': 0.1, 'mu': 3, 'iter': 203}
{'baseline-error': 0.039, 'self-trained-error': 0.021, 'p': 0.1, 'mu': 3, 'iter': 204}
{'baseline-error': 0.029, 'self-trained-error': 0.024, 'p': 0.1, 'mu': 3, 'iter': 205}
{'baseline-error': 0.045, 'self-trained-error': 0.018, 'p': 0.1, 'mu': 3, 'iter': 206}
{'baseline-error': 0.04, 'self-trained-error': 0.024, 'p': 0.1, 'mu': 3, 'iter': 207}
{'baseline-error': 0.0325, 'self-trained-error': 0.023, 'p': 0.1, 'mu': 3, 'iter': 208}
{'baseline-error': 0.0375, 'self-trained-error': 0.0205, 'p': 0.1, 'mu': 3, 'iter': 209}
{'baseline-error': 0.048, 'self-trained-error': 0.041, 'p': 0.1, 'mu': 3, 'iter': 210}
{'baseline-error': 0.0425, 'self-trained-error': 0.0175, 'p': 0.1, 'mu': 3, 'iter': 211}
{'baseline-error': 0.0575, 'self-trained-error': 0.0265, 'p': 0.1, 'mu': 3, 'iter': 212}
{'baseline-error': 0.0435, 'self-trained-error': 0.024, 'p': 0.1, 'mu': 3, 'iter': 213}
{'baseline-error': 0.0395, 'self-trained-error': 0.02, 'p': 0.1, 'mu': 3, 'iter': 214}
{'baseline-error': 0.065, 'self-trained-error': 0.03, 'p': 0.1, 'mu': 3, 'iter': 215}
{'baseline-error': 0.032, 'self-trained-error': 0.0195, 'p': 0.1, 'mu': 3, 'iter': 216}
{'baseline-error': 0.0235, 'self-trained-error': 0.0175, 'p': 0.1, 'mu': 3, 'iter': 217}
{'baseline-error': 0.041, 'self-trained-error': 0.017, 'p': 0.1, 'mu': 3, 'iter': 218}
{'baseline-error': 0.053, 'self-trained-error': 0.0205, 'p': 0.1, 'mu': 3, 'iter': 219}
{'baseline-error': 0.046, 'self-trained-error': 0.025, 'p': 0.1, 'mu': 3, 'iter': 220}
{'baseline-error': 0.0535, 'self-trained-error': 0.0165, 'p': 0.1, 'mu': 3, 'iter': 221}
{'baseline-error': 0.028, 'self-trained-error': 0.0215, 'p': 0.1, 'mu': 3, 'iter': 222}
{'baseline-error': 0.0435, 'self-trained-error': 0.0335, 'p': 0.1, 'mu': 3, 'iter': 223}
{'baseline-error': 0.095, 'self-trained-error': 0.03, 'p': 0.1, 'mu': 3, 'iter': 224}
{'baseline-error': 0.0825, 'self-trained-error': 0.066, 'p': 0.1, 'mu': 3, 'iter': 225}
{'baseline-error': 0.04, 'self-trained-error': 0.02, 'p': 0.1, 'mu': 3, 'iter': 226}
{'baseline-error': 0.1485, 'self-trained-error': 0.158, 'p': 0.1, 'mu': 3, 'iter': 227}
{'baseline-error': 0.031, 'self-trained-error': 0.019, 'p': 0.1, 'mu': 3, 'iter': 228}
{'baseline-error': 0.0415, 'self-trained-error': 0.02, 'p': 0.1, 'mu': 3, 'iter': 229}
{'baseline-error': 0.043, 'self-trained-error': 0.028, 'p': 0.1, 'mu': 3, 'iter': 230}
{'baseline-error': 0.033, 'self-trained-error': 0.021, 'p': 0.1, 'mu': 3, 'iter': 231}
{'baseline-error': 0.0405, 'self-trained-error': 0.0145, 'p': 0.1, 'mu': 3, 'iter': 232}
{'baseline-error': 0.055, 'self-trained-error': 0.02, 'p': 0.1, 'mu': 3, 'iter': 233}
{'baseline-error': 0.031, 'self-trained-error': 0.0275, 'p': 0.1, 'mu': 3, 'iter': 234}
{'baseline-error': 0.0465, 'self-trained-error': 0.021, 'p': 0.1, 'mu': 3, 'iter': 235}
{'baseline-error': 0.0375, 'self-trained-error': 0.022, 'p': 0.1, 'mu': 3, 'iter': 236}
{'baseline-error': 0.053, 'self-trained-error': 0.046, 'p': 0.1, 'mu': 3, 'iter': 237}
{'baseline-error': 0.034, 'self-trained-error': 0.02, 'p': 0.1, 'mu': 3, 'iter': 238}
{'baseline-error': 0.039, 'self-trained-error': 0.017, 'p': 0.1, 'mu': 3, 'iter': 239}
{'baseline-error': 0.055, 'self-trained-error': 0.0235, 'p': 0.1, 'mu': 3, 'iter': 240}
{'baseline-error': 0.0345, 'self-trained-error': 0.0175, 'p': 0.1, 'mu': 3, 'iter': 241}
{'baseline-error': 0.057, 'self-trained-error': 0.017, 'p': 0.1, 'mu': 3, 'iter': 242}
{'baseline-error': 0.06, 'self-trained-error': 0.0355, 'p': 0.1, 'mu': 3, 'iter': 243}
{'baseline-error': 0.042, 'self-trained-error': 0.025, 'p': 0.1, 'mu': 3, 'iter': 244}
{'baseline-error': 0.056, 'self-trained-error': 0.042, 'p': 0.1, 'mu': 3, 'iter': 245}
{'baseline-error': 0.051, 'self-trained-error': 0.033, 'p': 0.1, 'mu': 3, 'iter': 246}
{'baseline-error': 0.027, 'self-trained-error': 0.0225, 'p': 0.1, 'mu': 3, 'iter': 247}
{'baseline-error': 0.0455, 'self-trained-error': 0.029, 'p': 0.1, 'mu': 3, 'iter': 248}
{'baseline-error': 0.0945, 'self-trained-error': 0.052, 'p': 0.1, 'mu': 3, 'iter': 249}
