{'baseline-error': 0.126, 'self-trained-error': 0.11, 'p': 0.15000000000000002, 'mu': 2, 'iter': 100}
{'baseline-error': 0.1085, 'self-trained-error': 0.1085, 'p': 0.15000000000000002, 'mu': 2, 'iter': 101}
{'baseline-error': 0.1095, 'self-trained-error': 0.0835, 'p': 0.15000000000000002, 'mu': 2, 'iter': 102}
{'baseline-error': 0.1895, 'self-trained-error': 0.131, 'p': 0.15000000000000002, 'mu': 2, 'iter': 103}
{'baseline-error': 0.122, 'self-trained-error': 0.1165, 'p': 0.15000000000000002, 'mu': 2, 'iter': 104}
{'baseline-error': 0.1365, 'self-trained-error': 0.1375, 'p': 0.15000000000000002, 'mu': 2, 'iter': 105}
{'baseline-error': 0.1035, 'self-trained-error': 0.0865, 'p': 0.15000000000000002, 'mu': 2, 'iter': 106}
{'baseline-error': 0.087, 'self-trained-error': 0.097, 'p': 0.15000000000000002, 'mu': 2, 'iter': 107}
{'baseline-error': 0.0905, 'self-trained-error': 0.0845, 'p': 0.15000000000000002, 'mu': 2, 'iter': 108}
{'baseline-error': 0.1075, 'self-trained-error': 0.089, 'p': 0.15000000000000002, 'mu': 2, 'iter': 109}
{'baseline-error': 0.1145, 'self-trained-error': 0.0985, 'p': 0.15000000000000002, 'mu': 2, 'iter': 110}
{'baseline-error': 0.113, 'self-trained-error': 0.106, 'p': 0.15000000000000002, 'mu': 2, 'iter': 111}
{'baseline-error': 0.146, 'self-trained-error': 0.1025, 'p': 0.15000000000000002, 'mu': 2, 'iter': 112}
{'baseline-error': 0.1235, 'self-trained-error': 0.089, 'p': 0.15000000000000002, 'mu': 2, 'iter': 113}
{'baseline-error': 0.1055, 'self-trained-error': 0.1025, 'p': 0.15000000000000002, 'mu': 2, 'iter': 114}
{'baseline-error': 0.1145, 'self-trained-error': 0.106, 'p': 0.15000000000000002, 'mu': 2, 'iter': 115}
{'baseline-error': 0.145, 'self-trained-error': 0.1205, 'p': 0.15000000000000002, 'mu': 2, 'iter': 116}
{'baseline-error': 0.174, 'self-trained-error': 0.1565, 'p': 0.15000000000000002, 'mu': 2, 'iter': 117}
{'baseline-error': 0.1645, 'self-trained-error': 0.1525, 'p': 0.15000000000000002, 'mu': 2, 'iter': 118}
{'baseline-error': 0.161, 'self-trained-error': 0.14, 'p': 0.15000000000000002, 'mu': 2, 'iter': 119}
{'baseline-error': 0.1595, 'self-trained-error': 0.1235, 'p': 0.15000000000000002, 'mu': 2, 'iter': 120}
{'baseline-error': 0.1565, 'self-trained-error': 0.1435, 'p': 0.15000000000000002, 'mu': 2, 'iter': 121}
{'baseline-error': 0.11, 'self-trained-error': 0.0995, 'p': 0.15000000000000002, 'mu': 2, 'iter': 122}
{'baseline-error': 0.112, 'self-trained-error': 0.098, 'p': 0.15000000000000002, 'mu': 2, 'iter': 123}
{'baseline-error': 0.1095, 'self-trained-error': 0.1145, 'p': 0.15000000000000002, 'mu': 2, 'iter': 124}
{'baseline-error': 0.1695, 'self-trained-error': 0.1705, 'p': 0.15000000000000002, 'mu': 2, 'iter': 125}
{'baseline-error': 0.2495, 'self-trained-error': 0.236, 'p': 0.15000000000000002, 'mu': 2, 'iter': 126}
{'baseline-error': 0.132, 'self-trained-error': 0.12, 'p': 0.15000000000000002, 'mu': 2, 'iter': 127}
{'baseline-error': 0.146, 'self-trained-error': 0.1125, 'p': 0.15000000000000002, 'mu': 2, 'iter': 128}
{'baseline-error': 0.153, 'self-trained-error': 0.149, 'p': 0.15000000000000002, 'mu': 2, 'iter': 129}
{'baseline-error': 0.1155, 'self-trained-error': 0.1005, 'p': 0.15000000000000002, 'mu': 2, 'iter': 130}
{'baseline-error': 0.139, 'self-trained-error': 0.102, 'p': 0.15000000000000002, 'mu': 2, 'iter': 131}
{'baseline-error': 0.111, 'self-trained-error': 0.107, 'p': 0.15000000000000002, 'mu': 2, 'iter': 132}
{'baseline-error': 0.091, 'self-trained-error': 0.08, 'p': 0.15000000000000002, 'mu': 2, 'iter': 133}
{'baseline-error': 0.1055, 'self-trained-error': 0.0925, 'p': 0.15000000000000002, 'mu': 2, 'iter': 134}
{'baseline-error': 0.125, 'self-trained-error': 0.1105, 'p': 0.15000000000000002, 'mu': 2, 'iter': 135}
{'baseline-error': 0.154, 'self-trained-error': 0.127, 'p': 0.15000000000000002, 'mu': 2, 'iter': 136}
{'baseline-error': 0.145, 'self-trained-error': 0.1465, 'p': 0.15000000000000002, 'mu': 2, 'iter': 137}
{'baseline-error': 0.151, 'self-trained-error': 0.151, 'p': 0.15000000000000002, 'mu': 2, 'iter': 138}
{'baseline-error': 0.1255, 'self-trained-error': 0.1055, 'p': 0.15000000000000002, 'mu': 2, 'iter': 139}
{'baseline-error': 0.1695, 'self-trained-error': 0.154, 'p': 0.15000000000000002, 'mu': 2, 'iter': 140}
{'baseline-error': 0.1495, 'self-trained-error': 0.1255, 'p': 0.15000000000000002, 'mu': 2, 'iter': 141}
{'baseline-error': 0.166, 'self-trained-error': 0.165, 'p': 0.15000000000000002, 'mu': 2, 'iter': 142}
{'baseline-error': 0.1035, 'self-trained-error': 0.103, 'p': 0.15000000000000002, 'mu': 2, 'iter': 143}
{'baseline-error': 0.121, 'self-trained-error': 0.1045, 'p': 0.15000000000000002, 'mu': 2, 'iter': 144}
{'baseline-error': 0.1925, 'self-trained-error': 0.21, 'p': 0.15000000000000002, 'mu': 2, 'iter': 145}
{'baseline-error': 0.132, 'self-trained-error': 0.1175, 'p': 0.15000000000000002, 'mu': 2, 'iter': 146}
{'baseline-error': 0.142, 'self-trained-error': 0.153, 'p': 0.15000000000000002, 'mu': 2, 'iter': 147}
{'baseline-error': 0.1075, 'self-trained-error': 0.1075, 'p': 0.15000000000000002, 'mu': 2, 'iter': 148}
{'baseline-error': 0.137, 'self-trained-error': 0.119, 'p': 0.15000000000000002, 'mu': 2, 'iter': 149}
