{'baseline-error': 0.007, 'self-trained-error': 0.007, 'p': 0.30000000000000004, 'mu': 3.5, 'iter': 50}
{'baseline-error': 0.005, 'self-trained-error': 0.0045, 'p': 0.30000000000000004, 'mu': 3.5, 'iter': 51}
{'baseline-error': 0.0135, 'self-trained-error': 0.008, 'p': 0.30000000000000004, 'mu': 3.5, 'iter': 52}
{'baseline-error': 0.0105, 'self-trained-error': 0.009, 'p': 0.30000000000000004, 'mu': 3.5, 'iter': 53}
{'baseline-error': 0.0085, 'self-trained-error': 0.0075, 'p': 0.30000000000000004, 'mu': 3.5, 'iter': 54}
{'baseline-error': 0.007, 'self-trained-error': 0.0055, 'p': 0.30000000000000004, 'mu': 3.5, 'iter': 55}
{'baseline-error': 0.0075, 'self-trained-error': 0.0075, 'p': 0.30000000000000004, 'mu': 3.5, 'iter': 56}
{'baseline-error': 0.0085, 'self-trained-error': 0.0085, 'p': 0.30000000000000004, 'mu': 3.5, 'iter': 57}
{'baseline-error': 0.007, 'self-trained-error': 0.0065, 'p': 0.30000000000000004, 'mu': 3.5, 'iter': 58}
{'baseline-error': 0.0065, 'self-trained-error': 0.0065, 'p': 0.30000000000000004, 'mu': 3.5, 'iter': 59}
{'baseline-error': 0.0075, 'self-trained-error': 0.0075, 'p': 0.30000000000000004, 'mu': 3.5, 'iter': 60}
{'baseline-error': 0.0135, 'self-trained-error': 0.009, 'p': 0.30000000000000004, 'mu': 3.5, 'iter': 61}
{'baseline-error': 0.0125, 'self-trained-error': 0.0115, 'p': 0.30000000000000004, 'mu': 3.5, 'iter': 62}
{'baseline-error': 0.0085, 'self-trained-error': 0.0075, 'p': 0.30000000000000004, 'mu': 3.5, 'iter': 63}
{'baseline-error': 0.004, 'self-trained-error': 0.004, 'p': 0.30000000000000004, 'mu': 3.5, 'iter': 64}
{'baseline-error': 0.008, 'self-trained-error': 0.006, 'p': 0.30000000000000004, 'mu': 3.5, 'iter': 65}
{'baseline-error': 0.0115, 'self-trained-error': 0.0115, 'p': 0.30000000000000004, 'mu': 3.5, 'iter': 66}
{'baseline-error': 0.005, 'self-trained-error': 0.004, 'p': 0.30000000000000004, 'mu': 3.5, 'iter': 67}
{'baseline-error': 0.0135, 'self-trained-error': 0.0085, 'p': 0.30000000000000004, 'mu': 3.5, 'iter': 68}
{'baseline-error': 0.01, 'self-trained-error': 0.008, 'p': 0.30000000000000004, 'mu': 3.5, 'iter': 69}
{'baseline-error': 0.008, 'self-trained-error': 0.0065, 'p': 0.30000000000000004, 'mu': 3.5, 'iter': 70}
{'baseline-error': 0.0095, 'self-trained-error': 0.0095, 'p': 0.30000000000000004, 'mu': 3.5, 'iter': 71}
{'baseline-error': 0.0075, 'self-trained-error': 0.007, 'p': 0.30000000000000004, 'mu': 3.5, 'iter': 72}
