{'baseline-error': 0.1025, 'self-trained-error': 0.0975, 'p': 0.25000000000000006, 'mu': 2, 'iter': 0}
{'baseline-error': 0.0965, 'self-trained-error': 0.0785, 'p': 0.25000000000000006, 'mu': 2, 'iter': 1}
{'baseline-error': 0.1455, 'self-trained-error': 0.104, 'p': 0.25000000000000006, 'mu': 2, 'iter': 2}
{'baseline-error': 0.1035, 'self-trained-error': 0.096, 'p': 0.25000000000000006, 'mu': 2, 'iter': 3}
{'baseline-error': 0.0945, 'self-trained-error': 0.0915, 'p': 0.25000000000000006, 'mu': 2, 'iter': 4}
{'baseline-error': 0.1075, 'self-trained-error': 0.096, 'p': 0.25000000000000006, 'mu': 2, 'iter': 5}
{'baseline-error': 0.133, 'self-trained-error': 0.0975, 'p': 0.25000000000000006, 'mu': 2, 'iter': 6}
{'baseline-error': 0.122, 'self-trained-error': 0.1125, 'p': 0.25000000000000006, 'mu': 2, 'iter': 7}
{'baseline-error': 0.15, 'self-trained-error': 0.144, 'p': 0.25000000000000006, 'mu': 2, 'iter': 8}
{'baseline-error': 0.1125, 'self-trained-error': 0.1125, 'p': 0.25000000000000006, 'mu': 2, 'iter': 9}
{'baseline-error': 0.0875, 'self-trained-error': 0.0875, 'p': 0.25000000000000006, 'mu': 2, 'iter': 10}
{'baseline-error': 0.099, 'self-trained-error': 0.0805, 'p': 0.25000000000000006, 'mu': 2, 'iter': 11}
{'baseline-error': 0.1135, 'self-trained-error': 0.1055, 'p': 0.25000000000000006, 'mu': 2, 'iter': 12}
{'baseline-error': 0.103, 'self-trained-error': 0.107, 'p': 0.25000000000000006, 'mu': 2, 'iter': 13}
{'baseline-error': 0.1035, 'self-trained-error': 0.086, 'p': 0.25000000000000006, 'mu': 2, 'iter': 14}
{'baseline-error': 0.0905, 'self-trained-error': 0.094, 'p': 0.25000000000000006, 'mu': 2, 'iter': 15}
{'baseline-error': 0.1145, 'self-trained-error': 0.092, 'p': 0.25000000000000006, 'mu': 2, 'iter': 16}
{'baseline-error': 0.1135, 'self-trained-error': 0.09, 'p': 0.25000000000000006, 'mu': 2, 'iter': 17}
{'baseline-error': 0.111, 'self-trained-error': 0.11, 'p': 0.25000000000000006, 'mu': 2, 'iter': 18}
{'baseline-error': 0.099, 'self-trained-error': 0.093, 'p': 0.25000000000000006, 'mu': 2, 'iter': 19}
{'baseline-error': 0.114, 'self-trained-error': 0.098, 'p': 0.25000000000000006, 'mu': 2, 'iter': 20}
{'baseline-error': 0.0955, 'self-trained-error': 0.095, 'p': 0.25000000000000006, 'mu': 2, 'iter': 21}
{'baseline-error': 0.118, 'self-trained-error': 0.1185, 'p': 0.25000000000000006, 'mu': 2, 'iter': 22}
{'baseline-error': 0.0925, 'self-trained-error': 0.088, 'p': 0.25000000000000006, 'mu': 2, 'iter': 23}
{'baseline-error': 0.109, 'self-trained-error': 0.1125, 'p': 0.25000000000000006, 'mu': 2, 'iter': 24}
{'baseline-error': 0.088, 'self-trained-error': 0.0835, 'p': 0.25000000000000006, 'mu': 2, 'iter': 25}
{'baseline-error': 0.0915, 'self-trained-error': 0.084, 'p': 0.25000000000000006, 'mu': 2, 'iter': 26}
{'baseline-error': 0.087, 'self-trained-error': 0.088, 'p': 0.25000000000000006, 'mu': 2, 'iter': 27}
{'baseline-error': 0.0955, 'self-trained-error': 0.111, 'p': 0.25000000000000006, 'mu': 2, 'iter': 28}
{'baseline-error': 0.108, 'self-trained-error': 0.096, 'p': 0.25000000000000006, 'mu': 2, 'iter': 29}
{'baseline-error': 0.126, 'self-trained-error': 0.1025, 'p': 0.25000000000000006, 'mu': 2, 'iter': 30}
{'baseline-error': 0.113, 'self-trained-error': 0.107, 'p': 0.25000000000000006, 'mu': 2, 'iter': 31}
{'baseline-error': 0.108, 'self-trained-error': 0.0975, 'p': 0.25000000000000006, 'mu': 2, 'iter': 32}
{'baseline-error': 0.092, 'self-trained-error': 0.0855, 'p': 0.25000000000000006, 'mu': 2, 'iter': 33}
{'baseline-error': 0.1065, 'self-trained-error': 0.101, 'p': 0.25000000000000006, 'mu': 2, 'iter': 34}
{'baseline-error': 0.09, 'self-trained-error': 0.0785, 'p': 0.25000000000000006, 'mu': 2, 'iter': 35}
{'baseline-error': 0.1005, 'self-trained-error': 0.1005, 'p': 0.25000000000000006, 'mu': 2, 'iter': 36}
{'baseline-error': 0.098, 'self-trained-error': 0.0935, 'p': 0.25000000000000006, 'mu': 2, 'iter': 37}
{'baseline-error': 0.092, 'self-trained-error': 0.0895, 'p': 0.25000000000000006, 'mu': 2, 'iter': 38}
{'baseline-error': 0.117, 'self-trained-error': 0.1085, 'p': 0.25000000000000006, 'mu': 2, 'iter': 39}
{'baseline-error': 0.094, 'self-trained-error': 0.0775, 'p': 0.25000000000000006, 'mu': 2, 'iter': 40}
{'baseline-error': 0.0925, 'self-trained-error': 0.08, 'p': 0.25000000000000006, 'mu': 2, 'iter': 41}
{'baseline-error': 0.0855, 'self-trained-error': 0.0855, 'p': 0.25000000000000006, 'mu': 2, 'iter': 42}
{'baseline-error': 0.0915, 'self-trained-error': 0.0945, 'p': 0.25000000000000006, 'mu': 2, 'iter': 43}
{'baseline-error': 0.12, 'self-trained-error': 0.109, 'p': 0.25000000000000006, 'mu': 2, 'iter': 44}
{'baseline-error': 0.1005, 'self-trained-error': 0.08, 'p': 0.25000000000000006, 'mu': 2, 'iter': 45}
{'baseline-error': 0.0875, 'self-trained-error': 0.0885, 'p': 0.25000000000000006, 'mu': 2, 'iter': 46}
{'baseline-error': 0.09, 'self-trained-error': 0.094, 'p': 0.25000000000000006, 'mu': 2, 'iter': 47}
{'baseline-error': 0.131, 'self-trained-error': 0.1245, 'p': 0.25000000000000006, 'mu': 2, 'iter': 48}
{'baseline-error': 0.0905, 'self-trained-error': 0.09, 'p': 0.25000000000000006, 'mu': 2, 'iter': 49}
