{'baseline-error': 0.0225, 'self-trained-error': 0.0175, 'p': 0.15000000000000002, 'mu': 3, 'iter': 50}
{'baseline-error': 0.026, 'self-trained-error': 0.0145, 'p': 0.15000000000000002, 'mu': 3, 'iter': 51}
{'baseline-error': 0.0555, 'self-trained-error': 0.028, 'p': 0.15000000000000002, 'mu': 3, 'iter': 52}
{'baseline-error': 0.0255, 'self-trained-error': 0.017, 'p': 0.15000000000000002, 'mu': 3, 'iter': 53}
{'baseline-error': 0.0225, 'self-trained-error': 0.0165, 'p': 0.15000000000000002, 'mu': 3, 'iter': 54}
{'baseline-error': 0.037, 'self-trained-error': 0.0225, 'p': 0.15000000000000002, 'mu': 3, 'iter': 55}
{'baseline-error': 0.028, 'self-trained-error': 0.017, 'p': 0.15000000000000002, 'mu': 3, 'iter': 56}
{'baseline-error': 0.0375, 'self-trained-error': 0.018, 'p': 0.15000000000000002, 'mu': 3, 'iter': 57}
{'baseline-error': 0.036, 'self-trained-error': 0.0295, 'p': 0.15000000000000002, 'mu': 3, 'iter': 58}
{'baseline-error': 0.04, 'self-trained-error': 0.024, 'p': 0.15000000000000002, 'mu': 3, 'iter': 59}
{'baseline-error': 0.026, 'self-trained-error': 0.017, 'p': 0.15000000000000002, 'mu': 3, 'iter': 60}
{'baseline-error': 0.026, 'self-trained-error': 0.0235, 'p': 0.15000000000000002, 'mu': 3, 'iter': 61}
{'baseline-error': 0.0305, 'self-trained-error': 0.0205, 'p': 0.15000000000000002, 'mu': 3, 'iter': 62}
{'baseline-error': 0.0215, 'self-trained-error': 0.022, 'p': 0.15000000000000002, 'mu': 3, 'iter': 63}
{'baseline-error': 0.036, 'self-trained-error': 0.0175, 'p': 0.15000000000000002, 'mu': 3, 'iter': 64}
{'baseline-error': 0.0155, 'self-trained-error': 0.015, 'p': 0.15000000000000002, 'mu': 3, 'iter': 65}
{'baseline-error': 0.0245, 'self-trained-error': 0.024, 'p': 0.15000000000000002, 'mu': 3, 'iter': 66}
{'baseline-error': 0.037, 'self-trained-error': 0.0185, 'p': 0.15000000000000002, 'mu': 3, 'iter': 67}
{'baseline-error': 0.037, 'self-trained-error': 0.0275, 'p': 0.15000000000000002, 'mu': 3, 'iter': 68}
{'baseline-error': 0.0255, 'self-trained-error': 0.0195, 'p': 0.15000000000000002, 'mu': 3, 'iter': 69}
{'baseline-error': 0.046, 'self-trained-error': 0.0185, 'p': 0.15000000000000002, 'mu': 3, 'iter': 70}
{'baseline-error': 0.025, 'self-trained-error': 0.015, 'p': 0.15000000000000002, 'mu': 3, 'iter': 71}
{'baseline-error': 0.053, 'self-trained-error': 0.048, 'p': 0.15000000000000002, 'mu': 3, 'iter': 72}
{'baseline-error': 0.0475, 'self-trained-error': 0.0235, 'p': 0.15000000000000002, 'mu': 3, 'iter': 73}
{'baseline-error': 0.028, 'self-trained-error': 0.025, 'p': 0.15000000000000002, 'mu': 3, 'iter': 74}
{'baseline-error': 0.046, 'self-trained-error': 0.0235, 'p': 0.15000000000000002, 'mu': 3, 'iter': 75}
{'baseline-error': 0.0175, 'self-trained-error': 0.0185, 'p': 0.15000000000000002, 'mu': 3, 'iter': 76}
{'baseline-error': 0.0305, 'self-trained-error': 0.022, 'p': 0.15000000000000002, 'mu': 3, 'iter': 77}
{'baseline-error': 0.021, 'self-trained-error': 0.0175, 'p': 0.15000000000000002, 'mu': 3, 'iter': 78}
{'baseline-error': 0.027, 'self-trained-error': 0.0195, 'p': 0.15000000000000002, 'mu': 3, 'iter': 79}
{'baseline-error': 0.034, 'self-trained-error': 0.0285, 'p': 0.15000000000000002, 'mu': 3, 'iter': 80}
{'baseline-error': 0.0475, 'self-trained-error': 0.018, 'p': 0.15000000000000002, 'mu': 3, 'iter': 81}
{'baseline-error': 0.0315, 'self-trained-error': 0.0215, 'p': 0.15000000000000002, 'mu': 3, 'iter': 82}
{'baseline-error': 0.026, 'self-trained-error': 0.018, 'p': 0.15000000000000002, 'mu': 3, 'iter': 83}
{'baseline-error': 0.032, 'self-trained-error': 0.0215, 'p': 0.15000000000000002, 'mu': 3, 'iter': 84}
{'baseline-error': 0.0215, 'self-trained-error': 0.017, 'p': 0.15000000000000002, 'mu': 3, 'iter': 85}
{'baseline-error': 0.0475, 'self-trained-error': 0.0215, 'p': 0.15000000000000002, 'mu': 3, 'iter': 86}
{'baseline-error': 0.0315, 'self-trained-error': 0.0135, 'p': 0.15000000000000002, 'mu': 3, 'iter': 87}
{'baseline-error': 0.02, 'self-trained-error': 0.02, 'p': 0.15000000000000002, 'mu': 3, 'iter': 88}
{'baseline-error': 0.0235, 'self-trained-error': 0.018, 'p': 0.15000000000000002, 'mu': 3, 'iter': 89}
{'baseline-error': 0.023, 'self-trained-error': 0.0145, 'p': 0.15000000000000002, 'mu': 3, 'iter': 90}
{'baseline-error': 0.0185, 'self-trained-error': 0.019, 'p': 0.15000000000000002, 'mu': 3, 'iter': 91}
{'baseline-error': 0.0405, 'self-trained-error': 0.026, 'p': 0.15000000000000002, 'mu': 3, 'iter': 92}
{'baseline-error': 0.0315, 'self-trained-error': 0.0205, 'p': 0.15000000000000002, 'mu': 3, 'iter': 93}
{'baseline-error': 0.0525, 'self-trained-error': 0.033, 'p': 0.15000000000000002, 'mu': 3, 'iter': 94}
{'baseline-error': 0.037, 'self-trained-error': 0.0185, 'p': 0.15000000000000002, 'mu': 3, 'iter': 95}
{'baseline-error': 0.036, 'self-trained-error': 0.028, 'p': 0.15000000000000002, 'mu': 3, 'iter': 96}
{'baseline-error': 0.018, 'self-trained-error': 0.0135, 'p': 0.15000000000000002, 'mu': 3, 'iter': 97}
{'baseline-error': 0.0355, 'self-trained-error': 0.024, 'p': 0.15000000000000002, 'mu': 3, 'iter': 98}
{'baseline-error': 0.027, 'self-trained-error': 0.021, 'p': 0.15000000000000002, 'mu': 3, 'iter': 99}
