{'baseline-error': 0.1105, 'self-trained-error': 0.09, 'p': 0.25000000000000006, 'mu': 2, 'iter': 400}
{'baseline-error': 0.095, 'self-trained-error': 0.093, 'p': 0.25000000000000006, 'mu': 2, 'iter': 401}
{'baseline-error': 0.1225, 'self-trained-error': 0.1095, 'p': 0.25000000000000006, 'mu': 2, 'iter': 402}
{'baseline-error': 0.0785, 'self-trained-error': 0.0745, 'p': 0.25000000000000006, 'mu': 2, 'iter': 403}
{'baseline-error': 0.12, 'self-trained-error': 0.098, 'p': 0.25000000000000006, 'mu': 2, 'iter': 404}
{'baseline-error': 0.1055, 'self-trained-error': 0.0885, 'p': 0.25000000000000006, 'mu': 2, 'iter': 405}
{'baseline-error': 0.086, 'self-trained-error': 0.085, 'p': 0.25000000000000006, 'mu': 2, 'iter': 406}
{'baseline-error': 0.109, 'self-trained-error': 0.1, 'p': 0.25000000000000006, 'mu': 2, 'iter': 407}
{'baseline-error': 0.103, 'self-trained-error': 0.1035, 'p': 0.25000000000000006, 'mu': 2, 'iter': 408}
{'baseline-error': 0.0905, 'self-trained-error': 0.092, 'p': 0.25000000000000006, 'mu': 2, 'iter': 409}
{'baseline-error': 0.1135, 'self-trained-error': 0.0975, 'p': 0.25000000000000006, 'mu': 2, 'iter': 410}
{'baseline-error': 0.118, 'self-trained-error': 0.104, 'p': 0.25000000000000006, 'mu': 2, 'iter': 411}
{'baseline-error': 0.075, 'self-trained-error': 0.077, 'p': 0.25000000000000006, 'mu': 2, 'iter': 412}
{'baseline-error': 0.115, 'self-trained-error': 0.1145, 'p': 0.25000000000000006, 'mu': 2, 'iter': 413}
{'baseline-error': 0.104, 'self-trained-error': 0.0915, 'p': 0.25000000000000006, 'mu': 2, 'iter': 414}
{'baseline-error': 0.097, 'self-trained-error': 0.0945, 'p': 0.25000000000000006, 'mu': 2, 'iter': 415}
{'baseline-error': 0.1175, 'self-trained-error': 0.096, 'p': 0.25000000000000006, 'mu': 2, 'iter': 416}
{'baseline-error': 0.1005, 'self-trained-error': 0.097, 'p': 0.25000000000000006, 'mu': 2, 'iter': 417}
{'baseline-error': 0.1285, 'self-trained-error': 0.1105, 'p': 0.25000000000000006, 'mu': 2, 'iter': 418}
{'baseline-error': 0.089, 'self-trained-error': 0.0855, 'p': 0.25000000000000006, 'mu': 2, 'iter': 419}
