{'baseline-error': 0.107, 'self-trained-error': 0.1005, 'p': 0.3500000000000001, 'mu': 2, 'iter': 400}
{'baseline-error': 0.0885, 'self-trained-error': 0.09, 'p': 0.3500000000000001, 'mu': 2, 'iter': 401}
{'baseline-error': 0.075, 'self-trained-error': 0.0735, 'p': 0.3500000000000001, 'mu': 2, 'iter': 402}
{'baseline-error': 0.074, 'self-trained-error': 0.073, 'p': 0.3500000000000001, 'mu': 2, 'iter': 403}
{'baseline-error': 0.093, 'self-trained-error': 0.097, 'p': 0.3500000000000001, 'mu': 2, 'iter': 404}
{'baseline-error': 0.089, 'self-trained-error': 0.089, 'p': 0.3500000000000001, 'mu': 2, 'iter': 405}
{'baseline-error': 0.087, 'self-trained-error': 0.0885, 'p': 0.3500000000000001, 'mu': 2, 'iter': 406}
{'baseline-error': 0.079, 'self-trained-error': 0.073, 'p': 0.3500000000000001, 'mu': 2, 'iter': 407}
{'baseline-error': 0.08, 'self-trained-error': 0.0775, 'p': 0.3500000000000001, 'mu': 2, 'iter': 408}
{'baseline-error': 0.0905, 'self-trained-error': 0.0905, 'p': 0.3500000000000001, 'mu': 2, 'iter': 409}
{'baseline-error': 0.082, 'self-trained-error': 0.081, 'p': 0.3500000000000001, 'mu': 2, 'iter': 410}
{'baseline-error': 0.08, 'self-trained-error': 0.079, 'p': 0.3500000000000001, 'mu': 2, 'iter': 411}
{'baseline-error': 0.0875, 'self-trained-error': 0.088, 'p': 0.3500000000000001, 'mu': 2, 'iter': 412}
{'baseline-error': 0.087, 'self-trained-error': 0.0905, 'p': 0.3500000000000001, 'mu': 2, 'iter': 413}
{'baseline-error': 0.089, 'self-trained-error': 0.092, 'p': 0.3500000000000001, 'mu': 2, 'iter': 414}
{'baseline-error': 0.1015, 'self-trained-error': 0.097, 'p': 0.3500000000000001, 'mu': 2, 'iter': 415}
{'baseline-error': 0.1025, 'self-trained-error': 0.103, 'p': 0.3500000000000001, 'mu': 2, 'iter': 416}
{'baseline-error': 0.0745, 'self-trained-error': 0.0805, 'p': 0.3500000000000001, 'mu': 2, 'iter': 417}
{'baseline-error': 0.082, 'self-trained-error': 0.08, 'p': 0.3500000000000001, 'mu': 2, 'iter': 418}
{'baseline-error': 0.1015, 'self-trained-error': 0.098, 'p': 0.3500000000000001, 'mu': 2, 'iter': 419}
{'baseline-error': 0.0775, 'self-trained-error': 0.0755, 'p': 0.3500000000000001, 'mu': 2, 'iter': 420}
{'baseline-error': 0.0755, 'self-trained-error': 0.0745, 'p': 0.3500000000000001, 'mu': 2, 'iter': 421}
{'baseline-error': 0.0955, 'self-trained-error': 0.0925, 'p': 0.3500000000000001, 'mu': 2, 'iter': 422}
{'baseline-error': 0.0785, 'self-trained-error': 0.0775, 'p': 0.3500000000000001, 'mu': 2, 'iter': 423}
{'baseline-error': 0.0885, 'self-trained-error': 0.0815, 'p': 0.3500000000000001, 'mu': 2, 'iter': 424}
{'baseline-error': 0.0945, 'self-trained-error': 0.088, 'p': 0.3500000000000001, 'mu': 2, 'iter': 425}
{'baseline-error': 0.083, 'self-trained-error': 0.0815, 'p': 0.3500000000000001, 'mu': 2, 'iter': 426}
{'baseline-error': 0.0995, 'self-trained-error': 0.087, 'p': 0.3500000000000001, 'mu': 2, 'iter': 427}
{'baseline-error': 0.1035, 'self-trained-error': 0.099, 'p': 0.3500000000000001, 'mu': 2, 'iter': 428}
{'baseline-error': 0.0795, 'self-trained-error': 0.08, 'p': 0.3500000000000001, 'mu': 2, 'iter': 429}
{'baseline-error': 0.095, 'self-trained-error': 0.092, 'p': 0.3500000000000001, 'mu': 2, 'iter': 430}
{'baseline-error': 0.0855, 'self-trained-error': 0.0835, 'p': 0.3500000000000001, 'mu': 2, 'iter': 431}
{'baseline-error': 0.117, 'self-trained-error': 0.11, 'p': 0.3500000000000001, 'mu': 2, 'iter': 432}
{'baseline-error': 0.095, 'self-trained-error': 0.096, 'p': 0.3500000000000001, 'mu': 2, 'iter': 433}
{'baseline-error': 0.1115, 'self-trained-error': 0.0805, 'p': 0.3500000000000001, 'mu': 2, 'iter': 434}
{'baseline-error': 0.0825, 'self-trained-error': 0.081, 'p': 0.3500000000000001, 'mu': 2, 'iter': 435}
{'baseline-error': 0.0985, 'self-trained-error': 0.097, 'p': 0.3500000000000001, 'mu': 2, 'iter': 436}
{'baseline-error': 0.0755, 'self-trained-error': 0.072, 'p': 0.3500000000000001, 'mu': 2, 'iter': 437}
{'baseline-error': 0.0955, 'self-trained-error': 0.096, 'p': 0.3500000000000001, 'mu': 2, 'iter': 438}
{'baseline-error': 0.0915, 'self-trained-error': 0.0855, 'p': 0.3500000000000001, 'mu': 2, 'iter': 439}
{'baseline-error': 0.1105, 'self-trained-error': 0.1115, 'p': 0.3500000000000001, 'mu': 2, 'iter': 440}
{'baseline-error': 0.0875, 'self-trained-error': 0.085, 'p': 0.3500000000000001, 'mu': 2, 'iter': 441}
{'baseline-error': 0.0895, 'self-trained-error': 0.0885, 'p': 0.3500000000000001, 'mu': 2, 'iter': 442}
{'baseline-error': 0.0855, 'self-trained-error': 0.0795, 'p': 0.3500000000000001, 'mu': 2, 'iter': 443}
{'baseline-error': 0.0975, 'self-trained-error': 0.0885, 'p': 0.3500000000000001, 'mu': 2, 'iter': 444}
{'baseline-error': 0.0885, 'self-trained-error': 0.0905, 'p': 0.3500000000000001, 'mu': 2, 'iter': 445}
{'baseline-error': 0.0885, 'self-trained-error': 0.085, 'p': 0.3500000000000001, 'mu': 2, 'iter': 446}
{'baseline-error': 0.086, 'self-trained-error': 0.076, 'p': 0.3500000000000001, 'mu': 2, 'iter': 447}
{'baseline-error': 0.0985, 'self-trained-error': 0.096, 'p': 0.3500000000000001, 'mu': 2, 'iter': 448}
{'baseline-error': 0.0925, 'self-trained-error': 0.083, 'p': 0.3500000000000001, 'mu': 2, 'iter': 449}
