{'baseline-error': 0.0135, 'self-trained-error': 0.0095, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 300}
{'baseline-error': 0.0065, 'self-trained-error': 0.0035, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 301}
{'baseline-error': 0.0165, 'self-trained-error': 0.009, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 302}
{'baseline-error': 0.0145, 'self-trained-error': 0.0125, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 303}
{'baseline-error': 0.009, 'self-trained-error': 0.009, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 304}
{'baseline-error': 0.0055, 'self-trained-error': 0.0055, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 305}
{'baseline-error': 0.0105, 'self-trained-error': 0.0115, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 306}
{'baseline-error': 0.0085, 'self-trained-error': 0.0085, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 307}
{'baseline-error': 0.008, 'self-trained-error': 0.009, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 308}
{'baseline-error': 0.01, 'self-trained-error': 0.007, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 309}
{'baseline-error': 0.011, 'self-trained-error': 0.011, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 310}
{'baseline-error': 0.011, 'self-trained-error': 0.0105, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 311}
{'baseline-error': 0.004, 'self-trained-error': 0.004, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 312}
{'baseline-error': 0.0145, 'self-trained-error': 0.012, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 313}
{'baseline-error': 0.0075, 'self-trained-error': 0.005, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 314}
{'baseline-error': 0.0085, 'self-trained-error': 0.0075, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 315}
{'baseline-error': 0.005, 'self-trained-error': 0.0045, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 316}
{'baseline-error': 0.0045, 'self-trained-error': 0.005, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 317}
{'baseline-error': 0.0075, 'self-trained-error': 0.0075, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 318}
{'baseline-error': 0.0065, 'self-trained-error': 0.0055, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 319}
{'baseline-error': 0.01, 'self-trained-error': 0.008, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 320}
{'baseline-error': 0.004, 'self-trained-error': 0.0045, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 321}
{'baseline-error': 0.0055, 'self-trained-error': 0.0055, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 322}
{'baseline-error': 0.01, 'self-trained-error': 0.0095, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 323}
{'baseline-error': 0.005, 'self-trained-error': 0.007, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 324}
{'baseline-error': 0.008, 'self-trained-error': 0.0075, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 325}
{'baseline-error': 0.012, 'self-trained-error': 0.01, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 326}
{'baseline-error': 0.0065, 'self-trained-error': 0.007, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 327}
{'baseline-error': 0.0065, 'self-trained-error': 0.006, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 328}
{'baseline-error': 0.0155, 'self-trained-error': 0.0155, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 329}
{'baseline-error': 0.0085, 'self-trained-error': 0.0075, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 330}
{'baseline-error': 0.0095, 'self-trained-error': 0.0065, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 331}
{'baseline-error': 0.0085, 'self-trained-error': 0.009, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 332}
{'baseline-error': 0.0065, 'self-trained-error': 0.0065, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 333}
{'baseline-error': 0.0105, 'self-trained-error': 0.008, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 334}
{'baseline-error': 0.0055, 'self-trained-error': 0.0065, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 335}
{'baseline-error': 0.0085, 'self-trained-error': 0.006, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 336}
{'baseline-error': 0.007, 'self-trained-error': 0.007, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 337}
{'baseline-error': 0.006, 'self-trained-error': 0.005, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 338}
{'baseline-error': 0.0115, 'self-trained-error': 0.0125, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 339}
{'baseline-error': 0.0065, 'self-trained-error': 0.008, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 340}
{'baseline-error': 0.004, 'self-trained-error': 0.0045, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 341}
{'baseline-error': 0.0075, 'self-trained-error': 0.0075, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 342}
{'baseline-error': 0.0065, 'self-trained-error': 0.0065, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 343}
{'baseline-error': 0.0075, 'self-trained-error': 0.0075, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 344}
{'baseline-error': 0.0145, 'self-trained-error': 0.0105, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 345}
{'baseline-error': 0.007, 'self-trained-error': 0.0055, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 346}
{'baseline-error': 0.008, 'self-trained-error': 0.008, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 347}
{'baseline-error': 0.006, 'self-trained-error': 0.0065, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 348}
{'baseline-error': 0.0075, 'self-trained-error': 0.0065, 'p': 0.40000000000000013, 'mu': 3.5, 'iter': 349}
