{'baseline-error': 0.1005, 'self-trained-error': 0.095, 'p': 0.30000000000000004, 'mu': 2, 'iter': 150}
{'baseline-error': 0.0835, 'self-trained-error': 0.082, 'p': 0.30000000000000004, 'mu': 2, 'iter': 151}
{'baseline-error': 0.0825, 'self-trained-error': 0.083, 'p': 0.30000000000000004, 'mu': 2, 'iter': 152}
{'baseline-error': 0.091, 'self-trained-error': 0.081, 'p': 0.30000000000000004, 'mu': 2, 'iter': 153}
{'baseline-error': 0.1255, 'self-trained-error': 0.1055, 'p': 0.30000000000000004, 'mu': 2, 'iter': 154}
{'baseline-error': 0.098, 'self-trained-error': 0.104, 'p': 0.30000000000000004, 'mu': 2, 'iter': 155}
{'baseline-error': 0.0905, 'self-trained-error': 0.092, 'p': 0.30000000000000004, 'mu': 2, 'iter': 156}
{'baseline-error': 0.0865, 'self-trained-error': 0.0815, 'p': 0.30000000000000004, 'mu': 2, 'iter': 157}
{'baseline-error': 0.1035, 'self-trained-error': 0.0855, 'p': 0.30000000000000004, 'mu': 2, 'iter': 158}
{'baseline-error': 0.109, 'self-trained-error': 0.101, 'p': 0.30000000000000004, 'mu': 2, 'iter': 159}
{'baseline-error': 0.1175, 'self-trained-error': 0.121, 'p': 0.30000000000000004, 'mu': 2, 'iter': 160}
{'baseline-error': 0.1055, 'self-trained-error': 0.0995, 'p': 0.30000000000000004, 'mu': 2, 'iter': 161}
{'baseline-error': 0.109, 'self-trained-error': 0.1005, 'p': 0.30000000000000004, 'mu': 2, 'iter': 162}
{'baseline-error': 0.0895, 'self-trained-error': 0.0815, 'p': 0.30000000000000004, 'mu': 2, 'iter': 163}
{'baseline-error': 0.0885, 'self-trained-error': 0.084, 'p': 0.30000000000000004, 'mu': 2, 'iter': 164}
{'baseline-error': 0.097, 'self-trained-error': 0.094, 'p': 0.30000000000000004, 'mu': 2, 'iter': 165}
{'baseline-error': 0.0765, 'self-trained-error': 0.078, 'p': 0.30000000000000004, 'mu': 2, 'iter': 166}
{'baseline-error': 0.0895, 'self-trained-error': 0.0905, 'p': 0.30000000000000004, 'mu': 2, 'iter': 167}
{'baseline-error': 0.0845, 'self-trained-error': 0.0835, 'p': 0.30000000000000004, 'mu': 2, 'iter': 168}
{'baseline-error': 0.0805, 'self-trained-error': 0.0785, 'p': 0.30000000000000004, 'mu': 2, 'iter': 169}
{'baseline-error': 0.112, 'self-trained-error': 0.0985, 'p': 0.30000000000000004, 'mu': 2, 'iter': 170}
{'baseline-error': 0.113, 'self-trained-error': 0.1085, 'p': 0.30000000000000004, 'mu': 2, 'iter': 171}
{'baseline-error': 0.083, 'self-trained-error': 0.079, 'p': 0.30000000000000004, 'mu': 2, 'iter': 172}
{'baseline-error': 0.087, 'self-trained-error': 0.0885, 'p': 0.30000000000000004, 'mu': 2, 'iter': 173}
{'baseline-error': 0.0895, 'self-trained-error': 0.0895, 'p': 0.30000000000000004, 'mu': 2, 'iter': 174}
{'baseline-error': 0.1095, 'self-trained-error': 0.11, 'p': 0.30000000000000004, 'mu': 2, 'iter': 175}
{'baseline-error': 0.0905, 'self-trained-error': 0.09, 'p': 0.30000000000000004, 'mu': 2, 'iter': 176}
{'baseline-error': 0.0855, 'self-trained-error': 0.078, 'p': 0.30000000000000004, 'mu': 2, 'iter': 177}
{'baseline-error': 0.116, 'self-trained-error': 0.1135, 'p': 0.30000000000000004, 'mu': 2, 'iter': 178}
{'baseline-error': 0.098, 'self-trained-error': 0.091, 'p': 0.30000000000000004, 'mu': 2, 'iter': 179}
{'baseline-error': 0.093, 'self-trained-error': 0.093, 'p': 0.30000000000000004, 'mu': 2, 'iter': 180}
{'baseline-error': 0.122, 'self-trained-error': 0.0995, 'p': 0.30000000000000004, 'mu': 2, 'iter': 181}
{'baseline-error': 0.0885, 'self-trained-error': 0.0925, 'p': 0.30000000000000004, 'mu': 2, 'iter': 182}
{'baseline-error': 0.131, 'self-trained-error': 0.1265, 'p': 0.30000000000000004, 'mu': 2, 'iter': 183}
{'baseline-error': 0.0985, 'self-trained-error': 0.089, 'p': 0.30000000000000004, 'mu': 2, 'iter': 184}
{'baseline-error': 0.0795, 'self-trained-error': 0.083, 'p': 0.30000000000000004, 'mu': 2, 'iter': 185}
{'baseline-error': 0.0975, 'self-trained-error': 0.086, 'p': 0.30000000000000004, 'mu': 2, 'iter': 186}
{'baseline-error': 0.0845, 'self-trained-error': 0.0865, 'p': 0.30000000000000004, 'mu': 2, 'iter': 187}
{'baseline-error': 0.1055, 'self-trained-error': 0.1005, 'p': 0.30000000000000004, 'mu': 2, 'iter': 188}
{'baseline-error': 0.0895, 'self-trained-error': 0.09, 'p': 0.30000000000000004, 'mu': 2, 'iter': 189}
{'baseline-error': 0.139, 'self-trained-error': 0.15, 'p': 0.30000000000000004, 'mu': 2, 'iter': 190}
{'baseline-error': 0.1255, 'self-trained-error': 0.12, 'p': 0.30000000000000004, 'mu': 2, 'iter': 191}
{'baseline-error': 0.0845, 'self-trained-error': 0.081, 'p': 0.30000000000000004, 'mu': 2, 'iter': 192}
{'baseline-error': 0.108, 'self-trained-error': 0.087, 'p': 0.30000000000000004, 'mu': 2, 'iter': 193}
{'baseline-error': 0.0835, 'self-trained-error': 0.0815, 'p': 0.30000000000000004, 'mu': 2, 'iter': 194}
{'baseline-error': 0.1, 'self-trained-error': 0.092, 'p': 0.30000000000000004, 'mu': 2, 'iter': 195}
{'baseline-error': 0.082, 'self-trained-error': 0.079, 'p': 0.30000000000000004, 'mu': 2, 'iter': 196}
{'baseline-error': 0.1065, 'self-trained-error': 0.1015, 'p': 0.30000000000000004, 'mu': 2, 'iter': 197}
{'baseline-error': 0.111, 'self-trained-error': 0.0925, 'p': 0.30000000000000004, 'mu': 2, 'iter': 198}
{'baseline-error': 0.103, 'self-trained-error': 0.0905, 'p': 0.30000000000000004, 'mu': 2, 'iter': 199}
