{'baseline-error': 0.118, 'self-trained-error': 0.1055, 'p': 0.1, 'mu': 2, 'iter': 250}
{'baseline-error': 0.172, 'self-trained-error': 0.18, 'p': 0.1, 'mu': 2, 'iter': 251}
{'baseline-error': 0.183, 'self-trained-error': 0.185, 'p': 0.1, 'mu': 2, 'iter': 252}
{'baseline-error': 0.131, 'self-trained-error': 0.1295, 'p': 0.1, 'mu': 2, 'iter': 253}
{'baseline-error': 0.2025, 'self-trained-error': 0.1815, 'p': 0.1, 'mu': 2, 'iter': 254}
{'baseline-error': 0.2385, 'self-trained-error': 0.2375, 'p': 0.1, 'mu': 2, 'iter': 255}
{'baseline-error': 0.1635, 'self-trained-error': 0.1225, 'p': 0.1, 'mu': 2, 'iter': 256}
{'baseline-error': 0.1785, 'self-trained-error': 0.174, 'p': 0.1, 'mu': 2, 'iter': 257}
{'baseline-error': 0.1715, 'self-trained-error': 0.145, 'p': 0.1, 'mu': 2, 'iter': 258}
{'baseline-error': 0.1935, 'self-trained-error': 0.1615, 'p': 0.1, 'mu': 2, 'iter': 259}
{'baseline-error': 0.174, 'self-trained-error': 0.152, 'p': 0.1, 'mu': 2, 'iter': 260}
{'baseline-error': 0.1975, 'self-trained-error': 0.167, 'p': 0.1, 'mu': 2, 'iter': 261}
{'baseline-error': 0.2065, 'self-trained-error': 0.201, 'p': 0.1, 'mu': 2, 'iter': 262}
{'baseline-error': 0.1325, 'self-trained-error': 0.1015, 'p': 0.1, 'mu': 2, 'iter': 263}
{'baseline-error': 0.211, 'self-trained-error': 0.2165, 'p': 0.1, 'mu': 2, 'iter': 264}
{'baseline-error': 0.191, 'self-trained-error': 0.158, 'p': 0.1, 'mu': 2, 'iter': 265}
{'baseline-error': 0.257, 'self-trained-error': 0.292, 'p': 0.1, 'mu': 2, 'iter': 266}
{'baseline-error': 0.158, 'self-trained-error': 0.155, 'p': 0.1, 'mu': 2, 'iter': 267}
{'baseline-error': 0.3155, 'self-trained-error': 0.282, 'p': 0.1, 'mu': 2, 'iter': 268}
{'baseline-error': 0.178, 'self-trained-error': 0.163, 'p': 0.1, 'mu': 2, 'iter': 269}
{'baseline-error': 0.161, 'self-trained-error': 0.143, 'p': 0.1, 'mu': 2, 'iter': 270}
{'baseline-error': 0.248, 'self-trained-error': 0.201, 'p': 0.1, 'mu': 2, 'iter': 271}
{'baseline-error': 0.124, 'self-trained-error': 0.1195, 'p': 0.1, 'mu': 2, 'iter': 272}
{'baseline-error': 0.202, 'self-trained-error': 0.209, 'p': 0.1, 'mu': 2, 'iter': 273}
{'baseline-error': 0.121, 'self-trained-error': 0.105, 'p': 0.1, 'mu': 2, 'iter': 274}
{'baseline-error': 0.1715, 'self-trained-error': 0.1715, 'p': 0.1, 'mu': 2, 'iter': 275}
{'baseline-error': 0.1915, 'self-trained-error': 0.1645, 'p': 0.1, 'mu': 2, 'iter': 276}
{'baseline-error': 0.2235, 'self-trained-error': 0.22, 'p': 0.1, 'mu': 2, 'iter': 277}
{'baseline-error': 0.1415, 'self-trained-error': 0.124, 'p': 0.1, 'mu': 2, 'iter': 278}
{'baseline-error': 0.207, 'self-trained-error': 0.1935, 'p': 0.1, 'mu': 2, 'iter': 279}
{'baseline-error': 0.1265, 'self-trained-error': 0.11, 'p': 0.1, 'mu': 2, 'iter': 280}
{'baseline-error': 0.1595, 'self-trained-error': 0.1575, 'p': 0.1, 'mu': 2, 'iter': 281}
{'baseline-error': 0.132, 'self-trained-error': 0.1325, 'p': 0.1, 'mu': 2, 'iter': 282}
{'baseline-error': 0.182, 'self-trained-error': 0.1825, 'p': 0.1, 'mu': 2, 'iter': 283}
{'baseline-error': 0.136, 'self-trained-error': 0.1295, 'p': 0.1, 'mu': 2, 'iter': 284}
{'baseline-error': 0.158, 'self-trained-error': 0.1515, 'p': 0.1, 'mu': 2, 'iter': 285}
{'baseline-error': 0.282, 'self-trained-error': 0.2775, 'p': 0.1, 'mu': 2, 'iter': 286}
{'baseline-error': 0.182, 'self-trained-error': 0.1785, 'p': 0.1, 'mu': 2, 'iter': 287}
{'baseline-error': 0.171, 'self-trained-error': 0.1495, 'p': 0.1, 'mu': 2, 'iter': 288}
{'baseline-error': 0.191, 'self-trained-error': 0.178, 'p': 0.1, 'mu': 2, 'iter': 289}
{'baseline-error': 0.177, 'self-trained-error': 0.17, 'p': 0.1, 'mu': 2, 'iter': 290}
{'baseline-error': 0.1585, 'self-trained-error': 0.1215, 'p': 0.1, 'mu': 2, 'iter': 291}
{'baseline-error': 0.1555, 'self-trained-error': 0.1525, 'p': 0.1, 'mu': 2, 'iter': 292}
{'baseline-error': 0.1745, 'self-trained-error': 0.165, 'p': 0.1, 'mu': 2, 'iter': 293}
{'baseline-error': 0.1405, 'self-trained-error': 0.1395, 'p': 0.1, 'mu': 2, 'iter': 294}
{'baseline-error': 0.164, 'self-trained-error': 0.114, 'p': 0.1, 'mu': 2, 'iter': 295}
{'baseline-error': 0.1765, 'self-trained-error': 0.1755, 'p': 0.1, 'mu': 2, 'iter': 296}
{'baseline-error': 0.134, 'self-trained-error': 0.1265, 'p': 0.1, 'mu': 2, 'iter': 297}
{'baseline-error': 0.333, 'self-trained-error': 0.3135, 'p': 0.1, 'mu': 2, 'iter': 298}
{'baseline-error': 0.1845, 'self-trained-error': 0.1715, 'p': 0.1, 'mu': 2, 'iter': 299}
