{'baseline-error': 0.0395, 'self-trained-error': 0.038, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 450}
{'baseline-error': 0.059, 'self-trained-error': 0.0565, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 451}
{'baseline-error': 0.0355, 'self-trained-error': 0.0365, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 452}
{'baseline-error': 0.0405, 'self-trained-error': 0.0405, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 453}
{'baseline-error': 0.044, 'self-trained-error': 0.044, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 454}
{'baseline-error': 0.031, 'self-trained-error': 0.0295, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 455}
{'baseline-error': 0.061, 'self-trained-error': 0.057, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 456}
{'baseline-error': 0.059, 'self-trained-error': 0.049, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 457}
{'baseline-error': 0.0545, 'self-trained-error': 0.053, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 458}
{'baseline-error': 0.066, 'self-trained-error': 0.0415, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 459}
{'baseline-error': 0.042, 'self-trained-error': 0.0355, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 460}
{'baseline-error': 0.0495, 'self-trained-error': 0.0385, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 461}
{'baseline-error': 0.0475, 'self-trained-error': 0.048, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 462}
{'baseline-error': 0.0335, 'self-trained-error': 0.0325, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 463}
{'baseline-error': 0.0615, 'self-trained-error': 0.061, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 464}
{'baseline-error': 0.0525, 'self-trained-error': 0.0475, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 465}
{'baseline-error': 0.0445, 'self-trained-error': 0.043, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 466}
{'baseline-error': 0.0445, 'self-trained-error': 0.0395, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 467}
{'baseline-error': 0.0415, 'self-trained-error': 0.04, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 468}
{'baseline-error': 0.0605, 'self-trained-error': 0.0605, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 469}
{'baseline-error': 0.0465, 'self-trained-error': 0.042, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 470}
{'baseline-error': 0.042, 'self-trained-error': 0.04, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 471}
{'baseline-error': 0.049, 'self-trained-error': 0.038, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 472}
{'baseline-error': 0.049, 'self-trained-error': 0.05, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 473}
{'baseline-error': 0.0445, 'self-trained-error': 0.043, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 474}
{'baseline-error': 0.0545, 'self-trained-error': 0.053, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 475}
{'baseline-error': 0.0435, 'self-trained-error': 0.044, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 476}
{'baseline-error': 0.042, 'self-trained-error': 0.0415, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 477}
{'baseline-error': 0.045, 'self-trained-error': 0.0445, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 478}
{'baseline-error': 0.042, 'self-trained-error': 0.039, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 479}
{'baseline-error': 0.041, 'self-trained-error': 0.0355, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 480}
{'baseline-error': 0.059, 'self-trained-error': 0.0395, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 481}
{'baseline-error': 0.0435, 'self-trained-error': 0.048, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 482}
{'baseline-error': 0.0525, 'self-trained-error': 0.049, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 483}
{'baseline-error': 0.0465, 'self-trained-error': 0.045, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 484}
{'baseline-error': 0.0545, 'self-trained-error': 0.0545, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 485}
{'baseline-error': 0.0735, 'self-trained-error': 0.048, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 486}
{'baseline-error': 0.0545, 'self-trained-error': 0.0395, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 487}
{'baseline-error': 0.048, 'self-trained-error': 0.044, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 488}
{'baseline-error': 0.043, 'self-trained-error': 0.0445, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 489}
{'baseline-error': 0.048, 'self-trained-error': 0.0465, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 490}
{'baseline-error': 0.041, 'self-trained-error': 0.039, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 491}
{'baseline-error': 0.049, 'self-trained-error': 0.047, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 492}
{'baseline-error': 0.036, 'self-trained-error': 0.037, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 493}
{'baseline-error': 0.049, 'self-trained-error': 0.047, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 494}
{'baseline-error': 0.0605, 'self-trained-error': 0.0465, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 495}
{'baseline-error': 0.0525, 'self-trained-error': 0.0435, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 496}
{'baseline-error': 0.0575, 'self-trained-error': 0.053, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 497}
{'baseline-error': 0.0455, 'self-trained-error': 0.0455, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 498}
{'baseline-error': 0.0335, 'self-trained-error': 0.0335, 'p': 0.30000000000000004, 'mu': 2.5, 'iter': 499}
