{'baseline-error': 0.044, 'self-trained-error': 0.044, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 100}
{'baseline-error': 0.0375, 'self-trained-error': 0.04, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 101}
{'baseline-error': 0.0435, 'self-trained-error': 0.043, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 102}
{'baseline-error': 0.035, 'self-trained-error': 0.034, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 103}
{'baseline-error': 0.0495, 'self-trained-error': 0.0525, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 104}
{'baseline-error': 0.0465, 'self-trained-error': 0.0425, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 105}
{'baseline-error': 0.0415, 'self-trained-error': 0.043, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 106}
{'baseline-error': 0.049, 'self-trained-error': 0.0485, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 107}
{'baseline-error': 0.0375, 'self-trained-error': 0.037, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 108}
{'baseline-error': 0.0415, 'self-trained-error': 0.0415, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 109}
{'baseline-error': 0.038, 'self-trained-error': 0.0375, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 110}
{'baseline-error': 0.0485, 'self-trained-error': 0.0415, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 111}
{'baseline-error': 0.0445, 'self-trained-error': 0.044, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 112}
{'baseline-error': 0.043, 'self-trained-error': 0.042, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 113}
{'baseline-error': 0.0395, 'self-trained-error': 0.0365, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 114}
{'baseline-error': 0.04, 'self-trained-error': 0.039, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 115}
{'baseline-error': 0.04, 'self-trained-error': 0.041, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 116}
{'baseline-error': 0.034, 'self-trained-error': 0.0345, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 117}
{'baseline-error': 0.0385, 'self-trained-error': 0.035, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 118}
{'baseline-error': 0.0415, 'self-trained-error': 0.0405, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 119}
{'baseline-error': 0.038, 'self-trained-error': 0.0365, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 120}
{'baseline-error': 0.0425, 'self-trained-error': 0.0395, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 121}
{'baseline-error': 0.038, 'self-trained-error': 0.038, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 122}
{'baseline-error': 0.0485, 'self-trained-error': 0.0485, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 123}
{'baseline-error': 0.0425, 'self-trained-error': 0.0435, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 124}
{'baseline-error': 0.034, 'self-trained-error': 0.034, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 125}
