{'baseline-error': 0.04, 'self-trained-error': 0.0415, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 150}
{'baseline-error': 0.0365, 'self-trained-error': 0.0355, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 151}
{'baseline-error': 0.0395, 'self-trained-error': 0.04, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 152}
{'baseline-error': 0.0395, 'self-trained-error': 0.0395, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 153}
{'baseline-error': 0.037, 'self-trained-error': 0.0355, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 154}
{'baseline-error': 0.037, 'self-trained-error': 0.0375, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 155}
{'baseline-error': 0.0395, 'self-trained-error': 0.037, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 156}
{'baseline-error': 0.0495, 'self-trained-error': 0.0485, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 157}
{'baseline-error': 0.043, 'self-trained-error': 0.045, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 158}
{'baseline-error': 0.0445, 'self-trained-error': 0.045, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 159}
{'baseline-error': 0.0355, 'self-trained-error': 0.042, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 160}
{'baseline-error': 0.04, 'self-trained-error': 0.042, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 161}
{'baseline-error': 0.042, 'self-trained-error': 0.043, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 162}
{'baseline-error': 0.035, 'self-trained-error': 0.035, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 163}
{'baseline-error': 0.046, 'self-trained-error': 0.043, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 164}
{'baseline-error': 0.0465, 'self-trained-error': 0.042, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 165}
{'baseline-error': 0.041, 'self-trained-error': 0.0405, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 166}
{'baseline-error': 0.054, 'self-trained-error': 0.0495, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 167}
{'baseline-error': 0.04, 'self-trained-error': 0.0385, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 168}
{'baseline-error': 0.0425, 'self-trained-error': 0.0425, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 169}
{'baseline-error': 0.0505, 'self-trained-error': 0.049, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 170}
{'baseline-error': 0.0435, 'self-trained-error': 0.0395, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 171}
{'baseline-error': 0.0365, 'self-trained-error': 0.0365, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 172}
{'baseline-error': 0.0415, 'self-trained-error': 0.041, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 173}
{'baseline-error': 0.041, 'self-trained-error': 0.0415, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 174}
{'baseline-error': 0.0355, 'self-trained-error': 0.0365, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 175}
{'baseline-error': 0.037, 'self-trained-error': 0.0365, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 176}
{'baseline-error': 0.0465, 'self-trained-error': 0.046, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 177}
{'baseline-error': 0.042, 'self-trained-error': 0.0375, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 178}
{'baseline-error': 0.0395, 'self-trained-error': 0.038, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 179}
{'baseline-error': 0.041, 'self-trained-error': 0.0385, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 180}
{'baseline-error': 0.0635, 'self-trained-error': 0.0525, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 181}
{'baseline-error': 0.0435, 'self-trained-error': 0.0415, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 182}
{'baseline-error': 0.0435, 'self-trained-error': 0.0435, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 183}
{'baseline-error': 0.039, 'self-trained-error': 0.0375, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 184}
{'baseline-error': 0.052, 'self-trained-error': 0.052, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 185}
{'baseline-error': 0.048, 'self-trained-error': 0.0475, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 186}
{'baseline-error': 0.0485, 'self-trained-error': 0.0485, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 187}
{'baseline-error': 0.047, 'self-trained-error': 0.0485, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 188}
{'baseline-error': 0.036, 'self-trained-error': 0.036, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 189}
{'baseline-error': 0.0335, 'self-trained-error': 0.0355, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 190}
{'baseline-error': 0.054, 'self-trained-error': 0.05, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 191}
{'baseline-error': 0.0445, 'self-trained-error': 0.041, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 192}
{'baseline-error': 0.0375, 'self-trained-error': 0.0365, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 193}
{'baseline-error': 0.0475, 'self-trained-error': 0.0475, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 194}
{'baseline-error': 0.0415, 'self-trained-error': 0.0435, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 195}
{'baseline-error': 0.054, 'self-trained-error': 0.0515, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 196}
{'baseline-error': 0.0405, 'self-trained-error': 0.0415, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 197}
{'baseline-error': 0.041, 'self-trained-error': 0.0405, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 198}
{'baseline-error': 0.0495, 'self-trained-error': 0.048, 'p': 0.40000000000000013, 'mu': 2.5, 'iter': 199}
