{'baseline-error': 0.002, 'self-trained-error': 0.002, 'p': 0.15000000000000002, 'mu': 4, 'iter': 300}
{'baseline-error': 0.0255, 'self-trained-error': 0.0035, 'p': 0.15000000000000002, 'mu': 4, 'iter': 301}
{'baseline-error': 0.011, 'self-trained-error': 0.0045, 'p': 0.15000000000000002, 'mu': 4, 'iter': 302}
{'baseline-error': 0.008, 'self-trained-error': 0.0025, 'p': 0.15000000000000002, 'mu': 4, 'iter': 303}
{'baseline-error': 0.0175, 'self-trained-error': 0.0045, 'p': 0.15000000000000002, 'mu': 4, 'iter': 304}
{'baseline-error': 0.006, 'self-trained-error': 0.002, 'p': 0.15000000000000002, 'mu': 4, 'iter': 305}
{'baseline-error': 0.01, 'self-trained-error': 0.003, 'p': 0.15000000000000002, 'mu': 4, 'iter': 306}
{'baseline-error': 0.0125, 'self-trained-error': 0.0065, 'p': 0.15000000000000002, 'mu': 4, 'iter': 307}
{'baseline-error': 0.007, 'self-trained-error': 0.005, 'p': 0.15000000000000002, 'mu': 4, 'iter': 308}
{'baseline-error': 0.0045, 'self-trained-error': 0.004, 'p': 0.15000000000000002, 'mu': 4, 'iter': 309}
{'baseline-error': 0.018, 'self-trained-error': 0.0015, 'p': 0.15000000000000002, 'mu': 4, 'iter': 310}
{'baseline-error': 0.0085, 'self-trained-error': 0.006, 'p': 0.15000000000000002, 'mu': 4, 'iter': 311}
{'baseline-error': 0.0045, 'self-trained-error': 0.0045, 'p': 0.15000000000000002, 'mu': 4, 'iter': 312}
{'baseline-error': 0.007, 'self-trained-error': 0.001, 'p': 0.15000000000000002, 'mu': 4, 'iter': 313}
{'baseline-error': 0.0185, 'self-trained-error': 0.0045, 'p': 0.15000000000000002, 'mu': 4, 'iter': 314}
{'baseline-error': 0.0085, 'self-trained-error': 0.0025, 'p': 0.15000000000000002, 'mu': 4, 'iter': 315}
{'baseline-error': 0.008, 'self-trained-error': 0.006, 'p': 0.15000000000000002, 'mu': 4, 'iter': 316}
{'baseline-error': 0.0075, 'self-trained-error': 0.0025, 'p': 0.15000000000000002, 'mu': 4, 'iter': 317}
{'baseline-error': 0.0045, 'self-trained-error': 0.004, 'p': 0.15000000000000002, 'mu': 4, 'iter': 318}
{'baseline-error': 0.0025, 'self-trained-error': 0.001, 'p': 0.15000000000000002, 'mu': 4, 'iter': 319}
{'baseline-error': 0.0025, 'self-trained-error': 0.0015, 'p': 0.15000000000000002, 'mu': 4, 'iter': 320}
{'baseline-error': 0.002, 'self-trained-error': 0.002, 'p': 0.15000000000000002, 'mu': 4, 'iter': 321}
{'baseline-error': 0.0095, 'self-trained-error': 0.003, 'p': 0.15000000000000002, 'mu': 4, 'iter': 322}
{'baseline-error': 0.0065, 'self-trained-error': 0.0035, 'p': 0.15000000000000002, 'mu': 4, 'iter': 323}
{'baseline-error': 0.0045, 'self-trained-error': 0.002, 'p': 0.15000000000000002, 'mu': 4, 'iter': 324}
{'baseline-error': 0.0045, 'self-trained-error': 0.001, 'p': 0.15000000000000002, 'mu': 4, 'iter': 325}
{'baseline-error': 0.012, 'self-trained-error': 0.001, 'p': 0.15000000000000002, 'mu': 4, 'iter': 326}
{'baseline-error': 0.009, 'self-trained-error': 0.0035, 'p': 0.15000000000000002, 'mu': 4, 'iter': 327}
{'baseline-error': 0.0055, 'self-trained-error': 0.004, 'p': 0.15000000000000002, 'mu': 4, 'iter': 328}
{'baseline-error': 0.004, 'self-trained-error': 0.0025, 'p': 0.15000000000000002, 'mu': 4, 'iter': 329}
{'baseline-error': 0.005, 'self-trained-error': 0.0025, 'p': 0.15000000000000002, 'mu': 4, 'iter': 330}
{'baseline-error': 0.012, 'self-trained-error': 0.0065, 'p': 0.15000000000000002, 'mu': 4, 'iter': 331}
{'baseline-error': 0.014, 'self-trained-error': 0.0015, 'p': 0.15000000000000002, 'mu': 4, 'iter': 332}
{'baseline-error': 0.006, 'self-trained-error': 0.004, 'p': 0.15000000000000002, 'mu': 4, 'iter': 333}
{'baseline-error': 0.002, 'self-trained-error': 0.002, 'p': 0.15000000000000002, 'mu': 4, 'iter': 334}
{'baseline-error': 0.0065, 'self-trained-error': 0.0035, 'p': 0.15000000000000002, 'mu': 4, 'iter': 335}
{'baseline-error': 0.0035, 'self-trained-error': 0.002, 'p': 0.15000000000000002, 'mu': 4, 'iter': 336}
{'baseline-error': 0.004, 'self-trained-error': 0.002, 'p': 0.15000000000000002, 'mu': 4, 'iter': 337}
{'baseline-error': 0.0035, 'self-trained-error': 0.001, 'p': 0.15000000000000002, 'mu': 4, 'iter': 338}
{'baseline-error': 0.0075, 'self-trained-error': 0.0055, 'p': 0.15000000000000002, 'mu': 4, 'iter': 339}
{'baseline-error': 0.0075, 'self-trained-error': 0.003, 'p': 0.15000000000000002, 'mu': 4, 'iter': 340}
{'baseline-error': 0.005, 'self-trained-error': 0.002, 'p': 0.15000000000000002, 'mu': 4, 'iter': 341}
{'baseline-error': 0.0065, 'self-trained-error': 0.006, 'p': 0.15000000000000002, 'mu': 4, 'iter': 342}
{'baseline-error': 0.017, 'self-trained-error': 0.003, 'p': 0.15000000000000002, 'mu': 4, 'iter': 343}
{'baseline-error': 0.003, 'self-trained-error': 0.0015, 'p': 0.15000000000000002, 'mu': 4, 'iter': 344}
{'baseline-error': 0.008, 'self-trained-error': 0.0015, 'p': 0.15000000000000002, 'mu': 4, 'iter': 345}
{'baseline-error': 0.002, 'self-trained-error': 0.003, 'p': 0.15000000000000002, 'mu': 4, 'iter': 346}
{'baseline-error': 0.014, 'self-trained-error': 0.004, 'p': 0.15000000000000002, 'mu': 4, 'iter': 347}
{'baseline-error': 0.012, 'self-trained-error': 0.0035, 'p': 0.15000000000000002, 'mu': 4, 'iter': 348}
{'baseline-error': 0.0115, 'self-trained-error': 0.0, 'p': 0.15000000000000002, 'mu': 4, 'iter': 349}
