{'baseline-error': 0.0685, 'self-trained-error': 0.0485, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 150}
{'baseline-error': 0.0585, 'self-trained-error': 0.0655, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 151}
{'baseline-error': 0.0815, 'self-trained-error': 0.045, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 152}
{'baseline-error': 0.102, 'self-trained-error': 0.0925, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 153}
{'baseline-error': 0.0615, 'self-trained-error': 0.04, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 154}
{'baseline-error': 0.086, 'self-trained-error': 0.059, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 155}
{'baseline-error': 0.077, 'self-trained-error': 0.042, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 156}
{'baseline-error': 0.0485, 'self-trained-error': 0.0475, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 157}
{'baseline-error': 0.0605, 'self-trained-error': 0.0515, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 158}
{'baseline-error': 0.0395, 'self-trained-error': 0.0375, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 159}
{'baseline-error': 0.072, 'self-trained-error': 0.0495, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 160}
{'baseline-error': 0.1045, 'self-trained-error': 0.102, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 161}
{'baseline-error': 0.05, 'self-trained-error': 0.041, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 162}
{'baseline-error': 0.066, 'self-trained-error': 0.0465, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 163}
{'baseline-error': 0.0815, 'self-trained-error': 0.064, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 164}
{'baseline-error': 0.075, 'self-trained-error': 0.0495, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 165}
{'baseline-error': 0.092, 'self-trained-error': 0.064, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 166}
{'baseline-error': 0.0615, 'self-trained-error': 0.0455, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 167}
{'baseline-error': 0.051, 'self-trained-error': 0.038, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 168}
{'baseline-error': 0.0575, 'self-trained-error': 0.0465, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 169}
{'baseline-error': 0.0615, 'self-trained-error': 0.0455, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 170}
{'baseline-error': 0.0975, 'self-trained-error': 0.093, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 171}
{'baseline-error': 0.0825, 'self-trained-error': 0.0545, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 172}
{'baseline-error': 0.0685, 'self-trained-error': 0.059, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 173}
{'baseline-error': 0.0525, 'self-trained-error': 0.043, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 174}
{'baseline-error': 0.046, 'self-trained-error': 0.043, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 175}
{'baseline-error': 0.0755, 'self-trained-error': 0.0595, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 176}
{'baseline-error': 0.1205, 'self-trained-error': 0.0635, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 177}
{'baseline-error': 0.0855, 'self-trained-error': 0.054, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 178}
{'baseline-error': 0.062, 'self-trained-error': 0.0415, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 179}
{'baseline-error': 0.0515, 'self-trained-error': 0.044, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 180}
{'baseline-error': 0.0725, 'self-trained-error': 0.0525, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 181}
{'baseline-error': 0.0705, 'self-trained-error': 0.0635, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 182}
{'baseline-error': 0.0465, 'self-trained-error': 0.037, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 183}
{'baseline-error': 0.05, 'self-trained-error': 0.0455, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 184}
{'baseline-error': 0.073, 'self-trained-error': 0.054, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 185}
{'baseline-error': 0.0695, 'self-trained-error': 0.0515, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 186}
{'baseline-error': 0.078, 'self-trained-error': 0.0735, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 187}
{'baseline-error': 0.083, 'self-trained-error': 0.085, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 188}
{'baseline-error': 0.045, 'self-trained-error': 0.046, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 189}
{'baseline-error': 0.058, 'self-trained-error': 0.0455, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 190}
{'baseline-error': 0.0975, 'self-trained-error': 0.0825, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 191}
{'baseline-error': 0.041, 'self-trained-error': 0.042, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 192}
{'baseline-error': 0.044, 'self-trained-error': 0.04, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 193}
{'baseline-error': 0.0825, 'self-trained-error': 0.0635, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 194}
{'baseline-error': 0.0715, 'self-trained-error': 0.0525, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 195}
{'baseline-error': 0.058, 'self-trained-error': 0.057, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 196}
{'baseline-error': 0.0845, 'self-trained-error': 0.0465, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 197}
{'baseline-error': 0.138, 'self-trained-error': 0.0975, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 198}
{'baseline-error': 0.085, 'self-trained-error': 0.0395, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 199}
