{'baseline-error': 0.1, 'self-trained-error': 0.104, 'p': 0.40000000000000013, 'mu': 2, 'iter': 300}
{'baseline-error': 0.079, 'self-trained-error': 0.078, 'p': 0.40000000000000013, 'mu': 2, 'iter': 301}
{'baseline-error': 0.0885, 'self-trained-error': 0.0855, 'p': 0.40000000000000013, 'mu': 2, 'iter': 302}
{'baseline-error': 0.077, 'self-trained-error': 0.071, 'p': 0.40000000000000013, 'mu': 2, 'iter': 303}
{'baseline-error': 0.091, 'self-trained-error': 0.0975, 'p': 0.40000000000000013, 'mu': 2, 'iter': 304}
{'baseline-error': 0.098, 'self-trained-error': 0.0915, 'p': 0.40000000000000013, 'mu': 2, 'iter': 305}
{'baseline-error': 0.0995, 'self-trained-error': 0.094, 'p': 0.40000000000000013, 'mu': 2, 'iter': 306}
{'baseline-error': 0.109, 'self-trained-error': 0.0975, 'p': 0.40000000000000013, 'mu': 2, 'iter': 307}
{'baseline-error': 0.074, 'self-trained-error': 0.074, 'p': 0.40000000000000013, 'mu': 2, 'iter': 308}
{'baseline-error': 0.091, 'self-trained-error': 0.0885, 'p': 0.40000000000000013, 'mu': 2, 'iter': 309}
{'baseline-error': 0.079, 'self-trained-error': 0.0815, 'p': 0.40000000000000013, 'mu': 2, 'iter': 310}
{'baseline-error': 0.0885, 'self-trained-error': 0.0835, 'p': 0.40000000000000013, 'mu': 2, 'iter': 311}
{'baseline-error': 0.0885, 'self-trained-error': 0.0895, 'p': 0.40000000000000013, 'mu': 2, 'iter': 312}
{'baseline-error': 0.086, 'self-trained-error': 0.087, 'p': 0.40000000000000013, 'mu': 2, 'iter': 313}
{'baseline-error': 0.088, 'self-trained-error': 0.081, 'p': 0.40000000000000013, 'mu': 2, 'iter': 314}
{'baseline-error': 0.088, 'self-trained-error': 0.0895, 'p': 0.40000000000000013, 'mu': 2, 'iter': 315}
{'baseline-error': 0.0825, 'self-trained-error': 0.086, 'p': 0.40000000000000013, 'mu': 2, 'iter': 316}
{'baseline-error': 0.079, 'self-trained-error': 0.079, 'p': 0.40000000000000013, 'mu': 2, 'iter': 317}
{'baseline-error': 0.088, 'self-trained-error': 0.087, 'p': 0.40000000000000013, 'mu': 2, 'iter': 318}
{'baseline-error': 0.084, 'self-trained-error': 0.0875, 'p': 0.40000000000000013, 'mu': 2, 'iter': 319}
{'baseline-error': 0.0725, 'self-trained-error': 0.073, 'p': 0.40000000000000013, 'mu': 2, 'iter': 320}
{'baseline-error': 0.079, 'self-trained-error': 0.08, 'p': 0.40000000000000013, 'mu': 2, 'iter': 321}
{'baseline-error': 0.0745, 'self-trained-error': 0.076, 'p': 0.40000000000000013, 'mu': 2, 'iter': 322}
{'baseline-error': 0.0915, 'self-trained-error': 0.0915, 'p': 0.40000000000000013, 'mu': 2, 'iter': 323}
{'baseline-error': 0.082, 'self-trained-error': 0.0805, 'p': 0.40000000000000013, 'mu': 2, 'iter': 324}
{'baseline-error': 0.087, 'self-trained-error': 0.085, 'p': 0.40000000000000013, 'mu': 2, 'iter': 325}
{'baseline-error': 0.0865, 'self-trained-error': 0.0805, 'p': 0.40000000000000013, 'mu': 2, 'iter': 326}
{'baseline-error': 0.097, 'self-trained-error': 0.098, 'p': 0.40000000000000013, 'mu': 2, 'iter': 327}
{'baseline-error': 0.105, 'self-trained-error': 0.1045, 'p': 0.40000000000000013, 'mu': 2, 'iter': 328}
{'baseline-error': 0.0755, 'self-trained-error': 0.0765, 'p': 0.40000000000000013, 'mu': 2, 'iter': 329}
{'baseline-error': 0.0805, 'self-trained-error': 0.0815, 'p': 0.40000000000000013, 'mu': 2, 'iter': 330}
{'baseline-error': 0.097, 'self-trained-error': 0.0925, 'p': 0.40000000000000013, 'mu': 2, 'iter': 331}
{'baseline-error': 0.0865, 'self-trained-error': 0.0825, 'p': 0.40000000000000013, 'mu': 2, 'iter': 332}
{'baseline-error': 0.098, 'self-trained-error': 0.098, 'p': 0.40000000000000013, 'mu': 2, 'iter': 333}
{'baseline-error': 0.096, 'self-trained-error': 0.095, 'p': 0.40000000000000013, 'mu': 2, 'iter': 334}
{'baseline-error': 0.089, 'self-trained-error': 0.088, 'p': 0.40000000000000013, 'mu': 2, 'iter': 335}
{'baseline-error': 0.072, 'self-trained-error': 0.0745, 'p': 0.40000000000000013, 'mu': 2, 'iter': 336}
{'baseline-error': 0.084, 'self-trained-error': 0.0835, 'p': 0.40000000000000013, 'mu': 2, 'iter': 337}
