{'baseline-error': 0.2115, 'self-trained-error': 0.1915, 'p': 0.1, 'mu': 2, 'iter': 400}
{'baseline-error': 0.1325, 'self-trained-error': 0.1265, 'p': 0.1, 'mu': 2, 'iter': 401}
{'baseline-error': 0.2285, 'self-trained-error': 0.224, 'p': 0.1, 'mu': 2, 'iter': 402}
{'baseline-error': 0.1695, 'self-trained-error': 0.113, 'p': 0.1, 'mu': 2, 'iter': 403}
{'baseline-error': 0.213, 'self-trained-error': 0.197, 'p': 0.1, 'mu': 2, 'iter': 404}
{'baseline-error': 0.1435, 'self-trained-error': 0.14, 'p': 0.1, 'mu': 2, 'iter': 405}
{'baseline-error': 0.2185, 'self-trained-error': 0.1825, 'p': 0.1, 'mu': 2, 'iter': 406}
{'baseline-error': 0.148, 'self-trained-error': 0.108, 'p': 0.1, 'mu': 2, 'iter': 407}
{'baseline-error': 0.141, 'self-trained-error': 0.1175, 'p': 0.1, 'mu': 2, 'iter': 408}
{'baseline-error': 0.1595, 'self-trained-error': 0.157, 'p': 0.1, 'mu': 2, 'iter': 409}
{'baseline-error': 0.189, 'self-trained-error': 0.193, 'p': 0.1, 'mu': 2, 'iter': 410}
{'baseline-error': 0.1775, 'self-trained-error': 0.1695, 'p': 0.1, 'mu': 2, 'iter': 411}
{'baseline-error': 0.233, 'self-trained-error': 0.234, 'p': 0.1, 'mu': 2, 'iter': 412}
{'baseline-error': 0.1655, 'self-trained-error': 0.125, 'p': 0.1, 'mu': 2, 'iter': 413}
{'baseline-error': 0.239, 'self-trained-error': 0.239, 'p': 0.1, 'mu': 2, 'iter': 414}
{'baseline-error': 0.1995, 'self-trained-error': 0.189, 'p': 0.1, 'mu': 2, 'iter': 415}
{'baseline-error': 0.1095, 'self-trained-error': 0.1005, 'p': 0.1, 'mu': 2, 'iter': 416}
{'baseline-error': 0.1415, 'self-trained-error': 0.1025, 'p': 0.1, 'mu': 2, 'iter': 417}
{'baseline-error': 0.1735, 'self-trained-error': 0.173, 'p': 0.1, 'mu': 2, 'iter': 418}
{'baseline-error': 0.12, 'self-trained-error': 0.101, 'p': 0.1, 'mu': 2, 'iter': 419}
{'baseline-error': 0.2555, 'self-trained-error': 0.298, 'p': 0.1, 'mu': 2, 'iter': 420}
{'baseline-error': 0.251, 'self-trained-error': 0.2445, 'p': 0.1, 'mu': 2, 'iter': 421}
{'baseline-error': 0.1685, 'self-trained-error': 0.1685, 'p': 0.1, 'mu': 2, 'iter': 422}
{'baseline-error': 0.174, 'self-trained-error': 0.154, 'p': 0.1, 'mu': 2, 'iter': 423}
{'baseline-error': 0.1755, 'self-trained-error': 0.1575, 'p': 0.1, 'mu': 2, 'iter': 424}
{'baseline-error': 0.161, 'self-trained-error': 0.1345, 'p': 0.1, 'mu': 2, 'iter': 425}
{'baseline-error': 0.135, 'self-trained-error': 0.134, 'p': 0.1, 'mu': 2, 'iter': 426}
{'baseline-error': 0.115, 'self-trained-error': 0.106, 'p': 0.1, 'mu': 2, 'iter': 427}
{'baseline-error': 0.118, 'self-trained-error': 0.108, 'p': 0.1, 'mu': 2, 'iter': 428}
{'baseline-error': 0.156, 'self-trained-error': 0.1455, 'p': 0.1, 'mu': 2, 'iter': 429}
{'baseline-error': 0.1405, 'self-trained-error': 0.1395, 'p': 0.1, 'mu': 2, 'iter': 430}
{'baseline-error': 0.175, 'self-trained-error': 0.124, 'p': 0.1, 'mu': 2, 'iter': 431}
{'baseline-error': 0.157, 'self-trained-error': 0.133, 'p': 0.1, 'mu': 2, 'iter': 432}
{'baseline-error': 0.1045, 'self-trained-error': 0.0955, 'p': 0.1, 'mu': 2, 'iter': 433}
{'baseline-error': 0.12, 'self-trained-error': 0.083, 'p': 0.1, 'mu': 2, 'iter': 434}
{'baseline-error': 0.184, 'self-trained-error': 0.1785, 'p': 0.1, 'mu': 2, 'iter': 435}
{'baseline-error': 0.1985, 'self-trained-error': 0.2125, 'p': 0.1, 'mu': 2, 'iter': 436}
{'baseline-error': 0.1635, 'self-trained-error': 0.133, 'p': 0.1, 'mu': 2, 'iter': 437}
{'baseline-error': 0.2, 'self-trained-error': 0.202, 'p': 0.1, 'mu': 2, 'iter': 438}
{'baseline-error': 0.206, 'self-trained-error': 0.2145, 'p': 0.1, 'mu': 2, 'iter': 439}
{'baseline-error': 0.212, 'self-trained-error': 0.1835, 'p': 0.1, 'mu': 2, 'iter': 440}
{'baseline-error': 0.1975, 'self-trained-error': 0.177, 'p': 0.1, 'mu': 2, 'iter': 441}
{'baseline-error': 0.158, 'self-trained-error': 0.1425, 'p': 0.1, 'mu': 2, 'iter': 442}
{'baseline-error': 0.166, 'self-trained-error': 0.143, 'p': 0.1, 'mu': 2, 'iter': 443}
{'baseline-error': 0.2485, 'self-trained-error': 0.2455, 'p': 0.1, 'mu': 2, 'iter': 444}
{'baseline-error': 0.141, 'self-trained-error': 0.1415, 'p': 0.1, 'mu': 2, 'iter': 445}
{'baseline-error': 0.1095, 'self-trained-error': 0.1175, 'p': 0.1, 'mu': 2, 'iter': 446}
{'baseline-error': 0.122, 'self-trained-error': 0.105, 'p': 0.1, 'mu': 2, 'iter': 447}
{'baseline-error': 0.261, 'self-trained-error': 0.266, 'p': 0.1, 'mu': 2, 'iter': 448}
{'baseline-error': 0.142, 'self-trained-error': 0.1325, 'p': 0.1, 'mu': 2, 'iter': 449}
