{'baseline-error': 0.1525, 'self-trained-error': 0.1135, 'p': 0.1, 'mu': 2, 'iter': 100}
{'baseline-error': 0.194, 'self-trained-error': 0.1885, 'p': 0.1, 'mu': 2, 'iter': 101}
{'baseline-error': 0.2195, 'self-trained-error': 0.237, 'p': 0.1, 'mu': 2, 'iter': 102}
{'baseline-error': 0.181, 'self-trained-error': 0.174, 'p': 0.1, 'mu': 2, 'iter': 103}
{'baseline-error': 0.2685, 'self-trained-error': 0.2585, 'p': 0.1, 'mu': 2, 'iter': 104}
{'baseline-error': 0.1375, 'self-trained-error': 0.123, 'p': 0.1, 'mu': 2, 'iter': 105}
{'baseline-error': 0.157, 'self-trained-error': 0.1485, 'p': 0.1, 'mu': 2, 'iter': 106}
{'baseline-error': 0.234, 'self-trained-error': 0.22, 'p': 0.1, 'mu': 2, 'iter': 107}
{'baseline-error': 0.128, 'self-trained-error': 0.126, 'p': 0.1, 'mu': 2, 'iter': 108}
{'baseline-error': 0.1985, 'self-trained-error': 0.219, 'p': 0.1, 'mu': 2, 'iter': 109}
{'baseline-error': 0.15, 'self-trained-error': 0.1495, 'p': 0.1, 'mu': 2, 'iter': 110}
{'baseline-error': 0.187, 'self-trained-error': 0.188, 'p': 0.1, 'mu': 2, 'iter': 111}
{'baseline-error': 0.137, 'self-trained-error': 0.1345, 'p': 0.1, 'mu': 2, 'iter': 112}
{'baseline-error': 0.239, 'self-trained-error': 0.238, 'p': 0.1, 'mu': 2, 'iter': 113}
{'baseline-error': 0.1025, 'self-trained-error': 0.098, 'p': 0.1, 'mu': 2, 'iter': 114}
{'baseline-error': 0.169, 'self-trained-error': 0.1575, 'p': 0.1, 'mu': 2, 'iter': 115}
{'baseline-error': 0.143, 'self-trained-error': 0.127, 'p': 0.1, 'mu': 2, 'iter': 116}
{'baseline-error': 0.226, 'self-trained-error': 0.2215, 'p': 0.1, 'mu': 2, 'iter': 117}
{'baseline-error': 0.143, 'self-trained-error': 0.101, 'p': 0.1, 'mu': 2, 'iter': 118}
{'baseline-error': 0.179, 'self-trained-error': 0.167, 'p': 0.1, 'mu': 2, 'iter': 119}
{'baseline-error': 0.184, 'self-trained-error': 0.168, 'p': 0.1, 'mu': 2, 'iter': 120}
{'baseline-error': 0.1655, 'self-trained-error': 0.1705, 'p': 0.1, 'mu': 2, 'iter': 121}
{'baseline-error': 0.119, 'self-trained-error': 0.108, 'p': 0.1, 'mu': 2, 'iter': 122}
{'baseline-error': 0.175, 'self-trained-error': 0.165, 'p': 0.1, 'mu': 2, 'iter': 123}
{'baseline-error': 0.142, 'self-trained-error': 0.14, 'p': 0.1, 'mu': 2, 'iter': 124}
{'baseline-error': 0.1215, 'self-trained-error': 0.113, 'p': 0.1, 'mu': 2, 'iter': 125}
{'baseline-error': 0.124, 'self-trained-error': 0.115, 'p': 0.1, 'mu': 2, 'iter': 126}
{'baseline-error': 0.1525, 'self-trained-error': 0.121, 'p': 0.1, 'mu': 2, 'iter': 127}
{'baseline-error': 0.2415, 'self-trained-error': 0.2525, 'p': 0.1, 'mu': 2, 'iter': 128}
{'baseline-error': 0.1015, 'self-trained-error': 0.0885, 'p': 0.1, 'mu': 2, 'iter': 129}
{'baseline-error': 0.134, 'self-trained-error': 0.101, 'p': 0.1, 'mu': 2, 'iter': 130}
{'baseline-error': 0.115, 'self-trained-error': 0.095, 'p': 0.1, 'mu': 2, 'iter': 131}
{'baseline-error': 0.1365, 'self-trained-error': 0.1345, 'p': 0.1, 'mu': 2, 'iter': 132}
{'baseline-error': 0.137, 'self-trained-error': 0.132, 'p': 0.1, 'mu': 2, 'iter': 133}
{'baseline-error': 0.235, 'self-trained-error': 0.231, 'p': 0.1, 'mu': 2, 'iter': 134}
{'baseline-error': 0.1385, 'self-trained-error': 0.1465, 'p': 0.1, 'mu': 2, 'iter': 135}
{'baseline-error': 0.141, 'self-trained-error': 0.1315, 'p': 0.1, 'mu': 2, 'iter': 136}
{'baseline-error': 0.1005, 'self-trained-error': 0.099, 'p': 0.1, 'mu': 2, 'iter': 137}
{'baseline-error': 0.174, 'self-trained-error': 0.18, 'p': 0.1, 'mu': 2, 'iter': 138}
{'baseline-error': 0.1525, 'self-trained-error': 0.1495, 'p': 0.1, 'mu': 2, 'iter': 139}
{'baseline-error': 0.159, 'self-trained-error': 0.161, 'p': 0.1, 'mu': 2, 'iter': 140}
{'baseline-error': 0.179, 'self-trained-error': 0.174, 'p': 0.1, 'mu': 2, 'iter': 141}
{'baseline-error': 0.1735, 'self-trained-error': 0.135, 'p': 0.1, 'mu': 2, 'iter': 142}
{'baseline-error': 0.156, 'self-trained-error': 0.105, 'p': 0.1, 'mu': 2, 'iter': 143}
{'baseline-error': 0.1365, 'self-trained-error': 0.1215, 'p': 0.1, 'mu': 2, 'iter': 144}
{'baseline-error': 0.149, 'self-trained-error': 0.1125, 'p': 0.1, 'mu': 2, 'iter': 145}
{'baseline-error': 0.17, 'self-trained-error': 0.147, 'p': 0.1, 'mu': 2, 'iter': 146}
{'baseline-error': 0.2165, 'self-trained-error': 0.1935, 'p': 0.1, 'mu': 2, 'iter': 147}
{'baseline-error': 0.2255, 'self-trained-error': 0.2065, 'p': 0.1, 'mu': 2, 'iter': 148}
{'baseline-error': 0.214, 'self-trained-error': 0.2055, 'p': 0.1, 'mu': 2, 'iter': 149}
