{'baseline-error': 0.016, 'self-trained-error': 0.0095, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 250}
{'baseline-error': 0.0225, 'self-trained-error': 0.008, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 251}
{'baseline-error': 0.032, 'self-trained-error': 0.009, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 252}
{'baseline-error': 0.0135, 'self-trained-error': 0.007, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 253}
{'baseline-error': 0.011, 'self-trained-error': 0.004, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 254}
{'baseline-error': 0.0135, 'self-trained-error': 0.008, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 255}
{'baseline-error': 0.0065, 'self-trained-error': 0.0065, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 256}
{'baseline-error': 0.028, 'self-trained-error': 0.006, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 257}
{'baseline-error': 0.007, 'self-trained-error': 0.007, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 258}
{'baseline-error': 0.0085, 'self-trained-error': 0.005, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 259}
{'baseline-error': 0.013, 'self-trained-error': 0.009, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 260}
{'baseline-error': 0.0075, 'self-trained-error': 0.0075, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 261}
{'baseline-error': 0.017, 'self-trained-error': 0.0085, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 262}
{'baseline-error': 0.0165, 'self-trained-error': 0.008, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 263}
{'baseline-error': 0.021, 'self-trained-error': 0.0065, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 264}
{'baseline-error': 0.0115, 'self-trained-error': 0.0045, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 265}
{'baseline-error': 0.018, 'self-trained-error': 0.0105, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 266}
{'baseline-error': 0.005, 'self-trained-error': 0.005, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 267}
{'baseline-error': 0.0105, 'self-trained-error': 0.009, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 268}
{'baseline-error': 0.009, 'self-trained-error': 0.0085, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 269}
{'baseline-error': 0.0125, 'self-trained-error': 0.005, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 270}
{'baseline-error': 0.0095, 'self-trained-error': 0.0055, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 271}
{'baseline-error': 0.0095, 'self-trained-error': 0.007, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 272}
{'baseline-error': 0.011, 'self-trained-error': 0.0075, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 273}
{'baseline-error': 0.0085, 'self-trained-error': 0.0065, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 274}
{'baseline-error': 0.0365, 'self-trained-error': 0.012, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 275}
{'baseline-error': 0.016, 'self-trained-error': 0.01, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 276}
{'baseline-error': 0.012, 'self-trained-error': 0.005, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 277}
{'baseline-error': 0.0115, 'self-trained-error': 0.008, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 278}
{'baseline-error': 0.015, 'self-trained-error': 0.0065, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 279}
{'baseline-error': 0.012, 'self-trained-error': 0.0055, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 280}
{'baseline-error': 0.0115, 'self-trained-error': 0.008, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 281}
{'baseline-error': 0.01, 'self-trained-error': 0.007, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 282}
{'baseline-error': 0.0155, 'self-trained-error': 0.0115, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 283}
{'baseline-error': 0.012, 'self-trained-error': 0.0085, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 284}
{'baseline-error': 0.0075, 'self-trained-error': 0.0065, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 285}
{'baseline-error': 0.017, 'self-trained-error': 0.0055, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 286}
{'baseline-error': 0.009, 'self-trained-error': 0.0085, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 287}
{'baseline-error': 0.0095, 'self-trained-error': 0.005, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 288}
{'baseline-error': 0.0105, 'self-trained-error': 0.009, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 289}
{'baseline-error': 0.0145, 'self-trained-error': 0.004, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 290}
{'baseline-error': 0.0075, 'self-trained-error': 0.008, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 291}
{'baseline-error': 0.01, 'self-trained-error': 0.009, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 292}
{'baseline-error': 0.024, 'self-trained-error': 0.0095, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 293}
{'baseline-error': 0.0055, 'self-trained-error': 0.0055, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 294}
{'baseline-error': 0.018, 'self-trained-error': 0.0065, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 295}
{'baseline-error': 0.009, 'self-trained-error': 0.009, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 296}
{'baseline-error': 0.018, 'self-trained-error': 0.007, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 297}
{'baseline-error': 0.0075, 'self-trained-error': 0.0075, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 298}
{'baseline-error': 0.0195, 'self-trained-error': 0.0085, 'p': 0.20000000000000004, 'mu': 3.5, 'iter': 299}
