{'baseline-error': 0.001, 'self-trained-error': 0.0005, 'p': 0.1, 'mu': 5, 'iter': 0}
{'baseline-error': 0.001, 'self-trained-error': 0.0005, 'p': 0.1, 'mu': 5, 'iter': 1}
{'baseline-error': 0.002, 'self-trained-error': 0.0005, 'p': 0.1, 'mu': 5, 'iter': 2}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 5, 'iter': 3}
{'baseline-error': 0.0015, 'self-trained-error': 0.0005, 'p': 0.1, 'mu': 5, 'iter': 4}
{'baseline-error': 0.0005, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 5, 'iter': 5}
{'baseline-error': 0.0015, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 5, 'iter': 6}
{'baseline-error': 0.0015, 'self-trained-error': 0.0005, 'p': 0.1, 'mu': 5, 'iter': 7}
{'baseline-error': 0.0015, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 5, 'iter': 8}
{'baseline-error': 0.005, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 5, 'iter': 9}
{'baseline-error': 0.0015, 'self-trained-error': 0.0005, 'p': 0.1, 'mu': 5, 'iter': 10}
{'baseline-error': 0.0005, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 5, 'iter': 11}
{'baseline-error': 0.002, 'self-trained-error': 0.0005, 'p': 0.1, 'mu': 5, 'iter': 12}
{'baseline-error': 0.004, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 5, 'iter': 13}
{'baseline-error': 0.0025, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 5, 'iter': 14}
{'baseline-error': 0.0085, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 5, 'iter': 15}
{'baseline-error': 0.002, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 5, 'iter': 16}
{'baseline-error': 0.002, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 5, 'iter': 17}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 5, 'iter': 18}
{'baseline-error': 0.001, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 5, 'iter': 19}
{'baseline-error': 0.002, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 5, 'iter': 20}
{'baseline-error': 0.002, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 5, 'iter': 21}
{'baseline-error': 0.0075, 'self-trained-error': 0.001, 'p': 0.1, 'mu': 5, 'iter': 22}
{'baseline-error': 0.002, 'self-trained-error': 0.001, 'p': 0.1, 'mu': 5, 'iter': 23}
{'baseline-error': 0.0025, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 5, 'iter': 24}
{'baseline-error': 0.0015, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 5, 'iter': 25}
{'baseline-error': 0.0005, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 5, 'iter': 26}
{'baseline-error': 0.005, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 5, 'iter': 27}
{'baseline-error': 0.007, 'self-trained-error': 0.0005, 'p': 0.1, 'mu': 5, 'iter': 28}
{'baseline-error': 0.0015, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 5, 'iter': 29}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 5, 'iter': 30}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 5, 'iter': 31}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 5, 'iter': 32}
{'baseline-error': 0.007, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 5, 'iter': 33}
{'baseline-error': 0.0025, 'self-trained-error': 0.0005, 'p': 0.1, 'mu': 5, 'iter': 34}
{'baseline-error': 0.004, 'self-trained-error': 0.0005, 'p': 0.1, 'mu': 5, 'iter': 35}
{'baseline-error': 0.0015, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 5, 'iter': 36}
{'baseline-error': 0.0015, 'self-trained-error': 0.0005, 'p': 0.1, 'mu': 5, 'iter': 37}
{'baseline-error': 0.0025, 'self-trained-error': 0.001, 'p': 0.1, 'mu': 5, 'iter': 38}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 5, 'iter': 39}
{'baseline-error': 0.0015, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 5, 'iter': 40}
{'baseline-error': 0.001, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 5, 'iter': 41}
{'baseline-error': 0.0005, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 5, 'iter': 42}
{'baseline-error': 0.001, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 5, 'iter': 43}
{'baseline-error': 0.0055, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 5, 'iter': 44}
{'baseline-error': 0.002, 'self-trained-error': 0.0005, 'p': 0.1, 'mu': 5, 'iter': 45}
{'baseline-error': 0.0015, 'self-trained-error': 0.0005, 'p': 0.1, 'mu': 5, 'iter': 46}
{'baseline-error': 0.0035, 'self-trained-error': 0.0005, 'p': 0.1, 'mu': 5, 'iter': 47}
{'baseline-error': 0.0045, 'self-trained-error': 0.0, 'p': 0.1, 'mu': 5, 'iter': 48}
{'baseline-error': 0.001, 'self-trained-error': 0.0005, 'p': 0.1, 'mu': 5, 'iter': 49}
