{'baseline-error': 0.08, 'self-trained-error': 0.04, 'p': 0.15000000000000002, 'mu': 3, 'iter': 300}
{'baseline-error': 0.039, 'self-trained-error': 0.025, 'p': 0.15000000000000002, 'mu': 3, 'iter': 301}
{'baseline-error': 0.0485, 'self-trained-error': 0.041, 'p': 0.15000000000000002, 'mu': 3, 'iter': 302}
{'baseline-error': 0.0555, 'self-trained-error': 0.027, 'p': 0.15000000000000002, 'mu': 3, 'iter': 303}
{'baseline-error': 0.0405, 'self-trained-error': 0.03, 'p': 0.15000000000000002, 'mu': 3, 'iter': 304}
{'baseline-error': 0.0365, 'self-trained-error': 0.02, 'p': 0.15000000000000002, 'mu': 3, 'iter': 305}
{'baseline-error': 0.03, 'self-trained-error': 0.0205, 'p': 0.15000000000000002, 'mu': 3, 'iter': 306}
{'baseline-error': 0.03, 'self-trained-error': 0.021, 'p': 0.15000000000000002, 'mu': 3, 'iter': 307}
{'baseline-error': 0.045, 'self-trained-error': 0.0175, 'p': 0.15000000000000002, 'mu': 3, 'iter': 308}
{'baseline-error': 0.0275, 'self-trained-error': 0.0165, 'p': 0.15000000000000002, 'mu': 3, 'iter': 309}
{'baseline-error': 0.045, 'self-trained-error': 0.027, 'p': 0.15000000000000002, 'mu': 3, 'iter': 310}
{'baseline-error': 0.021, 'self-trained-error': 0.021, 'p': 0.15000000000000002, 'mu': 3, 'iter': 311}
{'baseline-error': 0.043, 'self-trained-error': 0.039, 'p': 0.15000000000000002, 'mu': 3, 'iter': 312}
{'baseline-error': 0.0205, 'self-trained-error': 0.02, 'p': 0.15000000000000002, 'mu': 3, 'iter': 313}
{'baseline-error': 0.0655, 'self-trained-error': 0.0235, 'p': 0.15000000000000002, 'mu': 3, 'iter': 314}
{'baseline-error': 0.047, 'self-trained-error': 0.0295, 'p': 0.15000000000000002, 'mu': 3, 'iter': 315}
{'baseline-error': 0.0225, 'self-trained-error': 0.024, 'p': 0.15000000000000002, 'mu': 3, 'iter': 316}
{'baseline-error': 0.0465, 'self-trained-error': 0.0285, 'p': 0.15000000000000002, 'mu': 3, 'iter': 317}
{'baseline-error': 0.0425, 'self-trained-error': 0.0215, 'p': 0.15000000000000002, 'mu': 3, 'iter': 318}
{'baseline-error': 0.0235, 'self-trained-error': 0.02, 'p': 0.15000000000000002, 'mu': 3, 'iter': 319}
{'baseline-error': 0.028, 'self-trained-error': 0.017, 'p': 0.15000000000000002, 'mu': 3, 'iter': 320}
{'baseline-error': 0.026, 'self-trained-error': 0.0265, 'p': 0.15000000000000002, 'mu': 3, 'iter': 321}
{'baseline-error': 0.0305, 'self-trained-error': 0.023, 'p': 0.15000000000000002, 'mu': 3, 'iter': 322}
{'baseline-error': 0.0215, 'self-trained-error': 0.018, 'p': 0.15000000000000002, 'mu': 3, 'iter': 323}
{'baseline-error': 0.055, 'self-trained-error': 0.0485, 'p': 0.15000000000000002, 'mu': 3, 'iter': 324}
{'baseline-error': 0.0265, 'self-trained-error': 0.026, 'p': 0.15000000000000002, 'mu': 3, 'iter': 325}
{'baseline-error': 0.03, 'self-trained-error': 0.022, 'p': 0.15000000000000002, 'mu': 3, 'iter': 326}
{'baseline-error': 0.062, 'self-trained-error': 0.023, 'p': 0.15000000000000002, 'mu': 3, 'iter': 327}
{'baseline-error': 0.044, 'self-trained-error': 0.0225, 'p': 0.15000000000000002, 'mu': 3, 'iter': 328}
{'baseline-error': 0.044, 'self-trained-error': 0.0165, 'p': 0.15000000000000002, 'mu': 3, 'iter': 329}
{'baseline-error': 0.0295, 'self-trained-error': 0.0215, 'p': 0.15000000000000002, 'mu': 3, 'iter': 330}
{'baseline-error': 0.065, 'self-trained-error': 0.065, 'p': 0.15000000000000002, 'mu': 3, 'iter': 331}
{'baseline-error': 0.0235, 'self-trained-error': 0.022, 'p': 0.15000000000000002, 'mu': 3, 'iter': 332}
