{'baseline-error': 0.126, 'self-trained-error': 0.119, 'p': 0.1, 'mu': 2.5, 'iter': 250}
{'baseline-error': 0.102, 'self-trained-error': 0.0715, 'p': 0.1, 'mu': 2.5, 'iter': 251}
{'baseline-error': 0.1295, 'self-trained-error': 0.1, 'p': 0.1, 'mu': 2.5, 'iter': 252}
{'baseline-error': 0.0755, 'self-trained-error': 0.044, 'p': 0.1, 'mu': 2.5, 'iter': 253}
{'baseline-error': 0.1, 'self-trained-error': 0.0995, 'p': 0.1, 'mu': 2.5, 'iter': 254}
{'baseline-error': 0.0675, 'self-trained-error': 0.0475, 'p': 0.1, 'mu': 2.5, 'iter': 255}
{'baseline-error': 0.0745, 'self-trained-error': 0.0495, 'p': 0.1, 'mu': 2.5, 'iter': 256}
{'baseline-error': 0.083, 'self-trained-error': 0.079, 'p': 0.1, 'mu': 2.5, 'iter': 257}
{'baseline-error': 0.145, 'self-trained-error': 0.114, 'p': 0.1, 'mu': 2.5, 'iter': 258}
{'baseline-error': 0.178, 'self-trained-error': 0.171, 'p': 0.1, 'mu': 2.5, 'iter': 259}
{'baseline-error': 0.085, 'self-trained-error': 0.074, 'p': 0.1, 'mu': 2.5, 'iter': 260}
{'baseline-error': 0.086, 'self-trained-error': 0.0545, 'p': 0.1, 'mu': 2.5, 'iter': 261}
{'baseline-error': 0.1215, 'self-trained-error': 0.096, 'p': 0.1, 'mu': 2.5, 'iter': 262}
{'baseline-error': 0.104, 'self-trained-error': 0.08, 'p': 0.1, 'mu': 2.5, 'iter': 263}
{'baseline-error': 0.1185, 'self-trained-error': 0.097, 'p': 0.1, 'mu': 2.5, 'iter': 264}
{'baseline-error': 0.1175, 'self-trained-error': 0.1065, 'p': 0.1, 'mu': 2.5, 'iter': 265}
{'baseline-error': 0.0745, 'self-trained-error': 0.052, 'p': 0.1, 'mu': 2.5, 'iter': 266}
{'baseline-error': 0.092, 'self-trained-error': 0.051, 'p': 0.1, 'mu': 2.5, 'iter': 267}
{'baseline-error': 0.164, 'self-trained-error': 0.1655, 'p': 0.1, 'mu': 2.5, 'iter': 268}
{'baseline-error': 0.057, 'self-trained-error': 0.053, 'p': 0.1, 'mu': 2.5, 'iter': 269}
{'baseline-error': 0.054, 'self-trained-error': 0.041, 'p': 0.1, 'mu': 2.5, 'iter': 270}
{'baseline-error': 0.057, 'self-trained-error': 0.053, 'p': 0.1, 'mu': 2.5, 'iter': 271}
{'baseline-error': 0.0835, 'self-trained-error': 0.0605, 'p': 0.1, 'mu': 2.5, 'iter': 272}
{'baseline-error': 0.0845, 'self-trained-error': 0.0575, 'p': 0.1, 'mu': 2.5, 'iter': 273}
{'baseline-error': 0.134, 'self-trained-error': 0.127, 'p': 0.1, 'mu': 2.5, 'iter': 274}
{'baseline-error': 0.0885, 'self-trained-error': 0.0665, 'p': 0.1, 'mu': 2.5, 'iter': 275}
{'baseline-error': 0.105, 'self-trained-error': 0.0645, 'p': 0.1, 'mu': 2.5, 'iter': 276}
{'baseline-error': 0.074, 'self-trained-error': 0.0465, 'p': 0.1, 'mu': 2.5, 'iter': 277}
{'baseline-error': 0.0745, 'self-trained-error': 0.0735, 'p': 0.1, 'mu': 2.5, 'iter': 278}
{'baseline-error': 0.0605, 'self-trained-error': 0.0545, 'p': 0.1, 'mu': 2.5, 'iter': 279}
{'baseline-error': 0.162, 'self-trained-error': 0.116, 'p': 0.1, 'mu': 2.5, 'iter': 280}
{'baseline-error': 0.089, 'self-trained-error': 0.0755, 'p': 0.1, 'mu': 2.5, 'iter': 281}
{'baseline-error': 0.114, 'self-trained-error': 0.0755, 'p': 0.1, 'mu': 2.5, 'iter': 282}
{'baseline-error': 0.1025, 'self-trained-error': 0.0675, 'p': 0.1, 'mu': 2.5, 'iter': 283}
{'baseline-error': 0.057, 'self-trained-error': 0.048, 'p': 0.1, 'mu': 2.5, 'iter': 284}
{'baseline-error': 0.1175, 'self-trained-error': 0.089, 'p': 0.1, 'mu': 2.5, 'iter': 285}
{'baseline-error': 0.139, 'self-trained-error': 0.122, 'p': 0.1, 'mu': 2.5, 'iter': 286}
{'baseline-error': 0.0725, 'self-trained-error': 0.059, 'p': 0.1, 'mu': 2.5, 'iter': 287}
{'baseline-error': 0.128, 'self-trained-error': 0.1085, 'p': 0.1, 'mu': 2.5, 'iter': 288}
{'baseline-error': 0.0765, 'self-trained-error': 0.0395, 'p': 0.1, 'mu': 2.5, 'iter': 289}
{'baseline-error': 0.049, 'self-trained-error': 0.037, 'p': 0.1, 'mu': 2.5, 'iter': 290}
{'baseline-error': 0.067, 'self-trained-error': 0.053, 'p': 0.1, 'mu': 2.5, 'iter': 291}
{'baseline-error': 0.1285, 'self-trained-error': 0.067, 'p': 0.1, 'mu': 2.5, 'iter': 292}
{'baseline-error': 0.089, 'self-trained-error': 0.0615, 'p': 0.1, 'mu': 2.5, 'iter': 293}
{'baseline-error': 0.0685, 'self-trained-error': 0.062, 'p': 0.1, 'mu': 2.5, 'iter': 294}
{'baseline-error': 0.1015, 'self-trained-error': 0.1075, 'p': 0.1, 'mu': 2.5, 'iter': 295}
{'baseline-error': 0.0785, 'self-trained-error': 0.0645, 'p': 0.1, 'mu': 2.5, 'iter': 296}
{'baseline-error': 0.053, 'self-trained-error': 0.048, 'p': 0.1, 'mu': 2.5, 'iter': 297}
{'baseline-error': 0.1045, 'self-trained-error': 0.061, 'p': 0.1, 'mu': 2.5, 'iter': 298}
{'baseline-error': 0.0935, 'self-trained-error': 0.091, 'p': 0.1, 'mu': 2.5, 'iter': 299}
