{'baseline-error': 0.058, 'self-trained-error': 0.0525, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 400}
{'baseline-error': 0.0505, 'self-trained-error': 0.0425, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 401}
{'baseline-error': 0.0485, 'self-trained-error': 0.0415, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 402}
{'baseline-error': 0.056, 'self-trained-error': 0.044, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 403}
{'baseline-error': 0.049, 'self-trained-error': 0.0475, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 404}
{'baseline-error': 0.059, 'self-trained-error': 0.044, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 405}
{'baseline-error': 0.0755, 'self-trained-error': 0.0575, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 406}
{'baseline-error': 0.056, 'self-trained-error': 0.0465, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 407}
{'baseline-error': 0.0785, 'self-trained-error': 0.055, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 408}
{'baseline-error': 0.0785, 'self-trained-error': 0.0705, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 409}
{'baseline-error': 0.0585, 'self-trained-error': 0.04, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 410}
{'baseline-error': 0.0785, 'self-trained-error': 0.082, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 411}
{'baseline-error': 0.083, 'self-trained-error': 0.057, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 412}
{'baseline-error': 0.065, 'self-trained-error': 0.0505, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 413}
{'baseline-error': 0.053, 'self-trained-error': 0.045, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 414}
{'baseline-error': 0.059, 'self-trained-error': 0.0555, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 415}
