{'baseline-error': 0.0255, 'self-trained-error': 0.0055, 'p': 0.1, 'mu': 3.5, 'iter': 150}
{'baseline-error': 0.028, 'self-trained-error': 0.0125, 'p': 0.1, 'mu': 3.5, 'iter': 151}
{'baseline-error': 0.0235, 'self-trained-error': 0.012, 'p': 0.1, 'mu': 3.5, 'iter': 152}
{'baseline-error': 0.0115, 'self-trained-error': 0.0085, 'p': 0.1, 'mu': 3.5, 'iter': 153}
{'baseline-error': 0.044, 'self-trained-error': 0.006, 'p': 0.1, 'mu': 3.5, 'iter': 154}
{'baseline-error': 0.042, 'self-trained-error': 0.009, 'p': 0.1, 'mu': 3.5, 'iter': 155}
{'baseline-error': 0.028, 'self-trained-error': 0.0095, 'p': 0.1, 'mu': 3.5, 'iter': 156}
{'baseline-error': 0.0255, 'self-trained-error': 0.011, 'p': 0.1, 'mu': 3.5, 'iter': 157}
{'baseline-error': 0.0175, 'self-trained-error': 0.005, 'p': 0.1, 'mu': 3.5, 'iter': 158}
{'baseline-error': 0.012, 'self-trained-error': 0.008, 'p': 0.1, 'mu': 3.5, 'iter': 159}
{'baseline-error': 0.0375, 'self-trained-error': 0.0045, 'p': 0.1, 'mu': 3.5, 'iter': 160}
{'baseline-error': 0.0295, 'self-trained-error': 0.0085, 'p': 0.1, 'mu': 3.5, 'iter': 161}
{'baseline-error': 0.047, 'self-trained-error': 0.01, 'p': 0.1, 'mu': 3.5, 'iter': 162}
{'baseline-error': 0.0085, 'self-trained-error': 0.006, 'p': 0.1, 'mu': 3.5, 'iter': 163}
{'baseline-error': 0.013, 'self-trained-error': 0.007, 'p': 0.1, 'mu': 3.5, 'iter': 164}
{'baseline-error': 0.0265, 'self-trained-error': 0.006, 'p': 0.1, 'mu': 3.5, 'iter': 165}
{'baseline-error': 0.04, 'self-trained-error': 0.0375, 'p': 0.1, 'mu': 3.5, 'iter': 166}
{'baseline-error': 0.0125, 'self-trained-error': 0.009, 'p': 0.1, 'mu': 3.5, 'iter': 167}
{'baseline-error': 0.0175, 'self-trained-error': 0.003, 'p': 0.1, 'mu': 3.5, 'iter': 168}
{'baseline-error': 0.04, 'self-trained-error': 0.007, 'p': 0.1, 'mu': 3.5, 'iter': 169}
{'baseline-error': 0.018, 'self-trained-error': 0.009, 'p': 0.1, 'mu': 3.5, 'iter': 170}
{'baseline-error': 0.014, 'self-trained-error': 0.0085, 'p': 0.1, 'mu': 3.5, 'iter': 171}
{'baseline-error': 0.0405, 'self-trained-error': 0.0245, 'p': 0.1, 'mu': 3.5, 'iter': 172}
{'baseline-error': 0.0145, 'self-trained-error': 0.009, 'p': 0.1, 'mu': 3.5, 'iter': 173}
{'baseline-error': 0.0125, 'self-trained-error': 0.007, 'p': 0.1, 'mu': 3.5, 'iter': 174}
{'baseline-error': 0.009, 'self-trained-error': 0.011, 'p': 0.1, 'mu': 3.5, 'iter': 175}
{'baseline-error': 0.021, 'self-trained-error': 0.011, 'p': 0.1, 'mu': 3.5, 'iter': 176}
{'baseline-error': 0.017, 'self-trained-error': 0.0085, 'p': 0.1, 'mu': 3.5, 'iter': 177}
{'baseline-error': 0.0365, 'self-trained-error': 0.0085, 'p': 0.1, 'mu': 3.5, 'iter': 178}
{'baseline-error': 0.013, 'self-trained-error': 0.0075, 'p': 0.1, 'mu': 3.5, 'iter': 179}
{'baseline-error': 0.023, 'self-trained-error': 0.0085, 'p': 0.1, 'mu': 3.5, 'iter': 180}
{'baseline-error': 0.051, 'self-trained-error': 0.01, 'p': 0.1, 'mu': 3.5, 'iter': 181}
{'baseline-error': 0.0575, 'self-trained-error': 0.0095, 'p': 0.1, 'mu': 3.5, 'iter': 182}
{'baseline-error': 0.0125, 'self-trained-error': 0.0065, 'p': 0.1, 'mu': 3.5, 'iter': 183}
{'baseline-error': 0.0215, 'self-trained-error': 0.008, 'p': 0.1, 'mu': 3.5, 'iter': 184}
{'baseline-error': 0.024, 'self-trained-error': 0.0075, 'p': 0.1, 'mu': 3.5, 'iter': 185}
{'baseline-error': 0.0435, 'self-trained-error': 0.023, 'p': 0.1, 'mu': 3.5, 'iter': 186}
{'baseline-error': 0.0285, 'self-trained-error': 0.0075, 'p': 0.1, 'mu': 3.5, 'iter': 187}
{'baseline-error': 0.018, 'self-trained-error': 0.0055, 'p': 0.1, 'mu': 3.5, 'iter': 188}
{'baseline-error': 0.015, 'self-trained-error': 0.008, 'p': 0.1, 'mu': 3.5, 'iter': 189}
{'baseline-error': 0.0085, 'self-trained-error': 0.0055, 'p': 0.1, 'mu': 3.5, 'iter': 190}
{'baseline-error': 0.04, 'self-trained-error': 0.007, 'p': 0.1, 'mu': 3.5, 'iter': 191}
{'baseline-error': 0.017, 'self-trained-error': 0.008, 'p': 0.1, 'mu': 3.5, 'iter': 192}
{'baseline-error': 0.0235, 'self-trained-error': 0.0095, 'p': 0.1, 'mu': 3.5, 'iter': 193}
{'baseline-error': 0.0365, 'self-trained-error': 0.006, 'p': 0.1, 'mu': 3.5, 'iter': 194}
{'baseline-error': 0.033, 'self-trained-error': 0.008, 'p': 0.1, 'mu': 3.5, 'iter': 195}
{'baseline-error': 0.0185, 'self-trained-error': 0.0075, 'p': 0.1, 'mu': 3.5, 'iter': 196}
{'baseline-error': 0.0275, 'self-trained-error': 0.0115, 'p': 0.1, 'mu': 3.5, 'iter': 197}
{'baseline-error': 0.0105, 'self-trained-error': 0.006, 'p': 0.1, 'mu': 3.5, 'iter': 198}
{'baseline-error': 0.0235, 'self-trained-error': 0.023, 'p': 0.1, 'mu': 3.5, 'iter': 199}
