{'baseline-error': 0.0245, 'self-trained-error': 0.0165, 'p': 0.40000000000000013, 'mu': 3, 'iter': 50}
{'baseline-error': 0.0275, 'self-trained-error': 0.0145, 'p': 0.40000000000000013, 'mu': 3, 'iter': 51}
{'baseline-error': 0.018, 'self-trained-error': 0.012, 'p': 0.40000000000000013, 'mu': 3, 'iter': 52}
{'baseline-error': 0.0225, 'self-trained-error': 0.0215, 'p': 0.40000000000000013, 'mu': 3, 'iter': 53}
{'baseline-error': 0.019, 'self-trained-error': 0.02, 'p': 0.40000000000000013, 'mu': 3, 'iter': 54}
{'baseline-error': 0.0175, 'self-trained-error': 0.0165, 'p': 0.40000000000000013, 'mu': 3, 'iter': 55}
{'baseline-error': 0.0145, 'self-trained-error': 0.012, 'p': 0.40000000000000013, 'mu': 3, 'iter': 56}
{'baseline-error': 0.0235, 'self-trained-error': 0.023, 'p': 0.40000000000000013, 'mu': 3, 'iter': 57}
{'baseline-error': 0.0245, 'self-trained-error': 0.0185, 'p': 0.40000000000000013, 'mu': 3, 'iter': 58}
{'baseline-error': 0.0205, 'self-trained-error': 0.019, 'p': 0.40000000000000013, 'mu': 3, 'iter': 59}
{'baseline-error': 0.0155, 'self-trained-error': 0.0155, 'p': 0.40000000000000013, 'mu': 3, 'iter': 60}
{'baseline-error': 0.0175, 'self-trained-error': 0.018, 'p': 0.40000000000000013, 'mu': 3, 'iter': 61}
{'baseline-error': 0.017, 'self-trained-error': 0.018, 'p': 0.40000000000000013, 'mu': 3, 'iter': 62}
{'baseline-error': 0.0175, 'self-trained-error': 0.016, 'p': 0.40000000000000013, 'mu': 3, 'iter': 63}
{'baseline-error': 0.022, 'self-trained-error': 0.021, 'p': 0.40000000000000013, 'mu': 3, 'iter': 64}
{'baseline-error': 0.022, 'self-trained-error': 0.022, 'p': 0.40000000000000013, 'mu': 3, 'iter': 65}
{'baseline-error': 0.0165, 'self-trained-error': 0.0175, 'p': 0.40000000000000013, 'mu': 3, 'iter': 66}
{'baseline-error': 0.0145, 'self-trained-error': 0.014, 'p': 0.40000000000000013, 'mu': 3, 'iter': 67}
{'baseline-error': 0.0195, 'self-trained-error': 0.021, 'p': 0.40000000000000013, 'mu': 3, 'iter': 68}
{'baseline-error': 0.029, 'self-trained-error': 0.017, 'p': 0.40000000000000013, 'mu': 3, 'iter': 69}
{'baseline-error': 0.0255, 'self-trained-error': 0.026, 'p': 0.40000000000000013, 'mu': 3, 'iter': 70}
{'baseline-error': 0.013, 'self-trained-error': 0.0155, 'p': 0.40000000000000013, 'mu': 3, 'iter': 71}
{'baseline-error': 0.0335, 'self-trained-error': 0.0195, 'p': 0.40000000000000013, 'mu': 3, 'iter': 72}
{'baseline-error': 0.0165, 'self-trained-error': 0.0155, 'p': 0.40000000000000013, 'mu': 3, 'iter': 73}
{'baseline-error': 0.0165, 'self-trained-error': 0.016, 'p': 0.40000000000000013, 'mu': 3, 'iter': 74}
{'baseline-error': 0.021, 'self-trained-error': 0.0205, 'p': 0.40000000000000013, 'mu': 3, 'iter': 75}
{'baseline-error': 0.0195, 'self-trained-error': 0.018, 'p': 0.40000000000000013, 'mu': 3, 'iter': 76}
{'baseline-error': 0.0215, 'self-trained-error': 0.0205, 'p': 0.40000000000000013, 'mu': 3, 'iter': 77}
{'baseline-error': 0.015, 'self-trained-error': 0.013, 'p': 0.40000000000000013, 'mu': 3, 'iter': 78}
{'baseline-error': 0.0135, 'self-trained-error': 0.013, 'p': 0.40000000000000013, 'mu': 3, 'iter': 79}
{'baseline-error': 0.022, 'self-trained-error': 0.023, 'p': 0.40000000000000013, 'mu': 3, 'iter': 80}
{'baseline-error': 0.018, 'self-trained-error': 0.018, 'p': 0.40000000000000013, 'mu': 3, 'iter': 81}
{'baseline-error': 0.0195, 'self-trained-error': 0.016, 'p': 0.40000000000000013, 'mu': 3, 'iter': 82}
{'baseline-error': 0.016, 'self-trained-error': 0.0165, 'p': 0.40000000000000013, 'mu': 3, 'iter': 83}
{'baseline-error': 0.0185, 'self-trained-error': 0.019, 'p': 0.40000000000000013, 'mu': 3, 'iter': 84}
{'baseline-error': 0.0195, 'self-trained-error': 0.0195, 'p': 0.40000000000000013, 'mu': 3, 'iter': 85}
{'baseline-error': 0.021, 'self-trained-error': 0.019, 'p': 0.40000000000000013, 'mu': 3, 'iter': 86}
{'baseline-error': 0.0205, 'self-trained-error': 0.0195, 'p': 0.40000000000000013, 'mu': 3, 'iter': 87}
{'baseline-error': 0.0185, 'self-trained-error': 0.0185, 'p': 0.40000000000000013, 'mu': 3, 'iter': 88}
{'baseline-error': 0.024, 'self-trained-error': 0.0255, 'p': 0.40000000000000013, 'mu': 3, 'iter': 89}
{'baseline-error': 0.0205, 'self-trained-error': 0.0195, 'p': 0.40000000000000013, 'mu': 3, 'iter': 90}
{'baseline-error': 0.014, 'self-trained-error': 0.015, 'p': 0.40000000000000013, 'mu': 3, 'iter': 91}
