{'baseline-error': 0.0805, 'self-trained-error': 0.0825, 'p': 0.40000000000000013, 'mu': 2, 'iter': 450}
{'baseline-error': 0.0845, 'self-trained-error': 0.0855, 'p': 0.40000000000000013, 'mu': 2, 'iter': 451}
{'baseline-error': 0.0885, 'self-trained-error': 0.09, 'p': 0.40000000000000013, 'mu': 2, 'iter': 452}
{'baseline-error': 0.078, 'self-trained-error': 0.0815, 'p': 0.40000000000000013, 'mu': 2, 'iter': 453}
{'baseline-error': 0.084, 'self-trained-error': 0.0835, 'p': 0.40000000000000013, 'mu': 2, 'iter': 454}
{'baseline-error': 0.081, 'self-trained-error': 0.08, 'p': 0.40000000000000013, 'mu': 2, 'iter': 455}
{'baseline-error': 0.0815, 'self-trained-error': 0.082, 'p': 0.40000000000000013, 'mu': 2, 'iter': 456}
{'baseline-error': 0.081, 'self-trained-error': 0.0775, 'p': 0.40000000000000013, 'mu': 2, 'iter': 457}
{'baseline-error': 0.0785, 'self-trained-error': 0.08, 'p': 0.40000000000000013, 'mu': 2, 'iter': 458}
{'baseline-error': 0.0915, 'self-trained-error': 0.076, 'p': 0.40000000000000013, 'mu': 2, 'iter': 459}
{'baseline-error': 0.078, 'self-trained-error': 0.0775, 'p': 0.40000000000000013, 'mu': 2, 'iter': 460}
{'baseline-error': 0.0785, 'self-trained-error': 0.077, 'p': 0.40000000000000013, 'mu': 2, 'iter': 461}
{'baseline-error': 0.079, 'self-trained-error': 0.074, 'p': 0.40000000000000013, 'mu': 2, 'iter': 462}
{'baseline-error': 0.0895, 'self-trained-error': 0.082, 'p': 0.40000000000000013, 'mu': 2, 'iter': 463}
{'baseline-error': 0.0865, 'self-trained-error': 0.085, 'p': 0.40000000000000013, 'mu': 2, 'iter': 464}
{'baseline-error': 0.0765, 'self-trained-error': 0.0745, 'p': 0.40000000000000013, 'mu': 2, 'iter': 465}
{'baseline-error': 0.1075, 'self-trained-error': 0.0975, 'p': 0.40000000000000013, 'mu': 2, 'iter': 466}
{'baseline-error': 0.103, 'self-trained-error': 0.0915, 'p': 0.40000000000000013, 'mu': 2, 'iter': 467}
{'baseline-error': 0.073, 'self-trained-error': 0.073, 'p': 0.40000000000000013, 'mu': 2, 'iter': 468}
