{'baseline-error': 0.0935, 'self-trained-error': 0.0945, 'p': 0.3500000000000001, 'mu': 2, 'iter': 100}
{'baseline-error': 0.0955, 'self-trained-error': 0.0855, 'p': 0.3500000000000001, 'mu': 2, 'iter': 101}
{'baseline-error': 0.078, 'self-trained-error': 0.078, 'p': 0.3500000000000001, 'mu': 2, 'iter': 102}
{'baseline-error': 0.0965, 'self-trained-error': 0.085, 'p': 0.3500000000000001, 'mu': 2, 'iter': 103}
{'baseline-error': 0.0935, 'self-trained-error': 0.0865, 'p': 0.3500000000000001, 'mu': 2, 'iter': 104}
{'baseline-error': 0.088, 'self-trained-error': 0.092, 'p': 0.3500000000000001, 'mu': 2, 'iter': 105}
{'baseline-error': 0.075, 'self-trained-error': 0.073, 'p': 0.3500000000000001, 'mu': 2, 'iter': 106}
{'baseline-error': 0.092, 'self-trained-error': 0.092, 'p': 0.3500000000000001, 'mu': 2, 'iter': 107}
{'baseline-error': 0.0805, 'self-trained-error': 0.083, 'p': 0.3500000000000001, 'mu': 2, 'iter': 108}
{'baseline-error': 0.0845, 'self-trained-error': 0.085, 'p': 0.3500000000000001, 'mu': 2, 'iter': 109}
{'baseline-error': 0.088, 'self-trained-error': 0.089, 'p': 0.3500000000000001, 'mu': 2, 'iter': 110}
{'baseline-error': 0.0795, 'self-trained-error': 0.0785, 'p': 0.3500000000000001, 'mu': 2, 'iter': 111}
{'baseline-error': 0.0975, 'self-trained-error': 0.0945, 'p': 0.3500000000000001, 'mu': 2, 'iter': 112}
{'baseline-error': 0.0755, 'self-trained-error': 0.0755, 'p': 0.3500000000000001, 'mu': 2, 'iter': 113}
{'baseline-error': 0.0685, 'self-trained-error': 0.069, 'p': 0.3500000000000001, 'mu': 2, 'iter': 114}
{'baseline-error': 0.1, 'self-trained-error': 0.095, 'p': 0.3500000000000001, 'mu': 2, 'iter': 115}
{'baseline-error': 0.087, 'self-trained-error': 0.084, 'p': 0.3500000000000001, 'mu': 2, 'iter': 116}
{'baseline-error': 0.097, 'self-trained-error': 0.089, 'p': 0.3500000000000001, 'mu': 2, 'iter': 117}
{'baseline-error': 0.096, 'self-trained-error': 0.0965, 'p': 0.3500000000000001, 'mu': 2, 'iter': 118}
{'baseline-error': 0.1195, 'self-trained-error': 0.1085, 'p': 0.3500000000000001, 'mu': 2, 'iter': 119}
{'baseline-error': 0.084, 'self-trained-error': 0.0815, 'p': 0.3500000000000001, 'mu': 2, 'iter': 120}
{'baseline-error': 0.0815, 'self-trained-error': 0.076, 'p': 0.3500000000000001, 'mu': 2, 'iter': 121}
{'baseline-error': 0.0965, 'self-trained-error': 0.0895, 'p': 0.3500000000000001, 'mu': 2, 'iter': 122}
{'baseline-error': 0.083, 'self-trained-error': 0.0825, 'p': 0.3500000000000001, 'mu': 2, 'iter': 123}
{'baseline-error': 0.099, 'self-trained-error': 0.078, 'p': 0.3500000000000001, 'mu': 2, 'iter': 124}
{'baseline-error': 0.086, 'self-trained-error': 0.0865, 'p': 0.3500000000000001, 'mu': 2, 'iter': 125}
{'baseline-error': 0.087, 'self-trained-error': 0.0815, 'p': 0.3500000000000001, 'mu': 2, 'iter': 126}
{'baseline-error': 0.097, 'self-trained-error': 0.0945, 'p': 0.3500000000000001, 'mu': 2, 'iter': 127}
{'baseline-error': 0.0985, 'self-trained-error': 0.0945, 'p': 0.3500000000000001, 'mu': 2, 'iter': 128}
{'baseline-error': 0.0995, 'self-trained-error': 0.091, 'p': 0.3500000000000001, 'mu': 2, 'iter': 129}
{'baseline-error': 0.1, 'self-trained-error': 0.0965, 'p': 0.3500000000000001, 'mu': 2, 'iter': 130}
{'baseline-error': 0.0855, 'self-trained-error': 0.0765, 'p': 0.3500000000000001, 'mu': 2, 'iter': 131}
{'baseline-error': 0.0915, 'self-trained-error': 0.0825, 'p': 0.3500000000000001, 'mu': 2, 'iter': 132}
{'baseline-error': 0.0885, 'self-trained-error': 0.0835, 'p': 0.3500000000000001, 'mu': 2, 'iter': 133}
{'baseline-error': 0.0805, 'self-trained-error': 0.0725, 'p': 0.3500000000000001, 'mu': 2, 'iter': 134}
{'baseline-error': 0.091, 'self-trained-error': 0.0905, 'p': 0.3500000000000001, 'mu': 2, 'iter': 135}
{'baseline-error': 0.088, 'self-trained-error': 0.081, 'p': 0.3500000000000001, 'mu': 2, 'iter': 136}
{'baseline-error': 0.091, 'self-trained-error': 0.0895, 'p': 0.3500000000000001, 'mu': 2, 'iter': 137}
{'baseline-error': 0.0925, 'self-trained-error': 0.0875, 'p': 0.3500000000000001, 'mu': 2, 'iter': 138}
{'baseline-error': 0.0975, 'self-trained-error': 0.094, 'p': 0.3500000000000001, 'mu': 2, 'iter': 139}
{'baseline-error': 0.086, 'self-trained-error': 0.0865, 'p': 0.3500000000000001, 'mu': 2, 'iter': 140}
{'baseline-error': 0.0765, 'self-trained-error': 0.0755, 'p': 0.3500000000000001, 'mu': 2, 'iter': 141}
{'baseline-error': 0.08, 'self-trained-error': 0.079, 'p': 0.3500000000000001, 'mu': 2, 'iter': 142}
{'baseline-error': 0.085, 'self-trained-error': 0.0855, 'p': 0.3500000000000001, 'mu': 2, 'iter': 143}
{'baseline-error': 0.0865, 'self-trained-error': 0.0875, 'p': 0.3500000000000001, 'mu': 2, 'iter': 144}
{'baseline-error': 0.102, 'self-trained-error': 0.086, 'p': 0.3500000000000001, 'mu': 2, 'iter': 145}
{'baseline-error': 0.0925, 'self-trained-error': 0.0845, 'p': 0.3500000000000001, 'mu': 2, 'iter': 146}
{'baseline-error': 0.1225, 'self-trained-error': 0.122, 'p': 0.3500000000000001, 'mu': 2, 'iter': 147}
{'baseline-error': 0.0695, 'self-trained-error': 0.068, 'p': 0.3500000000000001, 'mu': 2, 'iter': 148}
{'baseline-error': 0.0725, 'self-trained-error': 0.075, 'p': 0.3500000000000001, 'mu': 2, 'iter': 149}
