{'baseline-error': 0.117, 'self-trained-error': 0.1045, 'p': 0.30000000000000004, 'mu': 2, 'iter': 0}
{'baseline-error': 0.0855, 'self-trained-error': 0.073, 'p': 0.30000000000000004, 'mu': 2, 'iter': 1}
{'baseline-error': 0.089, 'self-trained-error': 0.0885, 'p': 0.30000000000000004, 'mu': 2, 'iter': 2}
{'baseline-error': 0.136, 'self-trained-error': 0.119, 'p': 0.30000000000000004, 'mu': 2, 'iter': 3}
{'baseline-error': 0.094, 'self-trained-error': 0.093, 'p': 0.30000000000000004, 'mu': 2, 'iter': 4}
{'baseline-error': 0.094, 'self-trained-error': 0.096, 'p': 0.30000000000000004, 'mu': 2, 'iter': 5}
{'baseline-error': 0.066, 'self-trained-error': 0.065, 'p': 0.30000000000000004, 'mu': 2, 'iter': 6}
{'baseline-error': 0.0865, 'self-trained-error': 0.0875, 'p': 0.30000000000000004, 'mu': 2, 'iter': 7}
{'baseline-error': 0.085, 'self-trained-error': 0.082, 'p': 0.30000000000000004, 'mu': 2, 'iter': 8}
{'baseline-error': 0.0985, 'self-trained-error': 0.0885, 'p': 0.30000000000000004, 'mu': 2, 'iter': 9}
{'baseline-error': 0.081, 'self-trained-error': 0.0815, 'p': 0.30000000000000004, 'mu': 2, 'iter': 10}
{'baseline-error': 0.093, 'self-trained-error': 0.086, 'p': 0.30000000000000004, 'mu': 2, 'iter': 11}
{'baseline-error': 0.1015, 'self-trained-error': 0.1005, 'p': 0.30000000000000004, 'mu': 2, 'iter': 12}
{'baseline-error': 0.0935, 'self-trained-error': 0.0835, 'p': 0.30000000000000004, 'mu': 2, 'iter': 13}
{'baseline-error': 0.0985, 'self-trained-error': 0.0885, 'p': 0.30000000000000004, 'mu': 2, 'iter': 14}
{'baseline-error': 0.0865, 'self-trained-error': 0.0885, 'p': 0.30000000000000004, 'mu': 2, 'iter': 15}
{'baseline-error': 0.092, 'self-trained-error': 0.094, 'p': 0.30000000000000004, 'mu': 2, 'iter': 16}
{'baseline-error': 0.1125, 'self-trained-error': 0.112, 'p': 0.30000000000000004, 'mu': 2, 'iter': 17}
{'baseline-error': 0.095, 'self-trained-error': 0.0945, 'p': 0.30000000000000004, 'mu': 2, 'iter': 18}
{'baseline-error': 0.1025, 'self-trained-error': 0.094, 'p': 0.30000000000000004, 'mu': 2, 'iter': 19}
{'baseline-error': 0.084, 'self-trained-error': 0.0845, 'p': 0.30000000000000004, 'mu': 2, 'iter': 20}
{'baseline-error': 0.087, 'self-trained-error': 0.08, 'p': 0.30000000000000004, 'mu': 2, 'iter': 21}
{'baseline-error': 0.0845, 'self-trained-error': 0.0875, 'p': 0.30000000000000004, 'mu': 2, 'iter': 22}
{'baseline-error': 0.0915, 'self-trained-error': 0.0925, 'p': 0.30000000000000004, 'mu': 2, 'iter': 23}
{'baseline-error': 0.087, 'self-trained-error': 0.086, 'p': 0.30000000000000004, 'mu': 2, 'iter': 24}
{'baseline-error': 0.1095, 'self-trained-error': 0.1025, 'p': 0.30000000000000004, 'mu': 2, 'iter': 25}
{'baseline-error': 0.0795, 'self-trained-error': 0.0695, 'p': 0.30000000000000004, 'mu': 2, 'iter': 26}
{'baseline-error': 0.1035, 'self-trained-error': 0.104, 'p': 0.30000000000000004, 'mu': 2, 'iter': 27}
{'baseline-error': 0.1085, 'self-trained-error': 0.1005, 'p': 0.30000000000000004, 'mu': 2, 'iter': 28}
{'baseline-error': 0.0925, 'self-trained-error': 0.096, 'p': 0.30000000000000004, 'mu': 2, 'iter': 29}
{'baseline-error': 0.109, 'self-trained-error': 0.098, 'p': 0.30000000000000004, 'mu': 2, 'iter': 30}
{'baseline-error': 0.0875, 'self-trained-error': 0.0895, 'p': 0.30000000000000004, 'mu': 2, 'iter': 31}
{'baseline-error': 0.105, 'self-trained-error': 0.091, 'p': 0.30000000000000004, 'mu': 2, 'iter': 32}
{'baseline-error': 0.0785, 'self-trained-error': 0.074, 'p': 0.30000000000000004, 'mu': 2, 'iter': 33}
