{'baseline-error': 0.1475, 'self-trained-error': 0.116, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 100}
{'baseline-error': 0.0645, 'self-trained-error': 0.042, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 101}
{'baseline-error': 0.078, 'self-trained-error': 0.062, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 102}
{'baseline-error': 0.064, 'self-trained-error': 0.0675, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 103}
{'baseline-error': 0.044, 'self-trained-error': 0.035, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 104}
{'baseline-error': 0.0525, 'self-trained-error': 0.0395, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 105}
{'baseline-error': 0.0445, 'self-trained-error': 0.047, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 106}
{'baseline-error': 0.086, 'self-trained-error': 0.0835, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 107}
{'baseline-error': 0.041, 'self-trained-error': 0.0375, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 108}
{'baseline-error': 0.0905, 'self-trained-error': 0.066, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 109}
{'baseline-error': 0.072, 'self-trained-error': 0.069, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 110}
{'baseline-error': 0.0695, 'self-trained-error': 0.0475, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 111}
{'baseline-error': 0.1205, 'self-trained-error': 0.0945, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 112}
{'baseline-error': 0.059, 'self-trained-error': 0.0435, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 113}
{'baseline-error': 0.0675, 'self-trained-error': 0.0555, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 114}
{'baseline-error': 0.0805, 'self-trained-error': 0.075, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 115}
