{'baseline-error': 0.1485, 'self-trained-error': 0.1225, 'p': 0.1, 'mu': 2, 'iter': 200}
{'baseline-error': 0.1995, 'self-trained-error': 0.199, 'p': 0.1, 'mu': 2, 'iter': 201}
{'baseline-error': 0.129, 'self-trained-error': 0.107, 'p': 0.1, 'mu': 2, 'iter': 202}
{'baseline-error': 0.248, 'self-trained-error': 0.1995, 'p': 0.1, 'mu': 2, 'iter': 203}
{'baseline-error': 0.16, 'self-trained-error': 0.1465, 'p': 0.1, 'mu': 2, 'iter': 204}
{'baseline-error': 0.241, 'self-trained-error': 0.238, 'p': 0.1, 'mu': 2, 'iter': 205}
{'baseline-error': 0.1205, 'self-trained-error': 0.1005, 'p': 0.1, 'mu': 2, 'iter': 206}
{'baseline-error': 0.1375, 'self-trained-error': 0.155, 'p': 0.1, 'mu': 2, 'iter': 207}
{'baseline-error': 0.192, 'self-trained-error': 0.1915, 'p': 0.1, 'mu': 2, 'iter': 208}
{'baseline-error': 0.2175, 'self-trained-error': 0.2185, 'p': 0.1, 'mu': 2, 'iter': 209}
{'baseline-error': 0.276, 'self-trained-error': 0.2805, 'p': 0.1, 'mu': 2, 'iter': 210}
{'baseline-error': 0.168, 'self-trained-error': 0.1395, 'p': 0.1, 'mu': 2, 'iter': 211}
{'baseline-error': 0.169, 'self-trained-error': 0.169, 'p': 0.1, 'mu': 2, 'iter': 212}
{'baseline-error': 0.205, 'self-trained-error': 0.205, 'p': 0.1, 'mu': 2, 'iter': 213}
{'baseline-error': 0.1925, 'self-trained-error': 0.152, 'p': 0.1, 'mu': 2, 'iter': 214}
{'baseline-error': 0.1255, 'self-trained-error': 0.104, 'p': 0.1, 'mu': 2, 'iter': 215}
{'baseline-error': 0.1335, 'self-trained-error': 0.1115, 'p': 0.1, 'mu': 2, 'iter': 216}
{'baseline-error': 0.1695, 'self-trained-error': 0.157, 'p': 0.1, 'mu': 2, 'iter': 217}
{'baseline-error': 0.1725, 'self-trained-error': 0.1765, 'p': 0.1, 'mu': 2, 'iter': 218}
{'baseline-error': 0.201, 'self-trained-error': 0.1835, 'p': 0.1, 'mu': 2, 'iter': 219}
{'baseline-error': 0.153, 'self-trained-error': 0.148, 'p': 0.1, 'mu': 2, 'iter': 220}
{'baseline-error': 0.1605, 'self-trained-error': 0.122, 'p': 0.1, 'mu': 2, 'iter': 221}
{'baseline-error': 0.1675, 'self-trained-error': 0.153, 'p': 0.1, 'mu': 2, 'iter': 222}
{'baseline-error': 0.1945, 'self-trained-error': 0.181, 'p': 0.1, 'mu': 2, 'iter': 223}
{'baseline-error': 0.217, 'self-trained-error': 0.2365, 'p': 0.1, 'mu': 2, 'iter': 224}
{'baseline-error': 0.128, 'self-trained-error': 0.118, 'p': 0.1, 'mu': 2, 'iter': 225}
{'baseline-error': 0.1855, 'self-trained-error': 0.129, 'p': 0.1, 'mu': 2, 'iter': 226}
{'baseline-error': 0.1275, 'self-trained-error': 0.119, 'p': 0.1, 'mu': 2, 'iter': 227}
{'baseline-error': 0.1255, 'self-trained-error': 0.1115, 'p': 0.1, 'mu': 2, 'iter': 228}
{'baseline-error': 0.208, 'self-trained-error': 0.202, 'p': 0.1, 'mu': 2, 'iter': 229}
{'baseline-error': 0.157, 'self-trained-error': 0.144, 'p': 0.1, 'mu': 2, 'iter': 230}
{'baseline-error': 0.202, 'self-trained-error': 0.1695, 'p': 0.1, 'mu': 2, 'iter': 231}
{'baseline-error': 0.136, 'self-trained-error': 0.137, 'p': 0.1, 'mu': 2, 'iter': 232}
{'baseline-error': 0.1205, 'self-trained-error': 0.113, 'p': 0.1, 'mu': 2, 'iter': 233}
{'baseline-error': 0.253, 'self-trained-error': 0.2525, 'p': 0.1, 'mu': 2, 'iter': 234}
{'baseline-error': 0.139, 'self-trained-error': 0.1225, 'p': 0.1, 'mu': 2, 'iter': 235}
{'baseline-error': 0.2215, 'self-trained-error': 0.2065, 'p': 0.1, 'mu': 2, 'iter': 236}
{'baseline-error': 0.1565, 'self-trained-error': 0.1185, 'p': 0.1, 'mu': 2, 'iter': 237}
{'baseline-error': 0.2235, 'self-trained-error': 0.218, 'p': 0.1, 'mu': 2, 'iter': 238}
{'baseline-error': 0.137, 'self-trained-error': 0.1055, 'p': 0.1, 'mu': 2, 'iter': 239}
{'baseline-error': 0.1845, 'self-trained-error': 0.177, 'p': 0.1, 'mu': 2, 'iter': 240}
{'baseline-error': 0.239, 'self-trained-error': 0.197, 'p': 0.1, 'mu': 2, 'iter': 241}
{'baseline-error': 0.1375, 'self-trained-error': 0.1055, 'p': 0.1, 'mu': 2, 'iter': 242}
{'baseline-error': 0.161, 'self-trained-error': 0.1515, 'p': 0.1, 'mu': 2, 'iter': 243}
{'baseline-error': 0.1365, 'self-trained-error': 0.0975, 'p': 0.1, 'mu': 2, 'iter': 244}
{'baseline-error': 0.208, 'self-trained-error': 0.1695, 'p': 0.1, 'mu': 2, 'iter': 245}
{'baseline-error': 0.1565, 'self-trained-error': 0.142, 'p': 0.1, 'mu': 2, 'iter': 246}
{'baseline-error': 0.1665, 'self-trained-error': 0.157, 'p': 0.1, 'mu': 2, 'iter': 247}
{'baseline-error': 0.158, 'self-trained-error': 0.1205, 'p': 0.1, 'mu': 2, 'iter': 248}
{'baseline-error': 0.146, 'self-trained-error': 0.131, 'p': 0.1, 'mu': 2, 'iter': 249}
