{'baseline-error': 0.033, 'self-trained-error': 0.01, 'p': 0.1, 'mu': 3.5, 'iter': 400}
{'baseline-error': 0.0105, 'self-trained-error': 0.006, 'p': 0.1, 'mu': 3.5, 'iter': 401}
{'baseline-error': 0.0525, 'self-trained-error': 0.0055, 'p': 0.1, 'mu': 3.5, 'iter': 402}
{'baseline-error': 0.012, 'self-trained-error': 0.008, 'p': 0.1, 'mu': 3.5, 'iter': 403}
{'baseline-error': 0.022, 'self-trained-error': 0.008, 'p': 0.1, 'mu': 3.5, 'iter': 404}
{'baseline-error': 0.045, 'self-trained-error': 0.009, 'p': 0.1, 'mu': 3.5, 'iter': 405}
{'baseline-error': 0.025, 'self-trained-error': 0.004, 'p': 0.1, 'mu': 3.5, 'iter': 406}
{'baseline-error': 0.0415, 'self-trained-error': 0.0075, 'p': 0.1, 'mu': 3.5, 'iter': 407}
{'baseline-error': 0.0265, 'self-trained-error': 0.0155, 'p': 0.1, 'mu': 3.5, 'iter': 408}
{'baseline-error': 0.036, 'self-trained-error': 0.009, 'p': 0.1, 'mu': 3.5, 'iter': 409}
{'baseline-error': 0.036, 'self-trained-error': 0.005, 'p': 0.1, 'mu': 3.5, 'iter': 410}
{'baseline-error': 0.0135, 'self-trained-error': 0.006, 'p': 0.1, 'mu': 3.5, 'iter': 411}
{'baseline-error': 0.014, 'self-trained-error': 0.0085, 'p': 0.1, 'mu': 3.5, 'iter': 412}
{'baseline-error': 0.0295, 'self-trained-error': 0.013, 'p': 0.1, 'mu': 3.5, 'iter': 413}
{'baseline-error': 0.02, 'self-trained-error': 0.0065, 'p': 0.1, 'mu': 3.5, 'iter': 414}
{'baseline-error': 0.0235, 'self-trained-error': 0.0095, 'p': 0.1, 'mu': 3.5, 'iter': 415}
{'baseline-error': 0.0245, 'self-trained-error': 0.0075, 'p': 0.1, 'mu': 3.5, 'iter': 416}
{'baseline-error': 0.019, 'self-trained-error': 0.014, 'p': 0.1, 'mu': 3.5, 'iter': 417}
{'baseline-error': 0.015, 'self-trained-error': 0.006, 'p': 0.1, 'mu': 3.5, 'iter': 418}
{'baseline-error': 0.023, 'self-trained-error': 0.011, 'p': 0.1, 'mu': 3.5, 'iter': 419}
{'baseline-error': 0.0655, 'self-trained-error': 0.0195, 'p': 0.1, 'mu': 3.5, 'iter': 420}
{'baseline-error': 0.0485, 'self-trained-error': 0.0085, 'p': 0.1, 'mu': 3.5, 'iter': 421}
{'baseline-error': 0.021, 'self-trained-error': 0.01, 'p': 0.1, 'mu': 3.5, 'iter': 422}
{'baseline-error': 0.0395, 'self-trained-error': 0.007, 'p': 0.1, 'mu': 3.5, 'iter': 423}
{'baseline-error': 0.0305, 'self-trained-error': 0.01, 'p': 0.1, 'mu': 3.5, 'iter': 424}
{'baseline-error': 0.0125, 'self-trained-error': 0.008, 'p': 0.1, 'mu': 3.5, 'iter': 425}
{'baseline-error': 0.0185, 'self-trained-error': 0.008, 'p': 0.1, 'mu': 3.5, 'iter': 426}
{'baseline-error': 0.0155, 'self-trained-error': 0.0105, 'p': 0.1, 'mu': 3.5, 'iter': 427}
{'baseline-error': 0.021, 'self-trained-error': 0.007, 'p': 0.1, 'mu': 3.5, 'iter': 428}
{'baseline-error': 0.019, 'self-trained-error': 0.0085, 'p': 0.1, 'mu': 3.5, 'iter': 429}
{'baseline-error': 0.0865, 'self-trained-error': 0.0535, 'p': 0.1, 'mu': 3.5, 'iter': 430}
{'baseline-error': 0.0045, 'self-trained-error': 0.002, 'p': 0.1, 'mu': 3.5, 'iter': 431}
{'baseline-error': 0.027, 'self-trained-error': 0.0095, 'p': 0.1, 'mu': 3.5, 'iter': 432}
{'baseline-error': 0.01, 'self-trained-error': 0.007, 'p': 0.1, 'mu': 3.5, 'iter': 433}
{'baseline-error': 0.0355, 'self-trained-error': 0.0225, 'p': 0.1, 'mu': 3.5, 'iter': 434}
{'baseline-error': 0.013, 'self-trained-error': 0.005, 'p': 0.1, 'mu': 3.5, 'iter': 435}
{'baseline-error': 0.02, 'self-trained-error': 0.0065, 'p': 0.1, 'mu': 3.5, 'iter': 436}
{'baseline-error': 0.0335, 'self-trained-error': 0.012, 'p': 0.1, 'mu': 3.5, 'iter': 437}
{'baseline-error': 0.0175, 'self-trained-error': 0.0045, 'p': 0.1, 'mu': 3.5, 'iter': 438}
{'baseline-error': 0.0135, 'self-trained-error': 0.0075, 'p': 0.1, 'mu': 3.5, 'iter': 439}
{'baseline-error': 0.01, 'self-trained-error': 0.0095, 'p': 0.1, 'mu': 3.5, 'iter': 440}
{'baseline-error': 0.0245, 'self-trained-error': 0.005, 'p': 0.1, 'mu': 3.5, 'iter': 441}
{'baseline-error': 0.043, 'self-trained-error': 0.0185, 'p': 0.1, 'mu': 3.5, 'iter': 442}
{'baseline-error': 0.02, 'self-trained-error': 0.0055, 'p': 0.1, 'mu': 3.5, 'iter': 443}
{'baseline-error': 0.019, 'self-trained-error': 0.0095, 'p': 0.1, 'mu': 3.5, 'iter': 444}
{'baseline-error': 0.018, 'self-trained-error': 0.005, 'p': 0.1, 'mu': 3.5, 'iter': 445}
{'baseline-error': 0.024, 'self-trained-error': 0.007, 'p': 0.1, 'mu': 3.5, 'iter': 446}
{'baseline-error': 0.0165, 'self-trained-error': 0.0115, 'p': 0.1, 'mu': 3.5, 'iter': 447}
{'baseline-error': 0.0535, 'self-trained-error': 0.04, 'p': 0.1, 'mu': 3.5, 'iter': 448}
{'baseline-error': 0.0235, 'self-trained-error': 0.0095, 'p': 0.1, 'mu': 3.5, 'iter': 449}
