{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.40000000000000013, 'mu': 5, 'iter': 400}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.40000000000000013, 'mu': 5, 'iter': 401}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.40000000000000013, 'mu': 5, 'iter': 402}
{'baseline-error': 0.001, 'self-trained-error': 0.0005, 'p': 0.40000000000000013, 'mu': 5, 'iter': 403}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.40000000000000013, 'mu': 5, 'iter': 404}
{'baseline-error': 0.0005, 'self-trained-error': 0.001, 'p': 0.40000000000000013, 'mu': 5, 'iter': 405}
{'baseline-error': 0.0005, 'self-trained-error': 0.0, 'p': 0.40000000000000013, 'mu': 5, 'iter': 406}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.40000000000000013, 'mu': 5, 'iter': 407}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.40000000000000013, 'mu': 5, 'iter': 408}
{'baseline-error': 0.001, 'self-trained-error': 0.001, 'p': 0.40000000000000013, 'mu': 5, 'iter': 409}
{'baseline-error': 0.0005, 'self-trained-error': 0.0005, 'p': 0.40000000000000013, 'mu': 5, 'iter': 410}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.40000000000000013, 'mu': 5, 'iter': 411}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.40000000000000013, 'mu': 5, 'iter': 412}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.40000000000000013, 'mu': 5, 'iter': 413}
{'baseline-error': 0.0015, 'self-trained-error': 0.0015, 'p': 0.40000000000000013, 'mu': 5, 'iter': 414}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.40000000000000013, 'mu': 5, 'iter': 415}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.40000000000000013, 'mu': 5, 'iter': 416}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.40000000000000013, 'mu': 5, 'iter': 417}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.40000000000000013, 'mu': 5, 'iter': 418}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.40000000000000013, 'mu': 5, 'iter': 419}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.40000000000000013, 'mu': 5, 'iter': 420}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.40000000000000013, 'mu': 5, 'iter': 421}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.40000000000000013, 'mu': 5, 'iter': 422}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.40000000000000013, 'mu': 5, 'iter': 423}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.40000000000000013, 'mu': 5, 'iter': 424}
{'baseline-error': 0.0005, 'self-trained-error': 0.0005, 'p': 0.40000000000000013, 'mu': 5, 'iter': 425}
{'baseline-error': 0.0005, 'self-trained-error': 0.0, 'p': 0.40000000000000013, 'mu': 5, 'iter': 426}
{'baseline-error': 0.0005, 'self-trained-error': 0.0005, 'p': 0.40000000000000013, 'mu': 5, 'iter': 427}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.40000000000000013, 'mu': 5, 'iter': 428}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.40000000000000013, 'mu': 5, 'iter': 429}
{'baseline-error': 0.0005, 'self-trained-error': 0.0005, 'p': 0.40000000000000013, 'mu': 5, 'iter': 430}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.40000000000000013, 'mu': 5, 'iter': 431}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.40000000000000013, 'mu': 5, 'iter': 432}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.40000000000000013, 'mu': 5, 'iter': 433}
{'baseline-error': 0.0005, 'self-trained-error': 0.0005, 'p': 0.40000000000000013, 'mu': 5, 'iter': 434}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.40000000000000013, 'mu': 5, 'iter': 435}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.40000000000000013, 'mu': 5, 'iter': 436}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.40000000000000013, 'mu': 5, 'iter': 437}
