{'baseline-error': 0.1205, 'self-trained-error': 0.111, 'p': 0.20000000000000004, 'mu': 2, 'iter': 450}
{'baseline-error': 0.1055, 'self-trained-error': 0.0945, 'p': 0.20000000000000004, 'mu': 2, 'iter': 451}
{'baseline-error': 0.129, 'self-trained-error': 0.133, 'p': 0.20000000000000004, 'mu': 2, 'iter': 452}
{'baseline-error': 0.097, 'self-trained-error': 0.0965, 'p': 0.20000000000000004, 'mu': 2, 'iter': 453}
{'baseline-error': 0.1285, 'self-trained-error': 0.1245, 'p': 0.20000000000000004, 'mu': 2, 'iter': 454}
{'baseline-error': 0.139, 'self-trained-error': 0.1145, 'p': 0.20000000000000004, 'mu': 2, 'iter': 455}
{'baseline-error': 0.098, 'self-trained-error': 0.083, 'p': 0.20000000000000004, 'mu': 2, 'iter': 456}
{'baseline-error': 0.135, 'self-trained-error': 0.13, 'p': 0.20000000000000004, 'mu': 2, 'iter': 457}
{'baseline-error': 0.146, 'self-trained-error': 0.1335, 'p': 0.20000000000000004, 'mu': 2, 'iter': 458}
{'baseline-error': 0.138, 'self-trained-error': 0.095, 'p': 0.20000000000000004, 'mu': 2, 'iter': 459}
{'baseline-error': 0.095, 'self-trained-error': 0.094, 'p': 0.20000000000000004, 'mu': 2, 'iter': 460}
{'baseline-error': 0.097, 'self-trained-error': 0.088, 'p': 0.20000000000000004, 'mu': 2, 'iter': 461}
{'baseline-error': 0.12, 'self-trained-error': 0.1145, 'p': 0.20000000000000004, 'mu': 2, 'iter': 462}
{'baseline-error': 0.0965, 'self-trained-error': 0.0785, 'p': 0.20000000000000004, 'mu': 2, 'iter': 463}
{'baseline-error': 0.098, 'self-trained-error': 0.0745, 'p': 0.20000000000000004, 'mu': 2, 'iter': 464}
{'baseline-error': 0.112, 'self-trained-error': 0.101, 'p': 0.20000000000000004, 'mu': 2, 'iter': 465}
{'baseline-error': 0.1105, 'self-trained-error': 0.106, 'p': 0.20000000000000004, 'mu': 2, 'iter': 466}
{'baseline-error': 0.122, 'self-trained-error': 0.098, 'p': 0.20000000000000004, 'mu': 2, 'iter': 467}
{'baseline-error': 0.0885, 'self-trained-error': 0.0735, 'p': 0.20000000000000004, 'mu': 2, 'iter': 468}
{'baseline-error': 0.1315, 'self-trained-error': 0.1205, 'p': 0.20000000000000004, 'mu': 2, 'iter': 469}
{'baseline-error': 0.11, 'self-trained-error': 0.0955, 'p': 0.20000000000000004, 'mu': 2, 'iter': 470}
{'baseline-error': 0.082, 'self-trained-error': 0.082, 'p': 0.20000000000000004, 'mu': 2, 'iter': 471}
{'baseline-error': 0.1015, 'self-trained-error': 0.093, 'p': 0.20000000000000004, 'mu': 2, 'iter': 472}
{'baseline-error': 0.1025, 'self-trained-error': 0.101, 'p': 0.20000000000000004, 'mu': 2, 'iter': 473}
{'baseline-error': 0.1205, 'self-trained-error': 0.118, 'p': 0.20000000000000004, 'mu': 2, 'iter': 474}
{'baseline-error': 0.114, 'self-trained-error': 0.111, 'p': 0.20000000000000004, 'mu': 2, 'iter': 475}
{'baseline-error': 0.11, 'self-trained-error': 0.1035, 'p': 0.20000000000000004, 'mu': 2, 'iter': 476}
{'baseline-error': 0.13, 'self-trained-error': 0.1085, 'p': 0.20000000000000004, 'mu': 2, 'iter': 477}
{'baseline-error': 0.1325, 'self-trained-error': 0.112, 'p': 0.20000000000000004, 'mu': 2, 'iter': 478}
{'baseline-error': 0.14, 'self-trained-error': 0.1235, 'p': 0.20000000000000004, 'mu': 2, 'iter': 479}
{'baseline-error': 0.1035, 'self-trained-error': 0.1035, 'p': 0.20000000000000004, 'mu': 2, 'iter': 480}
{'baseline-error': 0.1035, 'self-trained-error': 0.089, 'p': 0.20000000000000004, 'mu': 2, 'iter': 481}
{'baseline-error': 0.1355, 'self-trained-error': 0.1335, 'p': 0.20000000000000004, 'mu': 2, 'iter': 482}
{'baseline-error': 0.1165, 'self-trained-error': 0.1015, 'p': 0.20000000000000004, 'mu': 2, 'iter': 483}
{'baseline-error': 0.122, 'self-trained-error': 0.1185, 'p': 0.20000000000000004, 'mu': 2, 'iter': 484}
{'baseline-error': 0.128, 'self-trained-error': 0.112, 'p': 0.20000000000000004, 'mu': 2, 'iter': 485}
{'baseline-error': 0.1055, 'self-trained-error': 0.1065, 'p': 0.20000000000000004, 'mu': 2, 'iter': 486}
{'baseline-error': 0.108, 'self-trained-error': 0.116, 'p': 0.20000000000000004, 'mu': 2, 'iter': 487}
{'baseline-error': 0.12, 'self-trained-error': 0.0985, 'p': 0.20000000000000004, 'mu': 2, 'iter': 488}
{'baseline-error': 0.1155, 'self-trained-error': 0.1005, 'p': 0.20000000000000004, 'mu': 2, 'iter': 489}
{'baseline-error': 0.125, 'self-trained-error': 0.115, 'p': 0.20000000000000004, 'mu': 2, 'iter': 490}
{'baseline-error': 0.12, 'self-trained-error': 0.1105, 'p': 0.20000000000000004, 'mu': 2, 'iter': 491}
{'baseline-error': 0.11, 'self-trained-error': 0.0905, 'p': 0.20000000000000004, 'mu': 2, 'iter': 492}
{'baseline-error': 0.0945, 'self-trained-error': 0.091, 'p': 0.20000000000000004, 'mu': 2, 'iter': 493}
{'baseline-error': 0.1185, 'self-trained-error': 0.1105, 'p': 0.20000000000000004, 'mu': 2, 'iter': 494}
{'baseline-error': 0.1305, 'self-trained-error': 0.1075, 'p': 0.20000000000000004, 'mu': 2, 'iter': 495}
{'baseline-error': 0.1165, 'self-trained-error': 0.113, 'p': 0.20000000000000004, 'mu': 2, 'iter': 496}
{'baseline-error': 0.105, 'self-trained-error': 0.103, 'p': 0.20000000000000004, 'mu': 2, 'iter': 497}
{'baseline-error': 0.112, 'self-trained-error': 0.111, 'p': 0.20000000000000004, 'mu': 2, 'iter': 498}
{'baseline-error': 0.0895, 'self-trained-error': 0.078, 'p': 0.20000000000000004, 'mu': 2, 'iter': 499}
