{'baseline-error': 0.046, 'self-trained-error': 0.0435, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 250}
{'baseline-error': 0.068, 'self-trained-error': 0.0575, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 251}
{'baseline-error': 0.0755, 'self-trained-error': 0.053, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 252}
{'baseline-error': 0.061, 'self-trained-error': 0.0535, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 253}
{'baseline-error': 0.0395, 'self-trained-error': 0.039, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 254}
{'baseline-error': 0.0435, 'self-trained-error': 0.044, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 255}
{'baseline-error': 0.0675, 'self-trained-error': 0.0655, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 256}
{'baseline-error': 0.0585, 'self-trained-error': 0.052, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 257}
{'baseline-error': 0.0615, 'self-trained-error': 0.0595, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 258}
{'baseline-error': 0.0635, 'self-trained-error': 0.0515, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 259}
{'baseline-error': 0.036, 'self-trained-error': 0.0365, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 260}
{'baseline-error': 0.0465, 'self-trained-error': 0.043, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 261}
{'baseline-error': 0.0505, 'self-trained-error': 0.041, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 262}
{'baseline-error': 0.0485, 'self-trained-error': 0.047, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 263}
{'baseline-error': 0.041, 'self-trained-error': 0.039, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 264}
{'baseline-error': 0.0465, 'self-trained-error': 0.0495, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 265}
{'baseline-error': 0.061, 'self-trained-error': 0.05, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 266}
{'baseline-error': 0.044, 'self-trained-error': 0.044, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 267}
{'baseline-error': 0.044, 'self-trained-error': 0.039, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 268}
{'baseline-error': 0.0525, 'self-trained-error': 0.0525, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 269}
{'baseline-error': 0.0505, 'self-trained-error': 0.0525, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 270}
{'baseline-error': 0.0445, 'self-trained-error': 0.041, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 271}
{'baseline-error': 0.052, 'self-trained-error': 0.044, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 272}
{'baseline-error': 0.0495, 'self-trained-error': 0.045, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 273}
{'baseline-error': 0.061, 'self-trained-error': 0.057, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 274}
{'baseline-error': 0.0415, 'self-trained-error': 0.0375, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 275}
{'baseline-error': 0.057, 'self-trained-error': 0.051, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 276}
{'baseline-error': 0.047, 'self-trained-error': 0.0485, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 277}
{'baseline-error': 0.0495, 'self-trained-error': 0.039, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 278}
{'baseline-error': 0.0575, 'self-trained-error': 0.0475, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 279}
