{'baseline-error': 0.0575, 'self-trained-error': 0.0425, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 450}
{'baseline-error': 0.0625, 'self-trained-error': 0.048, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 451}
{'baseline-error': 0.037, 'self-trained-error': 0.036, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 452}
{'baseline-error': 0.062, 'self-trained-error': 0.0485, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 453}
{'baseline-error': 0.0395, 'self-trained-error': 0.04, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 454}
{'baseline-error': 0.0485, 'self-trained-error': 0.043, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 455}
{'baseline-error': 0.0375, 'self-trained-error': 0.0355, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 456}
{'baseline-error': 0.044, 'self-trained-error': 0.035, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 457}
{'baseline-error': 0.085, 'self-trained-error': 0.0835, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 458}
{'baseline-error': 0.063, 'self-trained-error': 0.0385, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 459}
{'baseline-error': 0.0535, 'self-trained-error': 0.0535, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 460}
{'baseline-error': 0.077, 'self-trained-error': 0.069, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 461}
{'baseline-error': 0.054, 'self-trained-error': 0.0395, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 462}
{'baseline-error': 0.094, 'self-trained-error': 0.0925, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 463}
{'baseline-error': 0.066, 'self-trained-error': 0.0435, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 464}
{'baseline-error': 0.075, 'self-trained-error': 0.0525, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 465}
{'baseline-error': 0.057, 'self-trained-error': 0.041, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 466}
{'baseline-error': 0.06, 'self-trained-error': 0.051, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 467}
{'baseline-error': 0.045, 'self-trained-error': 0.0355, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 468}
{'baseline-error': 0.0525, 'self-trained-error': 0.042, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 469}
{'baseline-error': 0.0705, 'self-trained-error': 0.0525, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 470}
