{'baseline-error': 0.2135, 'self-trained-error': 0.183, 'p': 0.1, 'mu': 2, 'iter': 350}
{'baseline-error': 0.154, 'self-trained-error': 0.1535, 'p': 0.1, 'mu': 2, 'iter': 351}
{'baseline-error': 0.132, 'self-trained-error': 0.1285, 'p': 0.1, 'mu': 2, 'iter': 352}
{'baseline-error': 0.1695, 'self-trained-error': 0.161, 'p': 0.1, 'mu': 2, 'iter': 353}
{'baseline-error': 0.192, 'self-trained-error': 0.184, 'p': 0.1, 'mu': 2, 'iter': 354}
{'baseline-error': 0.262, 'self-trained-error': 0.227, 'p': 0.1, 'mu': 2, 'iter': 355}
{'baseline-error': 0.1955, 'self-trained-error': 0.186, 'p': 0.1, 'mu': 2, 'iter': 356}
{'baseline-error': 0.1675, 'self-trained-error': 0.1615, 'p': 0.1, 'mu': 2, 'iter': 357}
{'baseline-error': 0.159, 'self-trained-error': 0.1585, 'p': 0.1, 'mu': 2, 'iter': 358}
{'baseline-error': 0.151, 'self-trained-error': 0.151, 'p': 0.1, 'mu': 2, 'iter': 359}
{'baseline-error': 0.1235, 'self-trained-error': 0.1255, 'p': 0.1, 'mu': 2, 'iter': 360}
{'baseline-error': 0.156, 'self-trained-error': 0.138, 'p': 0.1, 'mu': 2, 'iter': 361}
{'baseline-error': 0.156, 'self-trained-error': 0.1635, 'p': 0.1, 'mu': 2, 'iter': 362}
{'baseline-error': 0.1005, 'self-trained-error': 0.0825, 'p': 0.1, 'mu': 2, 'iter': 363}
{'baseline-error': 0.218, 'self-trained-error': 0.195, 'p': 0.1, 'mu': 2, 'iter': 364}
{'baseline-error': 0.2065, 'self-trained-error': 0.188, 'p': 0.1, 'mu': 2, 'iter': 365}
{'baseline-error': 0.143, 'self-trained-error': 0.121, 'p': 0.1, 'mu': 2, 'iter': 366}
{'baseline-error': 0.158, 'self-trained-error': 0.09, 'p': 0.1, 'mu': 2, 'iter': 367}
{'baseline-error': 0.213, 'self-trained-error': 0.209, 'p': 0.1, 'mu': 2, 'iter': 368}
{'baseline-error': 0.1855, 'self-trained-error': 0.1425, 'p': 0.1, 'mu': 2, 'iter': 369}
{'baseline-error': 0.095, 'self-trained-error': 0.078, 'p': 0.1, 'mu': 2, 'iter': 370}
{'baseline-error': 0.152, 'self-trained-error': 0.1415, 'p': 0.1, 'mu': 2, 'iter': 371}
{'baseline-error': 0.1325, 'self-trained-error': 0.118, 'p': 0.1, 'mu': 2, 'iter': 372}
{'baseline-error': 0.2125, 'self-trained-error': 0.1925, 'p': 0.1, 'mu': 2, 'iter': 373}
{'baseline-error': 0.135, 'self-trained-error': 0.1065, 'p': 0.1, 'mu': 2, 'iter': 374}
{'baseline-error': 0.201, 'self-trained-error': 0.178, 'p': 0.1, 'mu': 2, 'iter': 375}
{'baseline-error': 0.188, 'self-trained-error': 0.1835, 'p': 0.1, 'mu': 2, 'iter': 376}
{'baseline-error': 0.1435, 'self-trained-error': 0.142, 'p': 0.1, 'mu': 2, 'iter': 377}
{'baseline-error': 0.1795, 'self-trained-error': 0.165, 'p': 0.1, 'mu': 2, 'iter': 378}
{'baseline-error': 0.1715, 'self-trained-error': 0.168, 'p': 0.1, 'mu': 2, 'iter': 379}
{'baseline-error': 0.2095, 'self-trained-error': 0.2175, 'p': 0.1, 'mu': 2, 'iter': 380}
{'baseline-error': 0.1545, 'self-trained-error': 0.121, 'p': 0.1, 'mu': 2, 'iter': 381}
{'baseline-error': 0.142, 'self-trained-error': 0.129, 'p': 0.1, 'mu': 2, 'iter': 382}
{'baseline-error': 0.224, 'self-trained-error': 0.19, 'p': 0.1, 'mu': 2, 'iter': 383}
{'baseline-error': 0.1535, 'self-trained-error': 0.144, 'p': 0.1, 'mu': 2, 'iter': 384}
{'baseline-error': 0.16, 'self-trained-error': 0.1435, 'p': 0.1, 'mu': 2, 'iter': 385}
{'baseline-error': 0.14, 'self-trained-error': 0.1325, 'p': 0.1, 'mu': 2, 'iter': 386}
{'baseline-error': 0.2685, 'self-trained-error': 0.2855, 'p': 0.1, 'mu': 2, 'iter': 387}
{'baseline-error': 0.1785, 'self-trained-error': 0.1435, 'p': 0.1, 'mu': 2, 'iter': 388}
{'baseline-error': 0.1005, 'self-trained-error': 0.1005, 'p': 0.1, 'mu': 2, 'iter': 389}
{'baseline-error': 0.181, 'self-trained-error': 0.1695, 'p': 0.1, 'mu': 2, 'iter': 390}
{'baseline-error': 0.1495, 'self-trained-error': 0.122, 'p': 0.1, 'mu': 2, 'iter': 391}
{'baseline-error': 0.166, 'self-trained-error': 0.166, 'p': 0.1, 'mu': 2, 'iter': 392}
{'baseline-error': 0.1895, 'self-trained-error': 0.1935, 'p': 0.1, 'mu': 2, 'iter': 393}
{'baseline-error': 0.2725, 'self-trained-error': 0.2525, 'p': 0.1, 'mu': 2, 'iter': 394}
{'baseline-error': 0.1535, 'self-trained-error': 0.126, 'p': 0.1, 'mu': 2, 'iter': 395}
{'baseline-error': 0.1125, 'self-trained-error': 0.093, 'p': 0.1, 'mu': 2, 'iter': 396}
{'baseline-error': 0.157, 'self-trained-error': 0.1275, 'p': 0.1, 'mu': 2, 'iter': 397}
{'baseline-error': 0.2055, 'self-trained-error': 0.1965, 'p': 0.1, 'mu': 2, 'iter': 398}
{'baseline-error': 0.2035, 'self-trained-error': 0.161, 'p': 0.1, 'mu': 2, 'iter': 399}
