{'baseline-error': 0.055, 'self-trained-error': 0.0485, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 300}
{'baseline-error': 0.056, 'self-trained-error': 0.043, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 301}
{'baseline-error': 0.0445, 'self-trained-error': 0.0405, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 302}
{'baseline-error': 0.0595, 'self-trained-error': 0.0485, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 303}
{'baseline-error': 0.0755, 'self-trained-error': 0.0625, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 304}
{'baseline-error': 0.045, 'self-trained-error': 0.04, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 305}
{'baseline-error': 0.0425, 'self-trained-error': 0.034, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 306}
{'baseline-error': 0.075, 'self-trained-error': 0.0555, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 307}
{'baseline-error': 0.068, 'self-trained-error': 0.0445, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 308}
{'baseline-error': 0.05, 'self-trained-error': 0.0345, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 309}
{'baseline-error': 0.062, 'self-trained-error': 0.0485, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 310}
{'baseline-error': 0.066, 'self-trained-error': 0.0605, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 311}
{'baseline-error': 0.046, 'self-trained-error': 0.05, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 312}
{'baseline-error': 0.051, 'self-trained-error': 0.0505, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 313}
{'baseline-error': 0.0575, 'self-trained-error': 0.0525, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 314}
{'baseline-error': 0.055, 'self-trained-error': 0.0525, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 315}
{'baseline-error': 0.0765, 'self-trained-error': 0.068, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 316}
{'baseline-error': 0.0705, 'self-trained-error': 0.0465, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 317}
{'baseline-error': 0.0585, 'self-trained-error': 0.0575, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 318}
{'baseline-error': 0.039, 'self-trained-error': 0.039, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 319}
{'baseline-error': 0.0535, 'self-trained-error': 0.045, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 320}
{'baseline-error': 0.0425, 'self-trained-error': 0.0415, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 321}
{'baseline-error': 0.0575, 'self-trained-error': 0.054, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 322}
{'baseline-error': 0.0505, 'self-trained-error': 0.0405, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 323}
{'baseline-error': 0.038, 'self-trained-error': 0.035, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 324}
{'baseline-error': 0.0475, 'self-trained-error': 0.043, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 325}
{'baseline-error': 0.0675, 'self-trained-error': 0.0465, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 326}
{'baseline-error': 0.0445, 'self-trained-error': 0.043, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 327}
{'baseline-error': 0.05, 'self-trained-error': 0.0495, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 328}
{'baseline-error': 0.048, 'self-trained-error': 0.048, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 329}
{'baseline-error': 0.0575, 'self-trained-error': 0.0505, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 330}
{'baseline-error': 0.0605, 'self-trained-error': 0.0435, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 331}
{'baseline-error': 0.0705, 'self-trained-error': 0.07, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 332}
{'baseline-error': 0.0485, 'self-trained-error': 0.0475, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 333}
{'baseline-error': 0.058, 'self-trained-error': 0.045, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 334}
{'baseline-error': 0.042, 'self-trained-error': 0.0375, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 335}
{'baseline-error': 0.0715, 'self-trained-error': 0.074, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 336}
{'baseline-error': 0.065, 'self-trained-error': 0.0485, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 337}
{'baseline-error': 0.0625, 'self-trained-error': 0.0545, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 338}
{'baseline-error': 0.0425, 'self-trained-error': 0.043, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 339}
{'baseline-error': 0.0405, 'self-trained-error': 0.0385, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 340}
{'baseline-error': 0.062, 'self-trained-error': 0.045, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 341}
{'baseline-error': 0.045, 'self-trained-error': 0.045, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 342}
{'baseline-error': 0.0515, 'self-trained-error': 0.0415, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 343}
{'baseline-error': 0.038, 'self-trained-error': 0.0395, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 344}
{'baseline-error': 0.0365, 'self-trained-error': 0.0355, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 345}
{'baseline-error': 0.0635, 'self-trained-error': 0.053, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 346}
{'baseline-error': 0.0655, 'self-trained-error': 0.0625, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 347}
{'baseline-error': 0.0415, 'self-trained-error': 0.043, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 348}
{'baseline-error': 0.0405, 'self-trained-error': 0.0395, 'p': 0.25000000000000006, 'mu': 2.5, 'iter': 349}
