{'baseline-error': 0.0275, 'self-trained-error': 0.0195, 'p': 0.25000000000000006, 'mu': 3, 'iter': 250}
{'baseline-error': 0.0225, 'self-trained-error': 0.021, 'p': 0.25000000000000006, 'mu': 3, 'iter': 251}
{'baseline-error': 0.031, 'self-trained-error': 0.0245, 'p': 0.25000000000000006, 'mu': 3, 'iter': 252}
{'baseline-error': 0.0155, 'self-trained-error': 0.016, 'p': 0.25000000000000006, 'mu': 3, 'iter': 253}
{'baseline-error': 0.02, 'self-trained-error': 0.017, 'p': 0.25000000000000006, 'mu': 3, 'iter': 254}
{'baseline-error': 0.0215, 'self-trained-error': 0.0155, 'p': 0.25000000000000006, 'mu': 3, 'iter': 255}
{'baseline-error': 0.0285, 'self-trained-error': 0.0225, 'p': 0.25000000000000006, 'mu': 3, 'iter': 256}
{'baseline-error': 0.0285, 'self-trained-error': 0.024, 'p': 0.25000000000000006, 'mu': 3, 'iter': 257}
{'baseline-error': 0.019, 'self-trained-error': 0.0145, 'p': 0.25000000000000006, 'mu': 3, 'iter': 258}
{'baseline-error': 0.0205, 'self-trained-error': 0.02, 'p': 0.25000000000000006, 'mu': 3, 'iter': 259}
{'baseline-error': 0.0285, 'self-trained-error': 0.015, 'p': 0.25000000000000006, 'mu': 3, 'iter': 260}
{'baseline-error': 0.021, 'self-trained-error': 0.015, 'p': 0.25000000000000006, 'mu': 3, 'iter': 261}
{'baseline-error': 0.019, 'self-trained-error': 0.019, 'p': 0.25000000000000006, 'mu': 3, 'iter': 262}
{'baseline-error': 0.0205, 'self-trained-error': 0.0205, 'p': 0.25000000000000006, 'mu': 3, 'iter': 263}
{'baseline-error': 0.0235, 'self-trained-error': 0.0205, 'p': 0.25000000000000006, 'mu': 3, 'iter': 264}
{'baseline-error': 0.0445, 'self-trained-error': 0.024, 'p': 0.25000000000000006, 'mu': 3, 'iter': 265}
{'baseline-error': 0.0285, 'self-trained-error': 0.0245, 'p': 0.25000000000000006, 'mu': 3, 'iter': 266}
{'baseline-error': 0.028, 'self-trained-error': 0.0235, 'p': 0.25000000000000006, 'mu': 3, 'iter': 267}
{'baseline-error': 0.028, 'self-trained-error': 0.02, 'p': 0.25000000000000006, 'mu': 3, 'iter': 268}
{'baseline-error': 0.0235, 'self-trained-error': 0.0165, 'p': 0.25000000000000006, 'mu': 3, 'iter': 269}
{'baseline-error': 0.0215, 'self-trained-error': 0.0185, 'p': 0.25000000000000006, 'mu': 3, 'iter': 270}
{'baseline-error': 0.029, 'self-trained-error': 0.0225, 'p': 0.25000000000000006, 'mu': 3, 'iter': 271}
{'baseline-error': 0.0265, 'self-trained-error': 0.0165, 'p': 0.25000000000000006, 'mu': 3, 'iter': 272}
{'baseline-error': 0.0265, 'self-trained-error': 0.0215, 'p': 0.25000000000000006, 'mu': 3, 'iter': 273}
{'baseline-error': 0.021, 'self-trained-error': 0.02, 'p': 0.25000000000000006, 'mu': 3, 'iter': 274}
{'baseline-error': 0.018, 'self-trained-error': 0.0195, 'p': 0.25000000000000006, 'mu': 3, 'iter': 275}
{'baseline-error': 0.02, 'self-trained-error': 0.02, 'p': 0.25000000000000006, 'mu': 3, 'iter': 276}
{'baseline-error': 0.033, 'self-trained-error': 0.025, 'p': 0.25000000000000006, 'mu': 3, 'iter': 277}
{'baseline-error': 0.026, 'self-trained-error': 0.02, 'p': 0.25000000000000006, 'mu': 3, 'iter': 278}
{'baseline-error': 0.013, 'self-trained-error': 0.0145, 'p': 0.25000000000000006, 'mu': 3, 'iter': 279}
{'baseline-error': 0.02, 'self-trained-error': 0.015, 'p': 0.25000000000000006, 'mu': 3, 'iter': 280}
