{'baseline-error': 0.07, 'self-trained-error': 0.0575, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 50}
{'baseline-error': 0.0745, 'self-trained-error': 0.047, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 51}
{'baseline-error': 0.071, 'self-trained-error': 0.0695, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 52}
{'baseline-error': 0.084, 'self-trained-error': 0.0655, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 53}
{'baseline-error': 0.0705, 'self-trained-error': 0.0625, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 54}
{'baseline-error': 0.0735, 'self-trained-error': 0.051, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 55}
{'baseline-error': 0.09, 'self-trained-error': 0.091, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 56}
{'baseline-error': 0.08, 'self-trained-error': 0.07, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 57}
{'baseline-error': 0.065, 'self-trained-error': 0.0445, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 58}
{'baseline-error': 0.0695, 'self-trained-error': 0.0555, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 59}
{'baseline-error': 0.059, 'self-trained-error': 0.066, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 60}
{'baseline-error': 0.076, 'self-trained-error': 0.042, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 61}
{'baseline-error': 0.059, 'self-trained-error': 0.0475, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 62}
{'baseline-error': 0.0755, 'self-trained-error': 0.04, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 63}
{'baseline-error': 0.0675, 'self-trained-error': 0.06, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 64}
{'baseline-error': 0.1045, 'self-trained-error': 0.0905, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 65}
{'baseline-error': 0.088, 'self-trained-error': 0.051, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 66}
{'baseline-error': 0.0765, 'self-trained-error': 0.0625, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 67}
{'baseline-error': 0.098, 'self-trained-error': 0.0745, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 68}
{'baseline-error': 0.05, 'self-trained-error': 0.0455, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 69}
{'baseline-error': 0.1105, 'self-trained-error': 0.076, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 70}
{'baseline-error': 0.064, 'self-trained-error': 0.0605, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 71}
{'baseline-error': 0.064, 'self-trained-error': 0.061, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 72}
{'baseline-error': 0.055, 'self-trained-error': 0.039, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 73}
{'baseline-error': 0.076, 'self-trained-error': 0.058, 'p': 0.15000000000000002, 'mu': 2.5, 'iter': 74}
