{'baseline-error': 0.213, 'self-trained-error': 0.204, 'p': 0.1, 'mu': 2, 'iter': 0}
{'baseline-error': 0.1915, 'self-trained-error': 0.1905, 'p': 0.1, 'mu': 2, 'iter': 1}
{'baseline-error': 0.2075, 'self-trained-error': 0.208, 'p': 0.1, 'mu': 2, 'iter': 2}
{'baseline-error': 0.241, 'self-trained-error': 0.1935, 'p': 0.1, 'mu': 2, 'iter': 3}
{'baseline-error': 0.137, 'self-trained-error': 0.13, 'p': 0.1, 'mu': 2, 'iter': 4}
{'baseline-error': 0.172, 'self-trained-error': 0.1655, 'p': 0.1, 'mu': 2, 'iter': 5}
{'baseline-error': 0.176, 'self-trained-error': 0.171, 'p': 0.1, 'mu': 2, 'iter': 6}
{'baseline-error': 0.088, 'self-trained-error': 0.0875, 'p': 0.1, 'mu': 2, 'iter': 7}
{'baseline-error': 0.1655, 'self-trained-error': 0.1325, 'p': 0.1, 'mu': 2, 'iter': 8}
{'baseline-error': 0.17, 'self-trained-error': 0.1695, 'p': 0.1, 'mu': 2, 'iter': 9}
{'baseline-error': 0.183, 'self-trained-error': 0.125, 'p': 0.1, 'mu': 2, 'iter': 10}
{'baseline-error': 0.1335, 'self-trained-error': 0.113, 'p': 0.1, 'mu': 2, 'iter': 11}
{'baseline-error': 0.187, 'self-trained-error': 0.1685, 'p': 0.1, 'mu': 2, 'iter': 12}
{'baseline-error': 0.2315, 'self-trained-error': 0.233, 'p': 0.1, 'mu': 2, 'iter': 13}
{'baseline-error': 0.1635, 'self-trained-error': 0.153, 'p': 0.1, 'mu': 2, 'iter': 14}
{'baseline-error': 0.1485, 'self-trained-error': 0.145, 'p': 0.1, 'mu': 2, 'iter': 15}
{'baseline-error': 0.195, 'self-trained-error': 0.187, 'p': 0.1, 'mu': 2, 'iter': 16}
{'baseline-error': 0.15, 'self-trained-error': 0.132, 'p': 0.1, 'mu': 2, 'iter': 17}
{'baseline-error': 0.12, 'self-trained-error': 0.1185, 'p': 0.1, 'mu': 2, 'iter': 18}
{'baseline-error': 0.1885, 'self-trained-error': 0.177, 'p': 0.1, 'mu': 2, 'iter': 19}
{'baseline-error': 0.136, 'self-trained-error': 0.133, 'p': 0.1, 'mu': 2, 'iter': 20}
{'baseline-error': 0.2145, 'self-trained-error': 0.2095, 'p': 0.1, 'mu': 2, 'iter': 21}
{'baseline-error': 0.151, 'self-trained-error': 0.1425, 'p': 0.1, 'mu': 2, 'iter': 22}
{'baseline-error': 0.1695, 'self-trained-error': 0.166, 'p': 0.1, 'mu': 2, 'iter': 23}
{'baseline-error': 0.2495, 'self-trained-error': 0.2435, 'p': 0.1, 'mu': 2, 'iter': 24}
{'baseline-error': 0.148, 'self-trained-error': 0.125, 'p': 0.1, 'mu': 2, 'iter': 25}
{'baseline-error': 0.202, 'self-trained-error': 0.192, 'p': 0.1, 'mu': 2, 'iter': 26}
{'baseline-error': 0.1825, 'self-trained-error': 0.159, 'p': 0.1, 'mu': 2, 'iter': 27}
{'baseline-error': 0.141, 'self-trained-error': 0.1075, 'p': 0.1, 'mu': 2, 'iter': 28}
{'baseline-error': 0.1755, 'self-trained-error': 0.157, 'p': 0.1, 'mu': 2, 'iter': 29}
{'baseline-error': 0.1205, 'self-trained-error': 0.1025, 'p': 0.1, 'mu': 2, 'iter': 30}
{'baseline-error': 0.145, 'self-trained-error': 0.1325, 'p': 0.1, 'mu': 2, 'iter': 31}
{'baseline-error': 0.234, 'self-trained-error': 0.242, 'p': 0.1, 'mu': 2, 'iter': 32}
{'baseline-error': 0.1495, 'self-trained-error': 0.1435, 'p': 0.1, 'mu': 2, 'iter': 33}
{'baseline-error': 0.178, 'self-trained-error': 0.1575, 'p': 0.1, 'mu': 2, 'iter': 34}
{'baseline-error': 0.167, 'self-trained-error': 0.1595, 'p': 0.1, 'mu': 2, 'iter': 35}
{'baseline-error': 0.215, 'self-trained-error': 0.2185, 'p': 0.1, 'mu': 2, 'iter': 36}
{'baseline-error': 0.22, 'self-trained-error': 0.181, 'p': 0.1, 'mu': 2, 'iter': 37}
{'baseline-error': 0.2015, 'self-trained-error': 0.204, 'p': 0.1, 'mu': 2, 'iter': 38}
{'baseline-error': 0.134, 'self-trained-error': 0.1195, 'p': 0.1, 'mu': 2, 'iter': 39}
{'baseline-error': 0.229, 'self-trained-error': 0.2265, 'p': 0.1, 'mu': 2, 'iter': 40}
{'baseline-error': 0.149, 'self-trained-error': 0.1225, 'p': 0.1, 'mu': 2, 'iter': 41}
{'baseline-error': 0.1755, 'self-trained-error': 0.128, 'p': 0.1, 'mu': 2, 'iter': 42}
{'baseline-error': 0.165, 'self-trained-error': 0.158, 'p': 0.1, 'mu': 2, 'iter': 43}
{'baseline-error': 0.1565, 'self-trained-error': 0.1445, 'p': 0.1, 'mu': 2, 'iter': 44}
{'baseline-error': 0.1895, 'self-trained-error': 0.156, 'p': 0.1, 'mu': 2, 'iter': 45}
{'baseline-error': 0.1605, 'self-trained-error': 0.1605, 'p': 0.1, 'mu': 2, 'iter': 46}
{'baseline-error': 0.2015, 'self-trained-error': 0.2, 'p': 0.1, 'mu': 2, 'iter': 47}
{'baseline-error': 0.156, 'self-trained-error': 0.1, 'p': 0.1, 'mu': 2, 'iter': 48}
{'baseline-error': 0.1435, 'self-trained-error': 0.134, 'p': 0.1, 'mu': 2, 'iter': 49}
