{'baseline-error': 0.0205, 'self-trained-error': 0.0055, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 400}
{'baseline-error': 0.0315, 'self-trained-error': 0.0085, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 401}
{'baseline-error': 0.023, 'self-trained-error': 0.0095, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 402}
{'baseline-error': 0.02, 'self-trained-error': 0.007, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 403}
{'baseline-error': 0.0245, 'self-trained-error': 0.005, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 404}
{'baseline-error': 0.0135, 'self-trained-error': 0.0075, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 405}
{'baseline-error': 0.011, 'self-trained-error': 0.009, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 406}
{'baseline-error': 0.014, 'self-trained-error': 0.004, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 407}
{'baseline-error': 0.017, 'self-trained-error': 0.006, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 408}
{'baseline-error': 0.021, 'self-trained-error': 0.007, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 409}
{'baseline-error': 0.009, 'self-trained-error': 0.0045, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 410}
{'baseline-error': 0.0205, 'self-trained-error': 0.0055, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 411}
{'baseline-error': 0.023, 'self-trained-error': 0.01, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 412}
{'baseline-error': 0.0125, 'self-trained-error': 0.006, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 413}
{'baseline-error': 0.017, 'self-trained-error': 0.0075, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 414}
{'baseline-error': 0.016, 'self-trained-error': 0.01, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 415}
{'baseline-error': 0.008, 'self-trained-error': 0.0065, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 416}
{'baseline-error': 0.007, 'self-trained-error': 0.007, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 417}
{'baseline-error': 0.01, 'self-trained-error': 0.009, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 418}
{'baseline-error': 0.0225, 'self-trained-error': 0.0065, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 419}
{'baseline-error': 0.0215, 'self-trained-error': 0.009, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 420}
{'baseline-error': 0.023, 'self-trained-error': 0.009, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 421}
{'baseline-error': 0.038, 'self-trained-error': 0.0065, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 422}
{'baseline-error': 0.0155, 'self-trained-error': 0.007, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 423}
{'baseline-error': 0.009, 'self-trained-error': 0.008, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 424}
{'baseline-error': 0.0215, 'self-trained-error': 0.009, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 425}
{'baseline-error': 0.0115, 'self-trained-error': 0.0075, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 426}
{'baseline-error': 0.0155, 'self-trained-error': 0.009, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 427}
{'baseline-error': 0.0085, 'self-trained-error': 0.005, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 428}
{'baseline-error': 0.0145, 'self-trained-error': 0.0065, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 429}
{'baseline-error': 0.019, 'self-trained-error': 0.009, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 430}
