{'baseline-error': 0.0175, 'self-trained-error': 0.008, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 350}
{'baseline-error': 0.026, 'self-trained-error': 0.0105, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 351}
{'baseline-error': 0.015, 'self-trained-error': 0.0065, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 352}
{'baseline-error': 0.0245, 'self-trained-error': 0.006, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 353}
{'baseline-error': 0.029, 'self-trained-error': 0.0185, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 354}
{'baseline-error': 0.008, 'self-trained-error': 0.0055, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 355}
{'baseline-error': 0.0045, 'self-trained-error': 0.0055, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 356}
{'baseline-error': 0.01, 'self-trained-error': 0.0085, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 357}
{'baseline-error': 0.0185, 'self-trained-error': 0.013, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 358}
{'baseline-error': 0.015, 'self-trained-error': 0.009, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 359}
{'baseline-error': 0.0155, 'self-trained-error': 0.0085, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 360}
{'baseline-error': 0.0155, 'self-trained-error': 0.0065, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 361}
{'baseline-error': 0.0075, 'self-trained-error': 0.007, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 362}
{'baseline-error': 0.02, 'self-trained-error': 0.015, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 363}
{'baseline-error': 0.0105, 'self-trained-error': 0.008, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 364}
{'baseline-error': 0.0095, 'self-trained-error': 0.0065, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 365}
{'baseline-error': 0.022, 'self-trained-error': 0.0095, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 366}
{'baseline-error': 0.0145, 'self-trained-error': 0.0105, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 367}
{'baseline-error': 0.0065, 'self-trained-error': 0.0075, 'p': 0.15000000000000002, 'mu': 3.5, 'iter': 368}
