{'baseline-error': 0.064, 'self-trained-error': 0.053, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 100}
{'baseline-error': 0.039, 'self-trained-error': 0.0375, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 101}
{'baseline-error': 0.051, 'self-trained-error': 0.049, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 102}
{'baseline-error': 0.0425, 'self-trained-error': 0.0425, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 103}
{'baseline-error': 0.0815, 'self-trained-error': 0.045, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 104}
{'baseline-error': 0.0655, 'self-trained-error': 0.0615, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 105}
{'baseline-error': 0.0495, 'self-trained-error': 0.0475, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 106}
{'baseline-error': 0.092, 'self-trained-error': 0.0855, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 107}
{'baseline-error': 0.055, 'self-trained-error': 0.046, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 108}
{'baseline-error': 0.1065, 'self-trained-error': 0.0955, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 109}
{'baseline-error': 0.073, 'self-trained-error': 0.04, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 110}
{'baseline-error': 0.044, 'self-trained-error': 0.0395, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 111}
{'baseline-error': 0.07, 'self-trained-error': 0.067, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 112}
{'baseline-error': 0.073, 'self-trained-error': 0.066, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 113}
{'baseline-error': 0.057, 'self-trained-error': 0.0445, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 114}
{'baseline-error': 0.039, 'self-trained-error': 0.0345, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 115}
{'baseline-error': 0.099, 'self-trained-error': 0.095, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 116}
{'baseline-error': 0.0725, 'self-trained-error': 0.0735, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 117}
{'baseline-error': 0.0395, 'self-trained-error': 0.0355, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 118}
{'baseline-error': 0.037, 'self-trained-error': 0.0345, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 119}
{'baseline-error': 0.051, 'self-trained-error': 0.0545, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 120}
{'baseline-error': 0.0495, 'self-trained-error': 0.053, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 121}
{'baseline-error': 0.0475, 'self-trained-error': 0.047, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 122}
{'baseline-error': 0.056, 'self-trained-error': 0.0455, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 123}
{'baseline-error': 0.04, 'self-trained-error': 0.0385, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 124}
{'baseline-error': 0.0415, 'self-trained-error': 0.038, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 125}
{'baseline-error': 0.0475, 'self-trained-error': 0.0435, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 126}
{'baseline-error': 0.049, 'self-trained-error': 0.0435, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 127}
{'baseline-error': 0.035, 'self-trained-error': 0.034, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 128}
{'baseline-error': 0.0365, 'self-trained-error': 0.038, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 129}
{'baseline-error': 0.0375, 'self-trained-error': 0.0305, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 130}
{'baseline-error': 0.073, 'self-trained-error': 0.053, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 131}
{'baseline-error': 0.07, 'self-trained-error': 0.068, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 132}
{'baseline-error': 0.073, 'self-trained-error': 0.068, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 133}
{'baseline-error': 0.0655, 'self-trained-error': 0.0475, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 134}
{'baseline-error': 0.065, 'self-trained-error': 0.051, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 135}
{'baseline-error': 0.05, 'self-trained-error': 0.044, 'p': 0.20000000000000004, 'mu': 2.5, 'iter': 136}
