{'baseline-error': 0.121, 'self-trained-error': 0.0945, 'p': 0.1, 'mu': 2.5, 'iter': 400}
{'baseline-error': 0.104, 'self-trained-error': 0.0625, 'p': 0.1, 'mu': 2.5, 'iter': 401}
{'baseline-error': 0.062, 'self-trained-error': 0.052, 'p': 0.1, 'mu': 2.5, 'iter': 402}
{'baseline-error': 0.0665, 'self-trained-error': 0.0505, 'p': 0.1, 'mu': 2.5, 'iter': 403}
{'baseline-error': 0.1, 'self-trained-error': 0.076, 'p': 0.1, 'mu': 2.5, 'iter': 404}
{'baseline-error': 0.07, 'self-trained-error': 0.0665, 'p': 0.1, 'mu': 2.5, 'iter': 405}
{'baseline-error': 0.0875, 'self-trained-error': 0.048, 'p': 0.1, 'mu': 2.5, 'iter': 406}
{'baseline-error': 0.087, 'self-trained-error': 0.083, 'p': 0.1, 'mu': 2.5, 'iter': 407}
{'baseline-error': 0.172, 'self-trained-error': 0.1515, 'p': 0.1, 'mu': 2.5, 'iter': 408}
{'baseline-error': 0.095, 'self-trained-error': 0.084, 'p': 0.1, 'mu': 2.5, 'iter': 409}
{'baseline-error': 0.107, 'self-trained-error': 0.069, 'p': 0.1, 'mu': 2.5, 'iter': 410}
{'baseline-error': 0.104, 'self-trained-error': 0.0585, 'p': 0.1, 'mu': 2.5, 'iter': 411}
{'baseline-error': 0.0915, 'self-trained-error': 0.061, 'p': 0.1, 'mu': 2.5, 'iter': 412}
{'baseline-error': 0.1095, 'self-trained-error': 0.102, 'p': 0.1, 'mu': 2.5, 'iter': 413}
{'baseline-error': 0.1245, 'self-trained-error': 0.092, 'p': 0.1, 'mu': 2.5, 'iter': 414}
{'baseline-error': 0.0935, 'self-trained-error': 0.0865, 'p': 0.1, 'mu': 2.5, 'iter': 415}
{'baseline-error': 0.075, 'self-trained-error': 0.06, 'p': 0.1, 'mu': 2.5, 'iter': 416}
{'baseline-error': 0.0805, 'self-trained-error': 0.068, 'p': 0.1, 'mu': 2.5, 'iter': 417}
{'baseline-error': 0.0795, 'self-trained-error': 0.058, 'p': 0.1, 'mu': 2.5, 'iter': 418}
{'baseline-error': 0.0725, 'self-trained-error': 0.051, 'p': 0.1, 'mu': 2.5, 'iter': 419}
{'baseline-error': 0.1225, 'self-trained-error': 0.092, 'p': 0.1, 'mu': 2.5, 'iter': 420}
{'baseline-error': 0.0615, 'self-trained-error': 0.0565, 'p': 0.1, 'mu': 2.5, 'iter': 421}
{'baseline-error': 0.083, 'self-trained-error': 0.067, 'p': 0.1, 'mu': 2.5, 'iter': 422}
{'baseline-error': 0.068, 'self-trained-error': 0.0705, 'p': 0.1, 'mu': 2.5, 'iter': 423}
{'baseline-error': 0.0735, 'self-trained-error': 0.0655, 'p': 0.1, 'mu': 2.5, 'iter': 424}
{'baseline-error': 0.072, 'self-trained-error': 0.052, 'p': 0.1, 'mu': 2.5, 'iter': 425}
{'baseline-error': 0.079, 'self-trained-error': 0.079, 'p': 0.1, 'mu': 2.5, 'iter': 426}
{'baseline-error': 0.0875, 'self-trained-error': 0.0575, 'p': 0.1, 'mu': 2.5, 'iter': 427}
{'baseline-error': 0.0935, 'self-trained-error': 0.056, 'p': 0.1, 'mu': 2.5, 'iter': 428}
{'baseline-error': 0.085, 'self-trained-error': 0.0655, 'p': 0.1, 'mu': 2.5, 'iter': 429}
{'baseline-error': 0.1025, 'self-trained-error': 0.0655, 'p': 0.1, 'mu': 2.5, 'iter': 430}
{'baseline-error': 0.0835, 'self-trained-error': 0.067, 'p': 0.1, 'mu': 2.5, 'iter': 431}
{'baseline-error': 0.085, 'self-trained-error': 0.0775, 'p': 0.1, 'mu': 2.5, 'iter': 432}
{'baseline-error': 0.1085, 'self-trained-error': 0.0735, 'p': 0.1, 'mu': 2.5, 'iter': 433}
{'baseline-error': 0.136, 'self-trained-error': 0.0965, 'p': 0.1, 'mu': 2.5, 'iter': 434}
{'baseline-error': 0.154, 'self-trained-error': 0.151, 'p': 0.1, 'mu': 2.5, 'iter': 435}
{'baseline-error': 0.075, 'self-trained-error': 0.077, 'p': 0.1, 'mu': 2.5, 'iter': 436}
{'baseline-error': 0.1055, 'self-trained-error': 0.061, 'p': 0.1, 'mu': 2.5, 'iter': 437}
{'baseline-error': 0.0695, 'self-trained-error': 0.041, 'p': 0.1, 'mu': 2.5, 'iter': 438}
{'baseline-error': 0.1275, 'self-trained-error': 0.1285, 'p': 0.1, 'mu': 2.5, 'iter': 439}
{'baseline-error': 0.063, 'self-trained-error': 0.0555, 'p': 0.1, 'mu': 2.5, 'iter': 440}
{'baseline-error': 0.169, 'self-trained-error': 0.169, 'p': 0.1, 'mu': 2.5, 'iter': 441}
{'baseline-error': 0.1525, 'self-trained-error': 0.1495, 'p': 0.1, 'mu': 2.5, 'iter': 442}
{'baseline-error': 0.0455, 'self-trained-error': 0.0385, 'p': 0.1, 'mu': 2.5, 'iter': 443}
{'baseline-error': 0.067, 'self-trained-error': 0.0435, 'p': 0.1, 'mu': 2.5, 'iter': 444}
{'baseline-error': 0.1085, 'self-trained-error': 0.068, 'p': 0.1, 'mu': 2.5, 'iter': 445}
{'baseline-error': 0.122, 'self-trained-error': 0.114, 'p': 0.1, 'mu': 2.5, 'iter': 446}
{'baseline-error': 0.0585, 'self-trained-error': 0.0495, 'p': 0.1, 'mu': 2.5, 'iter': 447}
{'baseline-error': 0.132, 'self-trained-error': 0.1215, 'p': 0.1, 'mu': 2.5, 'iter': 448}
{'baseline-error': 0.128, 'self-trained-error': 0.065, 'p': 0.1, 'mu': 2.5, 'iter': 449}
