{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.30000000000000004, 'mu': 5, 'iter': 300}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.30000000000000004, 'mu': 5, 'iter': 301}
{'baseline-error': 0.0015, 'self-trained-error': 0.0, 'p': 0.30000000000000004, 'mu': 5, 'iter': 302}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.30000000000000004, 'mu': 5, 'iter': 303}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.30000000000000004, 'mu': 5, 'iter': 304}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.30000000000000004, 'mu': 5, 'iter': 305}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.30000000000000004, 'mu': 5, 'iter': 306}
{'baseline-error': 0.0005, 'self-trained-error': 0.0005, 'p': 0.30000000000000004, 'mu': 5, 'iter': 307}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.30000000000000004, 'mu': 5, 'iter': 308}
{'baseline-error': 0.0015, 'self-trained-error': 0.0005, 'p': 0.30000000000000004, 'mu': 5, 'iter': 309}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.30000000000000004, 'mu': 5, 'iter': 310}
{'baseline-error': 0.001, 'self-trained-error': 0.0, 'p': 0.30000000000000004, 'mu': 5, 'iter': 311}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.30000000000000004, 'mu': 5, 'iter': 312}
{'baseline-error': 0.0005, 'self-trained-error': 0.0005, 'p': 0.30000000000000004, 'mu': 5, 'iter': 313}
{'baseline-error': 0.0005, 'self-trained-error': 0.0, 'p': 0.30000000000000004, 'mu': 5, 'iter': 314}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.30000000000000004, 'mu': 5, 'iter': 315}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.30000000000000004, 'mu': 5, 'iter': 316}
{'baseline-error': 0.0015, 'self-trained-error': 0.001, 'p': 0.30000000000000004, 'mu': 5, 'iter': 317}
{'baseline-error': 0.0005, 'self-trained-error': 0.0005, 'p': 0.30000000000000004, 'mu': 5, 'iter': 318}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.30000000000000004, 'mu': 5, 'iter': 319}
{'baseline-error': 0.0005, 'self-trained-error': 0.0, 'p': 0.30000000000000004, 'mu': 5, 'iter': 320}
{'baseline-error': 0.0, 'self-trained-error': 0.0005, 'p': 0.30000000000000004, 'mu': 5, 'iter': 321}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.30000000000000004, 'mu': 5, 'iter': 322}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.30000000000000004, 'mu': 5, 'iter': 323}
{'baseline-error': 0.0015, 'self-trained-error': 0.0005, 'p': 0.30000000000000004, 'mu': 5, 'iter': 324}
{'baseline-error': 0.0005, 'self-trained-error': 0.0005, 'p': 0.30000000000000004, 'mu': 5, 'iter': 325}
{'baseline-error': 0.001, 'self-trained-error': 0.0, 'p': 0.30000000000000004, 'mu': 5, 'iter': 326}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.30000000000000004, 'mu': 5, 'iter': 327}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.30000000000000004, 'mu': 5, 'iter': 328}
{'baseline-error': 0.0005, 'self-trained-error': 0.0005, 'p': 0.30000000000000004, 'mu': 5, 'iter': 329}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.30000000000000004, 'mu': 5, 'iter': 330}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.30000000000000004, 'mu': 5, 'iter': 331}
{'baseline-error': 0.001, 'self-trained-error': 0.002, 'p': 0.30000000000000004, 'mu': 5, 'iter': 332}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.30000000000000004, 'mu': 5, 'iter': 333}
{'baseline-error': 0.001, 'self-trained-error': 0.0005, 'p': 0.30000000000000004, 'mu': 5, 'iter': 334}
{'baseline-error': 0.0005, 'self-trained-error': 0.0005, 'p': 0.30000000000000004, 'mu': 5, 'iter': 335}
{'baseline-error': 0.001, 'self-trained-error': 0.0, 'p': 0.30000000000000004, 'mu': 5, 'iter': 336}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.30000000000000004, 'mu': 5, 'iter': 337}
{'baseline-error': 0.0005, 'self-trained-error': 0.0, 'p': 0.30000000000000004, 'mu': 5, 'iter': 338}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.30000000000000004, 'mu': 5, 'iter': 339}
{'baseline-error': 0.0, 'self-trained-error': 0.0005, 'p': 0.30000000000000004, 'mu': 5, 'iter': 340}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.30000000000000004, 'mu': 5, 'iter': 341}
{'baseline-error': 0.0, 'self-trained-error': 0.0005, 'p': 0.30000000000000004, 'mu': 5, 'iter': 342}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.30000000000000004, 'mu': 5, 'iter': 343}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.30000000000000004, 'mu': 5, 'iter': 344}
{'baseline-error': 0.0005, 'self-trained-error': 0.001, 'p': 0.30000000000000004, 'mu': 5, 'iter': 345}
{'baseline-error': 0.0, 'self-trained-error': 0.0005, 'p': 0.30000000000000004, 'mu': 5, 'iter': 346}
{'baseline-error': 0.001, 'self-trained-error': 0.0005, 'p': 0.30000000000000004, 'mu': 5, 'iter': 347}
{'baseline-error': 0.0005, 'self-trained-error': 0.0005, 'p': 0.30000000000000004, 'mu': 5, 'iter': 348}
{'baseline-error': 0.0, 'self-trained-error': 0.0, 'p': 0.30000000000000004, 'mu': 5, 'iter': 349}
