{'baseline-error': 0.038, 'self-trained-error': 0.038, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 300}
{'baseline-error': 0.045, 'self-trained-error': 0.0445, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 301}
{'baseline-error': 0.0495, 'self-trained-error': 0.049, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 302}
{'baseline-error': 0.055, 'self-trained-error': 0.051, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 303}
{'baseline-error': 0.0425, 'self-trained-error': 0.0395, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 304}
{'baseline-error': 0.038, 'self-trained-error': 0.0355, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 305}
{'baseline-error': 0.0595, 'self-trained-error': 0.0535, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 306}
{'baseline-error': 0.0405, 'self-trained-error': 0.0395, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 307}
{'baseline-error': 0.0455, 'self-trained-error': 0.039, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 308}
{'baseline-error': 0.032, 'self-trained-error': 0.0315, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 309}
{'baseline-error': 0.0475, 'self-trained-error': 0.0485, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 310}
{'baseline-error': 0.04, 'self-trained-error': 0.0395, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 311}
{'baseline-error': 0.0555, 'self-trained-error': 0.0495, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 312}
{'baseline-error': 0.04, 'self-trained-error': 0.043, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 313}
{'baseline-error': 0.035, 'self-trained-error': 0.036, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 314}
{'baseline-error': 0.048, 'self-trained-error': 0.0465, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 315}
{'baseline-error': 0.0435, 'self-trained-error': 0.0445, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 316}
{'baseline-error': 0.0415, 'self-trained-error': 0.0355, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 317}
{'baseline-error': 0.039, 'self-trained-error': 0.0385, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 318}
{'baseline-error': 0.039, 'self-trained-error': 0.04, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 319}
{'baseline-error': 0.0445, 'self-trained-error': 0.0415, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 320}
{'baseline-error': 0.0565, 'self-trained-error': 0.0465, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 321}
{'baseline-error': 0.0565, 'self-trained-error': 0.057, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 322}
{'baseline-error': 0.0545, 'self-trained-error': 0.053, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 323}
{'baseline-error': 0.044, 'self-trained-error': 0.0445, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 324}
{'baseline-error': 0.043, 'self-trained-error': 0.035, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 325}
{'baseline-error': 0.036, 'self-trained-error': 0.0335, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 326}
{'baseline-error': 0.0465, 'self-trained-error': 0.04, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 327}
{'baseline-error': 0.039, 'self-trained-error': 0.04, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 328}
{'baseline-error': 0.0435, 'self-trained-error': 0.0415, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 329}
{'baseline-error': 0.04, 'self-trained-error': 0.0425, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 330}
{'baseline-error': 0.043, 'self-trained-error': 0.035, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 331}
{'baseline-error': 0.0595, 'self-trained-error': 0.0535, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 332}
{'baseline-error': 0.042, 'self-trained-error': 0.0365, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 333}
{'baseline-error': 0.041, 'self-trained-error': 0.042, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 334}
{'baseline-error': 0.042, 'self-trained-error': 0.0415, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 335}
{'baseline-error': 0.0365, 'self-trained-error': 0.038, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 336}
{'baseline-error': 0.044, 'self-trained-error': 0.0365, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 337}
{'baseline-error': 0.0475, 'self-trained-error': 0.0475, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 338}
{'baseline-error': 0.037, 'self-trained-error': 0.0335, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 339}
{'baseline-error': 0.0445, 'self-trained-error': 0.0435, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 340}
{'baseline-error': 0.0425, 'self-trained-error': 0.0395, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 341}
{'baseline-error': 0.037, 'self-trained-error': 0.0375, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 342}
{'baseline-error': 0.0375, 'self-trained-error': 0.033, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 343}
{'baseline-error': 0.0425, 'self-trained-error': 0.0415, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 344}
{'baseline-error': 0.0395, 'self-trained-error': 0.0385, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 345}
{'baseline-error': 0.042, 'self-trained-error': 0.033, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 346}
{'baseline-error': 0.0395, 'self-trained-error': 0.0405, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 347}
{'baseline-error': 0.0415, 'self-trained-error': 0.04, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 348}
{'baseline-error': 0.044, 'self-trained-error': 0.0435, 'p': 0.3500000000000001, 'mu': 2.5, 'iter': 349}
