{'baseline-error': 0.0745, 'self-trained-error': 0.079, 'p': 0.40000000000000013, 'mu': 2, 'iter': 400}
{'baseline-error': 0.071, 'self-trained-error': 0.071, 'p': 0.40000000000000013, 'mu': 2, 'iter': 401}
{'baseline-error': 0.0765, 'self-trained-error': 0.0775, 'p': 0.40000000000000013, 'mu': 2, 'iter': 402}
{'baseline-error': 0.085, 'self-trained-error': 0.0855, 'p': 0.40000000000000013, 'mu': 2, 'iter': 403}
{'baseline-error': 0.0705, 'self-trained-error': 0.0695, 'p': 0.40000000000000013, 'mu': 2, 'iter': 404}
{'baseline-error': 0.084, 'self-trained-error': 0.0845, 'p': 0.40000000000000013, 'mu': 2, 'iter': 405}
{'baseline-error': 0.0855, 'self-trained-error': 0.0845, 'p': 0.40000000000000013, 'mu': 2, 'iter': 406}
{'baseline-error': 0.0815, 'self-trained-error': 0.083, 'p': 0.40000000000000013, 'mu': 2, 'iter': 407}
{'baseline-error': 0.1195, 'self-trained-error': 0.118, 'p': 0.40000000000000013, 'mu': 2, 'iter': 408}
{'baseline-error': 0.078, 'self-trained-error': 0.0755, 'p': 0.40000000000000013, 'mu': 2, 'iter': 409}
{'baseline-error': 0.095, 'self-trained-error': 0.091, 'p': 0.40000000000000013, 'mu': 2, 'iter': 410}
{'baseline-error': 0.0845, 'self-trained-error': 0.083, 'p': 0.40000000000000013, 'mu': 2, 'iter': 411}
{'baseline-error': 0.0835, 'self-trained-error': 0.088, 'p': 0.40000000000000013, 'mu': 2, 'iter': 412}
{'baseline-error': 0.0965, 'self-trained-error': 0.095, 'p': 0.40000000000000013, 'mu': 2, 'iter': 413}
{'baseline-error': 0.107, 'self-trained-error': 0.0955, 'p': 0.40000000000000013, 'mu': 2, 'iter': 414}
{'baseline-error': 0.071, 'self-trained-error': 0.0725, 'p': 0.40000000000000013, 'mu': 2, 'iter': 415}
{'baseline-error': 0.092, 'self-trained-error': 0.0785, 'p': 0.40000000000000013, 'mu': 2, 'iter': 416}
{'baseline-error': 0.086, 'self-trained-error': 0.084, 'p': 0.40000000000000013, 'mu': 2, 'iter': 417}
{'baseline-error': 0.0885, 'self-trained-error': 0.0885, 'p': 0.40000000000000013, 'mu': 2, 'iter': 418}
{'baseline-error': 0.079, 'self-trained-error': 0.0765, 'p': 0.40000000000000013, 'mu': 2, 'iter': 419}
{'baseline-error': 0.0735, 'self-trained-error': 0.0725, 'p': 0.40000000000000013, 'mu': 2, 'iter': 420}
{'baseline-error': 0.0825, 'self-trained-error': 0.0805, 'p': 0.40000000000000013, 'mu': 2, 'iter': 421}
{'baseline-error': 0.0755, 'self-trained-error': 0.0785, 'p': 0.40000000000000013, 'mu': 2, 'iter': 422}
{'baseline-error': 0.0825, 'self-trained-error': 0.083, 'p': 0.40000000000000013, 'mu': 2, 'iter': 423}
{'baseline-error': 0.093, 'self-trained-error': 0.087, 'p': 0.40000000000000013, 'mu': 2, 'iter': 424}
{'baseline-error': 0.0805, 'self-trained-error': 0.078, 'p': 0.40000000000000013, 'mu': 2, 'iter': 425}
{'baseline-error': 0.0975, 'self-trained-error': 0.0985, 'p': 0.40000000000000013, 'mu': 2, 'iter': 426}
{'baseline-error': 0.099, 'self-trained-error': 0.1005, 'p': 0.40000000000000013, 'mu': 2, 'iter': 427}
{'baseline-error': 0.0895, 'self-trained-error': 0.087, 'p': 0.40000000000000013, 'mu': 2, 'iter': 428}
{'baseline-error': 0.0865, 'self-trained-error': 0.0875, 'p': 0.40000000000000013, 'mu': 2, 'iter': 429}
{'baseline-error': 0.086, 'self-trained-error': 0.0775, 'p': 0.40000000000000013, 'mu': 2, 'iter': 430}
{'baseline-error': 0.075, 'self-trained-error': 0.074, 'p': 0.40000000000000013, 'mu': 2, 'iter': 431}
{'baseline-error': 0.087, 'self-trained-error': 0.0875, 'p': 0.40000000000000013, 'mu': 2, 'iter': 432}
{'baseline-error': 0.092, 'self-trained-error': 0.098, 'p': 0.40000000000000013, 'mu': 2, 'iter': 433}
{'baseline-error': 0.0875, 'self-trained-error': 0.092, 'p': 0.40000000000000013, 'mu': 2, 'iter': 434}
